城市,健壮性积分(R_bc),网络显著崩溃比例(q)
Chengdu,0.16632426229508185,0.24
Dalian,0.11184497427416386,0.09
Dongguan,0.1458522699939867,0.14
Harbin,0.13536636524657397,0.27
Qingdao,0.14025173636101917,0.2
Quanzhou,0.14352144305359665,0.22
Shenyang,0.18461593269230767,0.27
Zhengzhou,0.1646718784108273,0.25
