城市,健壮性积分(R),网络显著崩溃比例(q)
Shenyang,0.22398299999999996,0.27
Chengdu,0.20425109289617488,0.23
Zhengzhou,0.20388626937349927,0.27
Dongguan,0.1843668671076368,0.22
Quanzhou,0.18021086036671366,0.25
Qingdao,0.17536911616525117,0.19
Harbin,0.17306753985270815,0.21
Dalian,0.14516681367144435,0.14
