City,Strategy,R_bc_trapz,R_bc_beam,q_critical_05,Nodes_Removed,Time_seconds
Chengdu,CABS_W3_K30_B5,0.03434726775956285,0.02843103854997167,0.03,1637,205.83791050000582
Dalian,CABS_W3_K30_B5,0.024333241455347307,0.016671029267106067,0.02,1051,79.71331220003776
Dongguan,CABS_W3_K30_B5,0.0301034275405893,0.02443573817901518,0.03,961,62.23335919994861
Harbin,CABS_W3_K30_B5,0.029347674093409153,0.0238677944688074,0.03,1120,88.01001199998427
Qingdao,CABS_W3_K30_B5,0.028534979127681014,0.023339007329943404,0.03,1364,134.79305079998448
Quanzhou,CABS_W3_K30_B5,0.03322328984485191,0.028621624598900716,0.04,787,39.34349110000767
Shenyang,CABS_W3_K30_B5,0.040556346153846116,0.03531539792899404,0.04,1631,182.09349579998525
Zhengzhou,CABS_W3_K30_B5,0.039574055882994966,0.03437590672462851,0.04,1155,86.75874979997752
