City,Degree,Betweenness,Closeness,CI_Radius2,CoreHD,CABS_LCC_W3_K30_B5
Chengdu,0.14748442622950814,0.12400628415300544,0.35454836065573764,0.17553852459016392,0.11310409836065571,0.04107868852459015
Dalian,0.09886659316427777,0.06523190003675113,0.304252848217567,0.12450937155457546,0.09033811098860707,0.03361411245865488
Dongguan,0.12588454600120264,0.09574984966927232,0.27097534576067345,0.1255802766085388,0.0942417318099819,0.03926458208057725
Harbin,0.13927286286939494,0.11163046518131817,0.2750386874242565,0.16775706162021062,0.10547496970261952,0.038465088095459975
Qingdao,0.14645998272635669,0.07350618972218219,0.31391787822081463,0.14263171153015683,0.10786274650928454,0.0374719303296386
Quanzhou,0.1446773624823694,0.11411847672778556,0.24626234132581099,0.16945698166431591,0.09645980253878698,0.04675952045133988
Shenyang,0.15001884615384614,0.12096807692307689,0.3037226923076923,0.17851961538461533,0.1326873076923077,0.05244346153846153
Zhengzhou,0.15416066361056538,0.11727897838899798,0.22479917048679324,0.21174197773411924,0.1328574547042131,0.04793440296878413
