City,Attack_Metric,Critical_q,Total_Removed,P_q,Fatal_Nodes_Array
Harbin,Betweenness,0.43,4612,0.0099,"[21135, 24060, 20000, 9817, 24015, 24300, 16274, 23170, 2157, 10751, 16218, 14229, 899, 5998, 13968, 3438, 19581, 3961, 11588, 308, 24793, 10024, 222, 1546, 22899, 14957, 2152, 21314, 27340, 26987, 9609, 9244, 2229, 3237, 12688, 1641, 4632, 910, 6738, 18435, 4661, 27003, 27037, 5058, 15109, 18116, 1050, 26408, 4354, 14196, 1373, 25296, 96, 10417, 8691, 25130, 15520, 16787, 16467, 655, 15030, 23282, 21120, 20295, 23881, 28800, 15990, 10458, 9776, 25764, 4521, 23786, 16062, 22885, 14626, 17089, 2029, 8093, 15734, 16440, 1871, 3488, 17256, 16186, 12907, 4901, 17530, 26028, 13799, 9505, 15588, 10758, 22912, 1595, 18983, 16577, 24812, 8729, 15619, 13371, 21099, 3434, 2215, 22790, 17108, 16101, 26647]"
Harbin,Closeness,0.99,10619,0.0046,"[27279, 27340, 27337, 27311, 386, 3809, 72, 93, 81, 100, 156, 25533, 25532, 26887, 26885, 19070, 14887, 27234, 27267, 27271, 27259, 27305, 27309, 27526, 27518, 385, 76, 19238, 96, 68, 94, 26509, 26508, 27220, 26971, 19069, 27238, 27244, 21235, 27233, 27273, 27291, 27319, 27586, 27904, 26591, 336, 86, 107, 15509, 77, 84, 67, 69, 27218, 27214, 26588, 27229, 27198, 26981, 15588, 26986, 27324, 27258, 27277, 26599, 26601, 27585, 335, 111, 79, 7089, 89, 83, 27140, 27199, 27126, 26596, 26590, 27210, 27227, 27204, 7079, 27195, 26984, 27281, 27065, 26604, 26621, 115, 27177, 27154, 27188, 19949, 26593, 27141, 27064, 27125, 27208, 27211, 27242, 27196, 27205, 26983, 5836, 29056, 27102]"
Qingdao,Degree,0.63,8753,0.0081,"[33637, 33640, 33655, 33666, 33672, 33673, 33683, 33687, 33691, 33696, 33700, 33704, 33718, 33724, 33725, 33729, 33732, 33733, 33735, 33756, 33773, 33776, 33787, 33792, 33795, 33800, 33801, 33803, 33804, 33807, 33816, 33819, 33822, 33825, 33837, 33855, 33865, 33871, 33875, 33877, 33880, 33886, 33887, 33894, 33896, 33897, 33900, 33903, 33905, 33916, 33925, 33939, 33941, 33946, 33970, 33971, 33975, 33985, 33991, 34004, 34005, 34028, 34030, 34033, 34035, 34041, 34051, 34054, 34058, 34065, 34070, 34082, 34090, 34091, 34094, 34107, 34130, 34142, 34143, 34164, 34166, 34180, 34188, 34190, 34195, 34206, 34209, 34214, 34218, 34221, 34228, 34232, 34248, 34251, 34265, 34274, 34295, 34303, 34307, 34311, 34315, 34319, 34321, 34331, 34337, 34344, 34345, 34347, 34354, 34355, 34361, 34366, 34378, 34379, 34381, 34385, 34386, 34399, 34401, 34410, 34423, 34431, 34442, 34446, 34473, 34487, 34492, 34504, 34506, 34524, 34525, 34536, 34539, 34545, 34547, 34550, 34579, 34581, 34591]"
Qingdao,Betweenness,0.41,5696,0.0073,"[38571, 21596, 12666, 25894, 16822, 22821, 27356, 6992, 26579, 22252, 28547, 21233, 31972, 31393, 20705, 7602, 136, 30932, 22800, 17755, 10334, 35108, 27012, 37231, 21711, 28661, 33470, 23851, 1112, 468, 34951, 33155, 37390, 27215, 883, 7366, 19556, 1816, 5802, 11418, 24407, 9705, 26913, 18966, 36943, 18601, 9024, 35476, 25662, 9914, 11447, 37670, 23900, 34288, 14777, 8456, 29280, 28254, 13200, 4424, 505, 25483, 27502, 31302, 28700, 36445, 35031, 26212, 4774, 5302, 33921, 4358, 35105, 34366, 14109, 16049, 17913, 24332, 15860, 16302, 13702, 4592, 27284, 1828, 6584, 34860, 27869, 33026, 8990, 16488, 25164, 16489, 15446, 10692, 17450, 5893, 30645, 30874, 5533, 19098, 25909, 27491, 26662, 29858, 1324, 4303, 23616, 30084, 20885, 752, 27238, 23103, 5326, 6107, 30381, 18591, 30839, 21474, 22507, 10124, 33428, 31756, 12176, 19502, 16072, 36179, 17937, 28476, 33312, 5432, 15388, 17876, 17142, 9347, 15461, 16962, 13710, 18636, 32108]"
Qingdao,Closeness,0.96,13338,0.0043,"[2761, 35341, 4413, 13054, 7849, 7374, 10435, 19361, 12969, 12841, 30898, 7011, 11916, 11961, 31242, 6740, 8970, 12112, 24153, 31180, 7586, 12701, 12284, 11666, 9017, 11216, 7248, 4174, 4175, 18499, 18288, 4190, 4211, 31247, 12510, 30770, 30906, 12262, 12202, 12528, 7357, 20907, 7049, 11260, 6958, 4419, 30928, 9988, 11873, 31278, 31230, 12114, 20916, 4466, 7208, 31366, 6630, 4486, 31684, 4695, 31254, 10868, 31637, 23624, 31626, 31745, 4497, 31648, 4475, 10767, 31275, 31429, 31312, 35458, 18725, 30798, 9638, 35327, 30750, 34976, 2845, 31325, 4478, 9360, 35491, 24521, 31406, 32262, 13099, 35467, 10993, 35485, 34919, 34948, 35432, 8736, 19490, 6077, 5976, 36378, 13228, 35459, 35462, 12472, 12448, 35426, 6819, 20026, 35379, 11371, 29861, 12708, 10566, 16246, 30310, 2817, 30315, 7260, 24802, 7243, 6971, 10346, 29852, 12680, 8040, 12559, 12036, 35471, 31814, 22239, 31864, 8832, 11392, 31781, 10559, 10233, 9672, 31782, 13158]"
Quanzhou,Degree,0.60,3403,0.0035,"[13081, 13085, 13090, 13101, 13105, 13124, 13140, 13147, 13172, 13176, 13187, 13192, 13194, 13206, 13209, 13224, 13240, 13245, 13252, 13256, 13257, 13280, 13287, 13292, 13293, 13297, 13298, 13299, 13308, 13313, 13344, 13345, 13348, 13349, 13353, 13359, 13361, 13367, 13375, 13377, 13381, 13383, 13393, 13395, 13409, 13413, 13415, 13417, 13428, 13432, 13434, 13438, 13457, 13459, 13467, 13472, 13480]"
Quanzhou,Betweenness,0.79,4480,0.0088,"[1260, 295, 8668, 5392, 3397, 8937, 3574, 3190, 5802, 1572, 2210, 10743, 5569, 2947, 4302, 11286, 2612, 1539, 11754, 167, 817, 11051, 5143, 4281, 8781, 10502, 1632, 12133, 8676, 5434, 13348, 7046, 799, 280, 163, 2407, 9884, 177, 32, 13159, 7371, 16, 10760, 5640, 606, 221, 1655, 12715, 17, 10652, 13086, 13162, 165, 10718, 8134, 3454]"
Quanzhou,Closeness,0.92,5218,0.0065,"[5697, 7671, 3307, 4263, 5370, 8822, 9619, 4440, 4469, 4621, 4543, 6320, 8263, 9435, 13932, 6092, 3381, 8590, 4505, 13766, 7843, 3726, 4681, 7748, 3273, 8039, 5434, 5736, 7954, 8500, 8743, 5729, 3758, 3789, 4799, 4490, 6163, 4035, 4331, 5269, 4347, 8691, 4561, 13937, 9052, 7738, 13806, 4626, 9020, 13958, 9033, 5022, 6534, 7391, 7187, 3816, 3821]"
Shenyang,Degree,0.73,9490,0.0045,"[34080, 34084, 34104, 34106, 34112, 34113, 34115, 34122, 34124, 34125, 34132, 34136, 34152, 34156, 34158, 34164, 34177, 34188, 34192, 34193, 34195, 34198, 34199, 34206, 34212, 34221, 34222, 34226, 34245, 34250, 34254, 34259, 34274, 34278, 34288, 34290, 34291, 34293, 34298, 34300, 34308, 34310, 34313, 34337, 34359, 34364, 34366, 34368, 34371, 34384, 34388, 34394, 34395, 34397, 34402, 34404, 34406, 34408, 34419, 34421, 34426, 34428, 34436, 34445, 34466, 34471, 34479, 34481, 34488, 34492, 34501, 34505, 34512, 34515, 34519, 34528, 34530, 34532, 34536, 34540, 34544, 34548, 34552, 34558, 34559, 34564, 34567, 34572, 34578, 34582, 34591, 34592, 34597, 34603, 34605, 34607, 34609, 34613, 34615, 34623, 34627, 34631, 34635, 34660, 34663, 34668, 34670, 34674, 34675, 34678, 34685, 34687, 34691, 34693, 34696, 34699, 34703, 34706, 34714, 34715, 34729, 34741, 34747, 34751, 34755, 34760, 34766, 34769, 34771, 34788]"
Shenyang,Betweenness,0.37,4810,0.0098,"[16646, 24738, 3200, 14274, 32790, 4084, 5919, 11948, 13667, 24350, 11116, 15121, 17473, 16724, 3913, 27448, 13108, 15063, 25994, 32251, 19424, 20681, 16577, 31311, 1266, 5641, 14177, 5222, 34396, 34388, 4004, 774, 11323, 29304, 28885, 27056, 7436, 33435, 21326, 33886, 34115, 25693, 32859, 9970, 13630, 7660, 21261, 15114, 316, 11184, 28965, 684, 14798, 31809, 14792, 28262, 28294, 32252, 736, 20965, 7958, 26015, 26382, 32351, 27550, 23354, 30855, 29488, 23806, 7700, 24207, 15531, 24680, 12701, 5526, 6265, 4302, 35243, 9026, 9087, 1023, 23081, 12277, 10853, 28360, 18076, 6641, 29215, 23264, 34922, 30293, 7953, 4054, 7180, 11409, 14485, 8520, 5495, 974, 7605, 32190, 16402, 34532, 8163, 5103, 17412, 12166, 35204, 24631, 33788, 5451, 7305, 25931, 24868, 32245, 19044, 759, 8584, 26640, 28932, 14938, 23986, 35833, 1170, 23124, 2681, 18094, 221, 1121, 15365]"
