City,Degree,Betweenness,Closeness,CI_Radius2,CoreHD,CABS_W3_K30_B5
Chengdu,0.12791461748633876,0.10122308743169393,0.31743538251366116,0.14334904371584695,0.08965122950819668,0.03434726775956276
Dalian,0.08288744946710766,0.051321113561190686,0.25285621095185595,0.09611273428886434,0.06526433296582136,0.024333241455347255
Dongguan,0.10923631990378826,0.0773265183403487,0.23770084185207455,0.09741912206855076,0.07135989176187607,0.03010342754058922
Harbin,0.11114838724713338,0.09277885242845156,0.21317924396382956,0.12909702153444574,0.07987985923370931,0.029347674093409108
Qingdao,0.12575248308622422,0.05745591622282995,0.2738199942421189,0.11329908593637539,0.07990121635238231,0.02853497912768098
Quanzhou,0.11942965444287727,0.09618388575458393,0.2101057827926657,0.1311957863187588,0.07247531734837798,0.03322328984485189
Shenyang,0.130126923076923,0.10077769230769225,0.27370903846153843,0.14857211538461537,0.10572557692307688,0.0405563461538461
Zhengzhou,0.13131194062431784,0.09688959834097356,0.19213053918358436,0.17032525649421526,0.10049552499454266,0.03957405588299491
