City,Strategy,R_lcc_trapz,R_lcc_beam,R_bc_trapz,q_critical_Pq_05,q_critical_Qbc_05,Nodes_Removed,Time_seconds
Chengdu,CABS_LCC_W3_K30_B5,0.04107868852459016,0.03220057332258348,0.03290792349726776,0.04,0.03,1726,167.02732210000977
Dalian,CABS_LCC_W3_K30_B5,0.03361411245865493,0.022902085552620577,0.025169698640205802,0.03,0.02,1013,47.25561779999407
Dongguan,CABS_LCC_W3_K30_B5,0.03926458208057726,0.03051872507972163,0.03076939266386049,0.03,0.03,929,38.13630730001023
Harbin,CABS_LCC_W3_K30_B5,0.03846508809546004,0.0285054135001587,0.03162195860911718,0.04,0.03,1090,54.80517930001952
Qingdao,CABS_LCC_W3_K30_B5,0.037471930329638685,0.028613429377033473,0.028954944580394416,0.04,0.03,1437,97.55360529996688
Quanzhou,CABS_LCC_W3_K30_B5,0.0467595204513399,0.037660843805514856,0.03568406205923837,0.05,0.04,763,30.305760800023563
Shenyang,CABS_LCC_W3_K30_B5,0.05244346153846153,0.042953952662721985,0.04475096153846152,0.05,0.05,1668,114.30473609996261
Zhengzhou,CABS_LCC_W3_K30_B5,0.04793440296878413,0.03857975252603447,0.04012770137524557,0.05,0.04,1130,53.274786700028926
