City,Strategy,q,P_q_Official
Chengdu,CABS_LCC_W3_K30_B5,0.8,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.81,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.8200000000000001,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.8300000000000001,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.84,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.85,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.86,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.87,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.88,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.89,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.9,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.91,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.92,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.93,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.9400000000000001,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.9500000000000001,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.96,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.97,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.98,0.01
Chengdu,CABS_LCC_W3_K30_B5,0.99,0.01
Chengdu,CABS_LCC_W3_K30_B5,1.0,0.01
Dalian,CABS_LCC_W3_K30_B5,0.0,0.9092245497978684
Dalian,CABS_LCC_W3_K30_B5,0.01,0.894744579198824
Dalian,CABS_LCC_W3_K30_B5,0.02,0.6584343991179713
Dalian,CABS_LCC_W3_K30_B5,0.03,0.22183020948180815
Dalian,CABS_LCC_W3_K30_B5,0.04,0.11209114296214627
Dalian,CABS_LCC_W3_K30_B5,0.05,0.06174200661521499
Dalian,CABS_LCC_W3_K30_B5,0.06,0.021462697537669974
Dalian,CABS_LCC_W3_K30_B5,0.07,0.01183388460124954
Dalian,CABS_LCC_W3_K30_B5,0.08,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.09,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.1,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.11,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.12,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.13,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.14,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.15,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.16,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.17,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.18,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.19,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.2,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.21,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.22,0.009996324880558618
Dalian,CABS_LCC_W3_K30_B5,0.23,0.009996324880558618
