City,Strategy,q,P_q_Official
Dalian,CABS_W3_K30_B5,0.81,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.8200000000000001,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.8300000000000001,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.84,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.85,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.86,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.87,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.88,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.89,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.9,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.91,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.92,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.93,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.9400000000000001,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.9500000000000001,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.96,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.97,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.98,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.99,0.009996324880558618
Dalian,CABS_W3_K30_B5,1.0,0.009996324880558618
Dongguan,CABS_W3_K30_B5,0.0,0.9209861695730608
Dongguan,CABS_W3_K30_B5,0.01,0.907516536380036
Dongguan,CABS_W3_K30_B5,0.02,0.6751653638003607
Dongguan,CABS_W3_K30_B5,0.03,0.5445580276608539
Dongguan,CABS_W3_K30_B5,0.04,0.249789536981359
Dongguan,CABS_W3_K30_B5,0.05,0.14239326518340348
Dongguan,CABS_W3_K30_B5,0.06,0.03583884546001203
Dongguan,CABS_W3_K30_B5,0.07,0.023571858087793145
Dongguan,CABS_W3_K30_B5,0.08,0.020084185207456404
Dongguan,CABS_W3_K30_B5,0.09,0.015634395670475046
Dongguan,CABS_W3_K30_B5,0.1,0.012988574864702345
Dongguan,CABS_W3_K30_B5,0.11,0.011304870715574263
Dongguan,CABS_W3_K30_B5,0.12,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.13,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.14,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.15,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.16,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.17,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.18,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.19,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.2,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.21,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.22,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.23,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.24,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.25,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.26,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.27,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.28,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.29,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.3,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.31,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.32,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.33,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.34,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.35000000000000003,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.36,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.37,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.38,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.39,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.4,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.41000000000000003,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.42,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.43,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.44,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.45,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.46,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.47000000000000003,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.48,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.49,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.5,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.51,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.52,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.53,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.54,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.55,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.56,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.5700000000000001,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.58,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.59,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.6,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.61,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.62,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.63,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.64,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.65,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.66,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.67,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.68,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.6900000000000001,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.7000000000000001,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.71,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.72,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.73,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.74,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.75,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.76,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.77,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.78,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.79,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.8,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.81,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.8200000000000001,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.8300000000000001,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.84,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.85,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.86,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.87,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.88,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.89,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.9,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.91,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.92,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.93,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.9400000000000001,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.9500000000000001,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.96,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.97,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.98,0.009981960312687914
Dongguan,CABS_W3_K30_B5,0.99,0.009981960312687914
Dongguan,CABS_W3_K30_B5,1.0,0.009981960312687914
Harbin,CABS_W3_K30_B5,0.0,0.9445324881141046
Harbin,CABS_W3_K30_B5,0.01,0.7938845902861937
Harbin,CABS_W3_K30_B5,0.02,0.7653584413163047
Harbin,CABS_W3_K30_B5,0.03,0.6220751375034959
Harbin,CABS_W3_K30_B5,0.04,0.16267362729560922
Harbin,CABS_W3_K30_B5,0.05,0.05593362543115503
Harbin,CABS_W3_K30_B5,0.06,0.032348280041017995
Harbin,CABS_W3_K30_B5,0.07,0.022187004754358162
Harbin,CABS_W3_K30_B5,0.08,0.016780087629346508
Harbin,CABS_W3_K30_B5,0.09,0.014076629066840683
Harbin,CABS_W3_K30_B5,0.1,0.01072061154097138
Harbin,CABS_W3_K30_B5,0.11,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.12,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.13,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.14,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.15,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.16,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.17,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.18,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.19,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.2,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.21,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.22,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.23,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.24,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.25,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.26,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.27,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.28,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.29,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.3,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.31,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.32,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.33,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.34,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.35000000000000003,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.36,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.37,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.38,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.39,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.4,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.41000000000000003,0.00997482986855598
Harbin,CABS_W3_K30_B5,0.42,0.00997482986855598
