City,Attack_Metric,Critical_q,Total_Removed,Q_bc,Fatal_Nodes_Array
Harbin,Betweenness,0.39,4183,0.0083,"[9714, 9017, 19813, 13918, 21452, 5966, 20383, 8107, 13914, 25428, 10623, 9721, 24020, 21584, 8038, 18737, 23204, 3693, 5939, 11242, 15402, 23230, 14008, 3364, 10743, 4882, 8917, 13696, 8807, 8545, 8689, 24190, 263, 7688, 21923, 9175, 19322, 12934, 14994, 4952, 2466, 20209, 4691, 6006, 24071, 4875, 14706, 9365, 24337, 24001, 24091, 17300, 4865, 27101, 7863, 23145, 16353, 20548, 19255, 10993, 1140, 24097, 4766, 15508, 27877, 2306, 20195, 4786, 4503, 22376, 4785, 23682, 12041, 5816, 14355, 24002, 8723, 26079, 5603, 11993, 8709, 8452, 11277, 389, 19549, 24778, 22973, 7057, 5534, 900, 26188, 25601, 44, 15360, 2201, 23550, 1378, 22377, 190, 18035, 16160, 26265, 24004, 18175, 25368, 27554, 484]"
Harbin,Closeness,0.99,10619,0.0028,"[27279, 27340, 27337, 27311, 386, 3809, 72, 93, 81, 100, 156, 25533, 25532, 26887, 26885, 19070, 14887, 27234, 27267, 27271, 27259, 27305, 27309, 27526, 27518, 385, 76, 19238, 96, 68, 94, 26509, 26508, 27220, 26971, 19069, 27238, 27244, 21235, 27233, 27273, 27291, 27319, 27586, 27904, 26591, 336, 86, 107, 15509, 77, 84, 67, 69, 27218, 27214, 26588, 27229, 27198, 26981, 15588, 26986, 27324, 27258, 27277, 26599, 26601, 27585, 335, 111, 79, 7089, 89, 83, 27140, 27199, 27126, 26596, 26590, 27210, 27227, 27204, 7079, 27195, 26984, 27281, 27065, 26604, 26621, 115, 27177, 27154, 27188, 19949, 26593, 27141, 27064, 27125, 27208, 27211, 27242, 27196, 27205, 26983, 5836, 29056, 27102]"
Qingdao,Degree,0.63,8753,0.0063,"[33637, 33640, 33655, 33666, 33672, 33673, 33683, 33687, 33691, 33696, 33700, 33704, 33718, 33724, 33725, 33729, 33732, 33733, 33735, 33756, 33773, 33776, 33787, 33792, 33795, 33800, 33801, 33803, 33804, 33807, 33816, 33819, 33822, 33825, 33837, 33855, 33865, 33871, 33875, 33877, 33880, 33886, 33887, 33894, 33896, 33897, 33900, 33903, 33905, 33916, 33925, 33939, 33941, 33946, 33970, 33971, 33975, 33985, 33991, 34004, 34005, 34028, 34030, 34033, 34035, 34041, 34051, 34054, 34058, 34065, 34070, 34082, 34090, 34091, 34094, 34107, 34130, 34142, 34143, 34164, 34166, 34180, 34188, 34190, 34195, 34206, 34209, 34214, 34218, 34221, 34228, 34232, 34248, 34251, 34265, 34274, 34295, 34303, 34307, 34311, 34315, 34319, 34321, 34331, 34337, 34344, 34345, 34347, 34354, 34355, 34361, 34366, 34378, 34379, 34381, 34385, 34386, 34399, 34401, 34410, 34423, 34431, 34442, 34446, 34473, 34487, 34492, 34504, 34506, 34524, 34525, 34536, 34539, 34545, 34547, 34550, 34579, 34581, 34591]"
Qingdao,Betweenness,0.41,5696,0.0068,"[38571, 21596, 12666, 25894, 16822, 22821, 27356, 6992, 26579, 22252, 28547, 21233, 31972, 31393, 20705, 7602, 136, 30932, 22800, 17755, 10334, 35108, 27012, 37231, 21711, 28661, 33470, 23851, 1112, 468, 34951, 33155, 37390, 27215, 883, 7366, 19556, 1816, 5802, 11418, 24407, 9705, 26913, 18966, 36943, 18601, 9024, 35476, 25662, 9914, 11447, 37670, 23900, 34288, 14777, 8456, 29280, 28254, 13200, 4424, 505, 25483, 27502, 31302, 28700, 36445, 35031, 26212, 4774, 5302, 33921, 4358, 35105, 34366, 14109, 16049, 17913, 24332, 15860, 16302, 13702, 4592, 27284, 1828, 6584, 34860, 27869, 33026, 8990, 16488, 25164, 16489, 15446, 10692, 17450, 5893, 30645, 30874, 5533, 19098, 25909, 27491, 26662, 29858, 1324, 4303, 23616, 30084, 20885, 752, 27238, 23103, 5326, 6107, 30381, 18591, 30839, 21474, 22507, 10124, 33428, 31756, 12176, 19502, 16072, 36179, 17937, 28476, 33312, 5432, 15388, 17876, 17142, 9347, 15461, 16962, 13710, 18636, 32108]"
Qingdao,Closeness,0.95,13199,0.0073,"[10112, 11397, 22512, 13154, 34963, 34965, 34978, 34999, 35002, 13032, 13149, 6426, 6089, 37623, 13367, 12565, 7633, 11132, 7362, 6444, 7305, 8239, 11154, 7045, 37674, 8062, 10567, 34902, 36291, 13407, 10470, 14013, 14017, 7377, 11032, 22693, 7386, 30991, 8766, 11931, 2377, 7393, 7079, 7061, 7064, 11416, 37608, 11590, 2703, 12159, 9902, 7765, 7602, 7752, 7529, 11319, 11208, 28631, 28283, 10199, 12788, 12357, 2849, 12267, 13616, 4025, 4064, 7301, 7230, 19352, 12080, 10381, 12500, 12728, 2851, 30128, 30506, 10538, 35557, 11038, 22171, 10722, 7686, 35559, 30282, 6064, 9423, 9490, 8988, 35685, 35688, 19814, 11700, 30278, 34974, 11380, 7392, 7273, 30113, 10710, 30453, 7191, 27886, 30385, 12958, 12825, 12938, 9727, 30774, 7071, 30262, 7034, 2815, 19699, 4142, 4470, 2830, 4122, 4051, 4132, 4266, 4264, 4283, 11833, 37644, 13016, 7132, 4345, 4348, 11966, 7680, 12612, 2664, 6849, 9145, 16829, 35339, 8046, 7147]"
Quanzhou,Degree,0.60,3403,0.0019,"[13081, 13085, 13090, 13101, 13105, 13124, 13140, 13147, 13172, 13176, 13187, 13192, 13194, 13206, 13209, 13224, 13240, 13245, 13252, 13256, 13257, 13280, 13287, 13292, 13293, 13297, 13298, 13299, 13308, 13313, 13344, 13345, 13348, 13349, 13353, 13359, 13361, 13367, 13375, 13377, 13381, 13383, 13393, 13395, 13409, 13413, 13415, 13417, 13428, 13432, 13434, 13438, 13457, 13459, 13467, 13472, 13480]"
Quanzhou,Betweenness,0.42,2382,0.0091,"[6678, 5130, 4115, 12454, 8974, 10304, 14046, 1407, 13283, 4021, 376, 13081, 6170, 6428, 14440, 502, 3739, 4439, 12502, 647, 11809, 13754, 3487, 3962, 1638, 5874, 8256, 11126, 2895, 722, 13411, 1741, 6974, 13381, 10113, 4315, 3602, 7241, 12702, 6450, 3293, 1837, 12248, 14160, 9905, 3885, 12699, 662, 14106, 4335, 6005, 12997, 13153, 13152, 13217, 2176, 11198]"
Quanzhou,Closeness,0.88,4991,0.0075,"[13369, 13373, 13371, 13459, 12836, 8209, 7381, 6168, 11891, 11902, 12669, 12854, 13287, 12772, 7011, 6538, 13209, 13201, 7072, 7759, 8599, 13253, 13213, 13200, 13069, 13153, 13151, 13396, 12835, 13372, 13457, 9026, 13483, 12863, 13280, 7380, 7382, 12880, 13297, 12771, 6990, 6537, 4068, 13072, 13235, 13216, 13203, 13228, 13169, 13154, 14735, 13395, 13212, 3838, 13411, 13463, 13285]"
Shenyang,Degree,0.71,9230,0.0096,"[32583, 32606, 32619, 32629, 32642, 32648, 32651, 32652, 32663, 32671, 32682, 32689, 32690, 32709, 32720, 32721, 32735, 32737, 32740, 32748, 32752, 32755, 32770, 32778, 32780, 32800, 32807, 32813, 32823, 32827, 32834, 32835, 32839, 32843, 32845, 32849, 32851, 32853, 32856, 32858, 32859, 32860, 32863, 32867, 32871, 32873, 32881, 32885, 32892, 32893, 32897, 32900, 32924, 32927, 32941, 32949, 32953, 32959, 32966, 32968, 32973, 32977, 32982, 32983, 32987, 32989, 32997, 32999, 33001, 33006, 33012, 33021, 33029, 33034, 33035, 33039, 33054, 33055, 33058, 33061, 33066, 33069, 33074, 33090, 33094, 33098, 33100, 33103, 33108, 33110, 33126, 33130, 33134, 33135, 33137, 33140, 33144, 33146, 33149, 33154, 33157, 33160, 33161, 33164, 33165, 33170, 33175, 33178, 33180, 33183, 33187, 33200, 33203, 33205, 33214, 33223, 33231, 33236, 33245, 33250, 33256, 33260, 33273, 33281, 33284, 33287, 33291, 33298, 33303, 33306]"
Shenyang,Betweenness,0.33,4290,0.0090,"[9814, 21651, 16422, 11787, 28690, 28020, 32835, 23589, 4928, 10017, 22492, 4810, 19264, 71, 33113, 22122, 21174, 11170, 1725, 28791, 24128, 23580, 2588, 17174, 5909, 24032, 9151, 32138, 4658, 1166, 29661, 2673, 10199, 29852, 33684, 852, 22758, 30501, 32358, 31791, 28843, 6261, 18318, 14844, 4296, 12614, 27610, 17339, 28279, 21127, 28699, 18321, 27302, 31624, 34597, 17906, 6886, 32187, 24014, 10975, 21354, 31982, 10583, 35418, 23966, 33019, 33424, 32177, 34199, 10630, 27423, 11084, 6334, 8911, 10803, 7684, 3142, 18734, 34831, 35298, 26699, 8894, 16448, 10574, 17415, 23797, 917, 2867, 16437, 10255, 12287, 24698, 9152, 4874, 24394, 27810, 36487, 21068, 439, 19503, 13883, 11776, 33994, 29016, 14149, 27516, 8240, 17399, 25541, 27957, 21235, 35189, 12851, 19767, 4021, 16417, 25228, 6468, 35856, 3509, 16327, 25100, 27101, 15618, 37195, 29072, 235, 16302, 36901, 22585]"
