City,Strategy,q,Q_bc_Teammate
Dalian,CABS_W3_K30_B5,0.89,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.9,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.91,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.92,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.93,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.9400000000000001,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.9500000000000001,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.96,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.97,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.98,0.007864755604557148
Dalian,CABS_W3_K30_B5,0.99,0.007864755604557148
Dalian,CABS_W3_K30_B5,1.0,0.007864755604557148
Dongguan,CABS_W3_K30_B5,0.0,0.8351172579675286
Dongguan,CABS_W3_K30_B5,0.01,0.7803066746843055
Dongguan,CABS_W3_K30_B5,0.02,0.5650330727600721
Dongguan,CABS_W3_K30_B5,0.03,0.3978953698135899
Dongguan,CABS_W3_K30_B5,0.04,0.20186410102224894
Dongguan,CABS_W3_K30_B5,0.05,0.08292242934455803
Dongguan,CABS_W3_K30_B5,0.06,0.02549609140108238
Dongguan,CABS_W3_K30_B5,0.07,0.014491882140709561
Dongguan,CABS_W3_K30_B5,0.08,0.01683704149128082
Dongguan,CABS_W3_K30_B5,0.09,0.012447384245339747
Dongguan,CABS_W3_K30_B5,0.1,0.009801563439567049
Dongguan,CABS_W3_K30_B5,0.11,0.006734816596512327
Dongguan,CABS_W3_K30_B5,0.12,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.13,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.14,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.15,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.16,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.17,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.18,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.19,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.2,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.21,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.22,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.23,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.24,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.25,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.26,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.27,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.28,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.29,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.3,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.31,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.32,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.33,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.34,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.35000000000000003,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.36,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.37,0.005411906193625977
Dongguan,CABS_W3_K30_B5,0.38,0.005411906193625977
