City,Strategy,q,Q_bc_Teammate
Chengdu,Betweenness,0.14,0.26010928961748636
Chengdu,Betweenness,0.15,0.246844262295082
Chengdu,Betweenness,0.16,0.23740437158469946
Chengdu,Betweenness,0.17,0.20934426229508196
Chengdu,Betweenness,0.18,0.1683879781420765
Chengdu,Betweenness,0.19,0.1474590163934426
Chengdu,Betweenness,0.2,0.1018032786885246
Chengdu,Betweenness,0.21,0.07926229508196722
Chengdu,Betweenness,0.22,0.060396174863387976
Chengdu,Betweenness,0.23,0.04971311475409836
Chengdu,Betweenness,0.24,0.03137978142076503
Chengdu,Betweenness,0.25,0.030669398907103827
Chengdu,Betweenness,0.26,0.026898907103825136
Chengdu,Betweenness,0.27,0.022691256830601095
Chengdu,Betweenness,0.28,0.02121584699453552
Chengdu,Betweenness,0.29,0.01907103825136612
Chengdu,Betweenness,0.3,0.018360655737704918
Chengdu,Betweenness,0.31,0.01273224043715847
Chengdu,Betweenness,0.32,0.012459016393442624
Chengdu,Betweenness,0.33,0.010382513661202186
Chengdu,Betweenness,0.34,0.008579234972677596
Chengdu,Betweenness,0.35000000000000003,0.00808743169398907
Chengdu,Betweenness,0.36,0.0061612021857923496
Chengdu,Betweenness,0.37,0.005177595628415301
Chengdu,Betweenness,0.38,0.006953551912568306
Chengdu,Betweenness,0.39,0.006953551912568306
Chengdu,Betweenness,0.4,0.006543715846994536
Chengdu,Betweenness,0.41000000000000003,0.0040710382513661205
Chengdu,Betweenness,0.42,0.0040710382513661205
Chengdu,Betweenness,0.43,0.0040710382513661205
Chengdu,Betweenness,0.44,0.0040710382513661205
Chengdu,Betweenness,0.45,0.0040710382513661205
Chengdu,Betweenness,0.46,0.0040710382513661205
Chengdu,Betweenness,0.47000000000000003,0.0040710382513661205
Chengdu,Betweenness,0.48,0.0040710382513661205
Chengdu,Betweenness,0.49,0.0040710382513661205
Chengdu,Betweenness,0.5,0.0040710382513661205
Chengdu,Betweenness,0.51,0.0040710382513661205
Chengdu,Betweenness,0.52,0.0040710382513661205
Chengdu,Betweenness,0.53,0.0040710382513661205
Chengdu,Betweenness,0.54,0.0040710382513661205
Chengdu,Betweenness,0.55,0.0040710382513661205
Chengdu,Betweenness,0.56,0.0040710382513661205
Chengdu,Betweenness,0.5700000000000001,0.0040710382513661205
Chengdu,Betweenness,0.58,0.0040710382513661205
Chengdu,Betweenness,0.59,0.0040710382513661205
Chengdu,Betweenness,0.6,0.0040710382513661205
Chengdu,Betweenness,0.61,0.0040710382513661205
Chengdu,Betweenness,0.62,0.0040710382513661205
Chengdu,Betweenness,0.63,0.0040710382513661205
Chengdu,Betweenness,0.64,0.0040710382513661205
Chengdu,Betweenness,0.65,0.0040710382513661205
Chengdu,Betweenness,0.66,0.0040710382513661205
Chengdu,Betweenness,0.67,0.0040710382513661205
Chengdu,Betweenness,0.68,0.0040710382513661205
Chengdu,Betweenness,0.6900000000000001,0.0040710382513661205
Chengdu,Betweenness,0.7000000000000001,0.0040710382513661205
Chengdu,Betweenness,0.71,0.0040710382513661205
Chengdu,Betweenness,0.72,0.0040710382513661205
Chengdu,Betweenness,0.73,0.0040710382513661205
Chengdu,Betweenness,0.74,0.0040710382513661205
Chengdu,Betweenness,0.75,0.0040710382513661205
Chengdu,Betweenness,0.76,0.0040710382513661205
Chengdu,Betweenness,0.77,0.0040710382513661205
Chengdu,Betweenness,0.78,0.0040710382513661205
Chengdu,Betweenness,0.79,0.0040710382513661205
Chengdu,Betweenness,0.8,0.0040710382513661205
Chengdu,Betweenness,0.81,0.0021311475409836068
Chengdu,Betweenness,0.8200000000000001,0.0015027322404371586
Chengdu,Betweenness,0.8300000000000001,0.0015027322404371586
Chengdu,Betweenness,0.84,0.0015027322404371586
Chengdu,Betweenness,0.85,0.0006284153005464481
Chengdu,Betweenness,0.86,0.00020491803278688525
Chengdu,Betweenness,0.87,0.0002185792349726776
Chengdu,Betweenness,0.88,0.0002185792349726776
Chengdu,Betweenness,0.89,0.0002185792349726776
Chengdu,Betweenness,0.9,0.0002185792349726776
Chengdu,Betweenness,0.91,0.0002185792349726776
Chengdu,Betweenness,0.92,0.0002185792349726776
Chengdu,Betweenness,0.93,0.0002185792349726776
Chengdu,Betweenness,0.9400000000000001,0.0002185792349726776
Chengdu,Betweenness,0.9500000000000001,0.0001639344262295082
Chengdu,Betweenness,0.96,9.562841530054645e-05
Chengdu,Betweenness,0.97,9.562841530054645e-05
Chengdu,Betweenness,0.98,9.562841530054645e-05
Chengdu,Betweenness,0.99,9.562841530054645e-05
Chengdu,Betweenness,1.0,0.0
Chengdu,Closeness,0.0,0.8826229508196721
Chengdu,Closeness,0.01,0.8826229508196721
Chengdu,Closeness,0.02,0.8826229508196721
Chengdu,Closeness,0.03,0.8826229508196721
Chengdu,Closeness,0.04,0.8826229508196721
Chengdu,Closeness,0.05,0.8672131147540985
Chengdu,Closeness,0.06,0.8440710382513661
Chengdu,Closeness,0.07,0.8101912568306011
Chengdu,Closeness,0.08,0.6737021857923498
Chengdu,Closeness,0.09,0.5016939890710382
Chengdu,Closeness,0.1,0.5005191256830601
Chengdu,Closeness,0.11,0.4990710382513661
Chengdu,Closeness,0.12,0.49745901639344264
Chengdu,Closeness,0.13,0.4960655737704918
Chengdu,Closeness,0.14,0.49428961748633876
Chengdu,Closeness,0.15,0.4928688524590164
Chengdu,Closeness,0.16,0.4915437158469945
Chengdu,Closeness,0.17,0.490396174863388
Chengdu,Closeness,0.18,0.48849726775956287
Chengdu,Closeness,0.19,0.48685792349726775
Chengdu,Closeness,0.2,0.48546448087431693
Chengdu,Closeness,0.21,0.4833606557377049
Chengdu,Closeness,0.22,0.4812568306010929
Chengdu,Closeness,0.23,0.47956284153005463
