,"k(1,1)","k(1,2)","k(2,1)","k(2,2)","k(3,3)"
"k(1,1)",1.0,0.9285714285714285,0.9285714285714285,0.9285714285714285,0.9999999999999998
"k(1,2)",0.9285714285714285,1.0,0.9999999999999998,0.9999999999999998,0.9285714285714285
"k(2,1)",0.9285714285714285,0.9999999999999998,1.0,0.9999999999999998,0.9285714285714285
"k(2,2)",0.9285714285714285,0.9999999999999998,0.9999999999999998,1.0,0.9285714285714285
"k(3,3)",0.9999999999999998,0.9285714285714285,0.9285714285714285,0.9285714285714285,1.0
