排名,节点ID,X坐标,Y坐标,度数,介数中心性
519,30032,533898.4883,4637820.3705,3,0.01780134
520,30129,535098.8091,4638701.4362,2,0.0177265
521,30084,535135.1015,4638627.1586,2,0.01772483
522,7740,540186.3589,4616804.5994,4,0.01760863
523,2195,540739.379,4611322.9273,4,0.01758048
524,13947,535701.4354,4622198.9899,3,0.01753439
525,23869,532027.7706,4627426.8139,4,0.01752197
526,3350,518804.0637,4613185.0045,4,0.0174371
527,36672,533277.3595,4628193.0337,5,0.01737173
528,6564,538027.4709,4615686.1979,4,0.01728376
529,7385,540739.8733,4616283.3273,4,0.01724965
530,5547,536568.2642,4615010.7279,4,0.01722345
531,10071,537397.3495,4620022.3608,3,0.01719327
532,28760,532586.0575,4633957.5594,4,0.01714665
533,20742,547210.3797,4625388.132,4,0.01714355
534,20479,483390.7601,4625240.6142,3,0.0171426
535,2651,542035.8732,4612057.6903,4,0.01714168
536,19708,548894.2068,4624891.3667,4,0.01713938
537,9047,537930.2542,4618576.7059,3,0.01708232
538,2645,542018.6276,4612049.4694,4,0.01708164
539,27517,532689.4443,4630834.5145,5,0.01708
540,27546,533715.8381,4630876.6387,4,0.01702298
541,10820,544516.2987,4620685.6947,4,0.01700749
542,8669,538155.587,4618123.5363,3,0.01700605
543,10072,537505.4073,4619421.0819,2,0.01698857
544,31280,542503.3938,4641886.2248,4,0.01698624
545,9135,537871.9889,4618706.1991,2,0.01698055
546,10899,537324.4687,4620757.7127,3,0.01697127
547,9265,537753.2836,4618938.6512,3,0.01697024
548,9413,537617.988,4619201.9612,3,0.01694329
549,27184,527413.5457,4630407.8619,4,0.01693338
550,2805,542570.5864,4612313.7458,3,0.01690615
551,10187,537394.3755,4620177.7165,3,0.01682809
552,24021,525189.5873,4627535.6174,4,0.01667966
553,25598,533458.0567,4628503.5348,2,0.01662453
554,37172,533892.7413,4637845.8879,5,0.01662379
555,32282,531408.7357,4646013.8702,4,0.01661757
556,9450,533527.2019,4619266.7953,4,0.01661026
557,26946,528627.1331,4630010.0092,4,0.0165371
558,26970,528631.9576,4630024.6731,3,0.01653668
559,27202,527418.6968,4630422.4042,4,0.01652753
560,8109,538204.4035,4617360.5982,4,0.01652162
561,22246,517438.7927,4626273.4389,3,0.01650849
562,1678,486785.3004,4609848.8068,3,0.01649921
563,31597,547996.1333,4643252.7299,4,0.01648634
564,30056,533727.8753,4638539.254,4,0.01647984
565,27756,527638.5167,4631108.569,3,0.0164439
566,13343,536295.6233,4621949.3375,4,0.01643777
567,7164,546108.4374,4616003.998,3,0.01641704
568,16940,532556.5985,4623354.9183,4,0.0163968
569,29399,529977.7649,4635510.657,4,0.01638867
570,21322,546884.3759,4625681.581,3,0.01638326
571,17977,532684.0876,4623963.3388,4,0.01637378
572,15983,537396.1703,4622915.9819,3,0.01634567
573,10593,535045.6667,4620508.4695,4,0.01625029
574,31999,548907.6206,4644516.8676,3,0.01624546
575,18917,539697.6492,4624428.2432,4,0.0162345
576,26524,530217.6666,4629415.0087,4,0.01613712
577,8927,530293.1388,4618372.4816,3,0.01613539
