排名,节点ID,X坐标,Y坐标,度数,介数中心性
12130,15847,410229.441,3384480.5368,3,0.00015072
12131,8620,424772.4805,3378561.78,2,0.00015055
12132,49553,413744.0337,3395360.6603,2,0.00015052
12133,25978,410928.5616,3392197.6328,3,0.00015046
12134,9580,409986.6217,3379724.6684,3,0.0001503
12135,3659,389030.4081,3367221.4265,3,0.00015026
12136,44395,418956.5459,3418339.0912,4,0.00015024
12137,45071,386790.859,3422082.8078,3,0.00015023
12138,22575,405775.8405,3389949.3167,3,0.00015023
12139,39317,411358.2828,3406403.0084,3,0.00015009
12140,15609,409865.2918,3384352.5004,4,0.00015003
12141,31163,410025.5836,3395632.5443,3,0.00015001
12142,22091,407075.7105,3389635.6128,3,0.00014987
12143,11052,428314.1412,3381152.9315,3,0.00014986
12144,44387,396719.6935,3418330.1824,4,0.00014976
12145,22596,401877.3298,3389953.4084,3,0.00014971
12146,6736,351929.8263,3375138.3202,3,0.0001497
12147,5858,410630.8594,3373575.3308,3,0.00014937
12148,40165,398472.5814,3408525.8969,4,0.00014906
12149,19089,402239.9042,3386952.3331,3,0.00014905
12150,49952,414275.2269,3396451.7786,2,0.00014905
12151,39975,394662.4006,3408086.9447,3,0.00014905
12152,22481,395130.2877,3389898.6674,3,0.00014904
12153,43658,405620.7621,3416750.2654,3,0.00014903
12154,28618,411022.756,3394093.9557,3,0.000149
12155,12162,410472.4033,3382186.776,3,0.00014894
12156,10614,427977.4861,3380684.5427,3,0.00014881
12157,21101,408437.1728,3388850.5545,4,0.0001488
12158,2882,351820.5459,3365195.7178,3,0.00014879
12159,40929,420083.3802,3409830.3228,3,0.00014877
12160,39073,420923.4675,3406092.9564,4,0.00014853
12161,42732,446704.0214,3414155.8524,2,0.00014853
12162,43883,403114.8755,3417126.7057,3,0.00014845
12163,44152,403952.8354,3417866.2919,3,0.00014828
12164,2235,397302.5942,3362206.0894,3,0.00014828
12165,6631,402145.9836,3375016.391,3,0.00014817
12166,36180,399319.3296,3401584.6997,4,0.00014815
12167,4279,407289.5793,3370649.6193,4,0.00014811
12168,32485,386161.1983,3396572.8194,3,0.00014805
12169,45877,407983.033,3426925.3642,3,0.00014794
12170,26938,384341.6415,3392957.5166,4,0.00014787
12171,21175,406967.7084,3388918.6125,2,0.00014785
12172,20730,406836.7197,3388634.3113,4,0.00014781
12173,28764,402957.1473,3394166.8018,2,0.0001478
12174,26487,410558.6044,3392579.343,3,0.00014779
12175,26417,411171.5241,3392508.8415,3,0.00014772
12176,36922,400271.82,3402848.0707,3,0.00014757
12177,17424,398647.8617,3385652.9411,3,0.00014754
12178,14738,367854.4241,3383844.6215,3,0.00014751
12179,6966,367868.9072,3375851.2335,3,0.00014736
12180,28303,417900.3158,3393952.8259,3,0.00014733
12181,39836,383600.7767,3407682.7661,2,0.00014721
12182,12952,409439.0802,3382801.6562,2,0.00014697
12183,34140,392054.3049,3398014.3608,2,0.00014691
12184,42959,380096.0984,3415040.9403,4,0.00014691
12185,28448,418161.2498,3394015.5191,3,0.00014674
12186,33892,405926.484,3397756.6199,2,0.00014672
12187,25674,409565.9151,3391971.0226,3,0.0001467
12188,243,354074.6226,3346476.5213,4,0.00014662
12189,5408,403043.6392,3373265.9443,2,0.00014651
12190,21670,403919.0179,3389290.5855,4,0.00014637
12191,17173,361117.6693,3385459.8979,3,0.0001462
12192,6614,409975.8512,3374989.2761,3,0.00014618
12193,31117,405223.9723,3395596.7603,4,0.00014616
12194,2713,351065.4339,3364769.6098,3,0.00014616
12195,37026,397706.8025,3402940.0009,3,0.00014615
12196,39839,383591.0572,3407692.6817,2,0.00014609
12197,13985,411188.288,3383440.1552,3,0.00014598
12198,39245,411584.932,3406323.993,2,0.00014596
12199,14697,410382.3032,3383838.5529,4,0.00014591
12200,2329,395535.6042,3362458.3124,3,0.00014587
12201,8806,410772.8742,3378985.419,3,0.00014584
12202,24688,411131.6332,3391213.047,3,0.00014578
12203,37324,397488.5088,3403336.4668,3,0.00014563
12204,25948,410606.6449,3392172.072,3,0.00014555
12205,29341,410259.4867,3394524.1053,3,0.00014551
12206,19359,411735.048,3387256.448,4,0.00014548
12207,27629,414571.9773,3393601.856,3,0.00014544
12208,33583,408753.1124,3397369.3299,3,0.00014538
12209,8402,422733.0352,3378393.0794,3,0.00014528
12210,45636,400879.4158,3424891.7573,3,0.00014526
12211,38150,403226.5622,3404131.5167,3,0.00014509
12212,44594,427185.6916,3418856.013,2,0.00014509
12213,16836,412009.4712,3385124.9884,3,0.00014509
12214,9509,425681.5171,3379596.7641,3,0.00014509
12215,12410,358175.542,3382391.7535,3,0.00014504
12216,1533,395775.5393,3359080.4176,3,0.00014502
12217,37423,420460.2077,3403517.0687,3,0.000145
12218,31176,414208.151,3395640.1927,3,0.00014499
12219,27325,410889.8207,3393344.0437,3,0.00014496
12220,20947,408390.7268,3388767.3026,4,0.00014464
