排名,节点ID,X坐标,Y坐标,度数,介数中心性
7436,18496,794230.9383,2555627.1643,1,0.0
7437,8555,817247.4437,2536328.5464,1,0.0
7438,8545,813032.9756,2536081.1722,1,0.0
7439,8543,813169.8041,2534292.0637,1,0.0
7440,8590,796392.2448,2536401.1573,1,0.0
7441,8588,809662.9897,2535836.8753,1,0.0
7442,15105,806398.3493,2548255.3445,1,0.0
7443,11717,805976.297,2542994.1749,1,0.0
7444,11790,806008.5667,2543141.6194,1,0.0
7445,11777,800831.1424,2543123.341,1,0.0
7446,2984,815439.8128,2520155.9679,1,0.0
7447,3060,820114.3793,2520029.6453,1,0.0
7448,3054,819665.9934,2520228.7355,1,0.0
7449,3050,785911.7839,2519436.8746,1,0.0
7450,3049,786016.6688,2520308.0269,1,0.0
7451,3090,820604.6331,2519982.7538,1,0.0
7452,11764,798091.5776,2543106.7511,1,0.0
7453,11754,802441.998,2543090.0902,1,0.0
7454,15058,809270.0982,2548384.3859,1,0.0
7455,11833,794409.9696,2542623.6133,1,0.0
7456,11842,806026.9632,2543161.1707,1,0.0
7457,16259,802956.9923,2550324.2209,1,0.0
7458,8644,771098.8891,2536487.8579,1,0.0
7459,8717,809553.0045,2536450.3174,1,0.0
7460,18567,782836.7328,2555738.9953,1,0.0
7461,18556,785152.6072,2555702.2368,1,0.0
7462,18542,784417.7365,2555645.1207,1,0.0
7463,18538,785003.4494,2555678.8457,1,0.0
7464,2970,824127.684,2520170.0616,1,0.0
7465,2961,824111.688,2520149.1992,1,0.0
7466,2952,824161.6866,2520133.9131,1,0.0
7467,18512,781138.9271,2554096.3049,1,0.0
7468,2801,821170.0193,2519754.5094,1,0.0
7469,2793,817219.9669,2519883.5555,1,0.0
7470,2782,824722.8487,2519731.2558,1,0.0
7471,2770,821513.095,2519820.2765,1,0.0
7472,2765,817223.5921,2519804.9441,1,0.0
7473,18591,785377.9985,2555802.1284,1,0.0
7474,18590,785440.4204,2555735.6673,1,0.0
7475,2822,822202.1805,2519919.8688,1,0.0
7476,2885,824084.2677,2519975.0659,1,0.0
7477,2882,818325.6882,2519709.9456,1,0.0
7478,2848,819152.3794,2519715.8644,1,0.0
7479,2922,816197.9848,2520015.5616,1,0.0
7480,2908,817430.1376,2520072.7006,1,0.0
7481,2906,824266.0378,2520046.7598,1,0.0
7482,2898,824482.689,2520055.5861,1,0.0
7483,11766,800323.3369,2543109.7682,1,0.0
7484,2695,817487.1001,2519456.3206,1,0.0
7485,2692,817348.0826,2519575.8826,1,0.0
7486,2689,817245.9293,2519635.232,1,0.0
7487,8664,809465.6987,2536350.4548,1,0.0
7488,16240,769013.3426,2550323.6893,1,0.0
7489,16230,769116.2709,2550282.0187,1,0.0
7490,8744,812561.5051,2536473.9936,1,0.0
7491,8795,815253.7902,2536823.6898,1,0.0
7492,8786,793205.2075,2536762.13,1,0.0
7493,18646,765238.6312,2555934.5986,1,0.0
7494,18633,782102.79,2555865.855,1,0.0
7495,18628,784119.8085,2555833.724,1,0.0
7496,18614,784846.503,2555798.9794,1,0.0
7497,2753,828327.9835,2519696.4088,1,0.0
7498,2752,815972.7074,2519191.3885,1,0.0
7499,2750,822139.6133,2519737.0593,1,0.0
7500,18677,784692.0978,2555535.7621,1,0.0
7501,14564,777531.8105,2547175.2034,1,0.0
7502,14561,776725.1084,2547252.3069,1,0.0
7503,13726,808833.3298,2545478.5962,1,0.0
7504,13725,808608.2767,2545499.1472,1,0.0
7505,13808,808206.581,2545647.5155,1,0.0
7506,13806,810649.747,2545608.004,1,0.0
7507,13786,807484.5749,2545560.4138,1,0.0
7508,13824,778476.0054,2545653.5956,1,0.0
7509,2686,817927.7444,2519492.8022,1,0.0
7510,2668,817694.4719,2519493.7669,1,0.0
7511,2658,821413.2309,2519569.666,1,0.0
7512,2721,817244.6883,2519718.3275,1,0.0
7513,2714,825026.72,2519704.5246,1,0.0
7514,2703,827838.7235,2519650.4251,1,0.0
7515,2698,777461.6143,2519656.8655,1,0.0
7516,2532,824221.5415,2519263.733,1,0.0
