排名,节点ID,X坐标,Y坐标,度数,介数中心性
5083,3839,710498.21,3827338.4809,3,0.00066132
5084,16862,747075.1853,3852801.4141,3,0.00066097
5085,8374,740828.2281,3846262.2168,4,0.00066073
5086,7323,714617.7108,3844556.6045,3,0.00066059
5087,14288,749062.4768,3850839.8221,3,0.00066042
5088,1370,687216.8291,3815200.5752,3,0.00066019
5089,18182,742848.3083,3854143.7469,3,0.00065992
5090,20101,738991.2336,3857274.4667,3,0.00065988
5091,9994,741494.3102,3848017.1258,3,0.00065948
5092,12506,750176.3874,3849715.425,4,0.000659
5093,14405,745621.5635,3850943.5772,4,0.00065888
5094,20285,740095.8146,3857502.9462,3,0.00065877
5095,3796,758540.5867,3826306.226,2,0.00065779
5096,23543,724923.7953,3863947.4737,3,0.00065751
5097,2543,738308.393,3822409.7358,2,0.00065718
5098,9247,750942.6498,3847345.2743,4,0.00065717
5099,20324,738488.2562,3857557.3172,3,0.00065715
5100,8529,684277.8646,3846510.6447,3,0.00065697
5101,23373,743358.632,3863081.7538,3,0.00065668
5102,5378,750602.6974,3839816.2318,2,0.00065561
5103,1363,685553.6891,3815175.0208,4,0.00065493
5104,5131,742460.3642,3839180.666,3,0.00065475
5105,9289,743292.2341,3847399.9235,2,0.0006529
5106,16707,708174.1033,3852754.0585,3,0.00065284
5107,13565,742536.6165,3850263.8388,2,0.00065247
5108,14519,762631.0919,3851043.9326,4,0.00065231
5109,9465,741503.8057,3847545.9289,3,0.0006517
5110,882,735482.0071,3811828.211,2,0.00065126
5111,18050,708342.491,3853999.9165,4,0.0006507
5112,19540,743636.3861,3855898.3127,4,0.00064958
5113,15269,746904.4518,3851732.4585,3,0.00064949
5114,3055,759854.2071,3824491.7356,3,0.00064945
5115,11530,740141.1234,3848981.5212,3,0.000649
5116,840,735434.1821,3811482.1007,2,0.00064875
5117,11499,744495.3924,3848962.5324,3,0.00064844
5118,2425,701934.1087,3821774.3352,3,0.00064819
5119,11216,749913.8372,3848824.8003,3,0.00064772
5120,23254,748855.2294,3862714.2412,2,0.00064628
5121,10260,756903.3859,3848327.8813,2,0.00064564
5122,23205,748303.3554,3862448.6364,3,0.000645
5123,25575,743642.3021,3863202.9302,4,0.00064363
5124,3179,717757.5227,3824619.2538,3,0.00064359
5125,15965,687252.5072,3852260.2173,3,0.00064312
5126,17060,738231.7663,3852923.4222,3,0.00064271
5127,6487,752576.9379,3843103.2632,3,0.00064265
5128,23378,743114.0548,3863093.7583,3,0.00064257
5129,23339,712203.9131,3863011.5453,4,0.00064229
5130,1298,690715.5825,3814949.1998,4,0.00064229
5131,10868,745495.0679,3848665.5897,4,0.00064229
5132,9229,743829.895,3847338.117,4,0.00064229
5133,16289,732764.3456,3852483.6341,4,0.00064229
5134,11937,779087.1073,3849249.022,4,0.00064229
5135,15308,738933.3591,3851752.3486,4,0.00064229
5136,17291,738854.9128,3853112.0857,4,0.00064229
5137,9877,678024.7294,3847925.6058,4,0.00064229
5138,20614,734960.5447,3858167.6719,4,0.00064229
5139,1834,734065.6649,3817593.8605,4,0.00064229
5140,22706,748442.1461,3860771.0642,4,0.00064229
5141,4118,775021.7394,3831440.3802,3,0.00064227
5142,2192,678209.7018,3820623.2581,3,0.00064227
5143,130,670234.118,3805408.6092,3,0.00064227
5144,22082,782775.6344,3859612.1867,2,0.00064222
5145,4376,748787.0083,3835944.4092,2,0.00064222
5146,250,757330.4687,3807745.314,2,0.00064222
5147,2164,681269.3974,3820421.872,3,0.00064222
5148,22071,782790.6298,3859603.965,2,0.00064222
5149,38,738258.5609,3801273.044,2,0.00064222
5150,21706,758188.5278,3859730.4718,2,0.00064222
5151,21681,758181.0481,3859709.0878,2,0.00064222
5152,1885,676606.5601,3818459.0655,3,0.00064222
5153,39,738286.5363,3801310.9972,2,0.00064222
5154,21073,740669.1208,3858931.1456,2,0.00064222
5155,23103,742023.4729,3862084.0265,2,0.00064222
5156,3621,759818.8699,3825306.5353,3,0.00064222
5157,23514,782485.7488,3863800.0795,4,0.00064222
5158,10,674004.0857,3798121.0928,2,0.00064222
5159,4650,756768.9173,3837273.9526,2,0.00064217
5160,18580,755351.1445,3854738.6681,4,0.00064208
5161,19116,737347.7549,3855300.795,4,0.00064206
5162,18448,755550.6813,3854464.2403,3,0.00064205
5163,1974,677302.6084,3819622.2287,3,0.00064194
5164,2669,761387.5205,3823535.718,2,0.00064191
5165,3626,759499.5209,3825316.0398,3,0.00064179
5166,88,707339.7308,3804296.5064,2,0.00064154
5167,14387,750500.5281,3850931.906,3,0.00064154
5168,9299,684561.9463,3847405.666,4,0.0006413
5169,16114,762882.8062,3852202.7106,2,0.0006407
5170,11451,740378.292,3848943.9375,3,0.00064067
5171,17177,747999.6621,3853021.8049,3,0.00064059
5172,6549,747247.7482,3843145.5822,2,0.0006405
5173,2736,738706.3878,3823784.4523,2,0.00064023
5174,1356,693609.7598,3815138.5871,3,0.00064007
5175,14016,752820.2617,3850678.1023,3,0.00063882
5176,14359,749090.8312,3850825.9365,2,0.00063866
5177,5965,744393.2448,3841747.8628,3,0.0006382
5178,22669,748296.38,3860726.7777,3,0.00063703
5179,22611,726103.4456,3860619.8753,3,0.00063623
5180,22265,724906.3802,3860276.8317,2,0.0006362
5181,1736,680838.9116,3817038.3024,3,0.00063589
5182,10576,740374.1457,3848543.9206,3,0.00063543
5183,10924,740193.0806,3848696.4101,3,0.00063523
5184,3824,711617.7488,3827293.6391,3,0.0006349
5185,18679,740671.885,3854806.0482,3,0.00063482
5186,22664,715691.8197,3860706.4578,2,0.00063448
5187,22272,748307.3621,3860301.1301,4,0.00063443
5188,19564,754964.072,3855949.4847,3,0.00063424
5189,13216,750643.1938,3850141.6105,3,0.00063418
5190,149,750476.5083,3806168.7693,3,0.00063394
5191,4688,733713.6738,3837448.2363,3,0.00063383
5192,8569,774516.6455,3846546.5103,3,0.00063339
5193,25538,743920.4228,3862985.8864,3,0.00063213
5194,2619,738338.0819,3822539.8045,2,0.00063152
5195,22452,724436.6161,3860452.7682,2,0.00063121
5196,15735,741568.3987,3852058.3818,3,0.0006311
5197,19679,740039.8657,3856326.442,3,0.00063086
5198,5142,729971.5489,3839196.9089,2,0.00062967
5199,6439,745131.0892,3843055.3431,3,0.00062935
5200,5913,759592.2235,3841605.9706,3,0.00062904
5201,22550,719757.3573,3860286.4521,2,0.00062888
5202,15521,747716.9335,3851877.1299,3,0.00062786
5203,11899,743245.113,3849223.0151,3,0.00062761
5204,13471,744854.0242,3850229.4007,2,0.00062664
5205,14076,752730.0184,3850717.1195,3,0.00062646
5206,4645,734021.1437,3837269.1587,3,0.00062577
5207,8949,736085.3553,3846966.3911,4,0.0006255
5208,3275,760519.4518,3824698.5157,3,0.0006253
5209,6714,747590.248,3843359.4259,3,0.00062373
5210,12066,750669.7255,3849394.0502,4,0.00062321
5211,6281,742345.2619,3842956.8669,3,0.000623
5212,23320,724858.0357,3862971.2161,2,0.00062299
5213,10978,752750.5568,3848737.601,4,0.00062263
5214,5466,735840.8342,3840101.0273,2,0.00062257
5215,22741,715630.3053,3860718.3053,2,0.0006225
5216,16684,687317.0653,3852483.3391,2,0.00062247
5217,17530,747797.8412,3853291.1665,2,0.00062174
5218,16953,731009.9094,3852855.4359,3,0.0006215
5219,21819,750101.6092,3859909.7209,3,0.0006215
5220,14355,749275.7512,3850912.2499,4,0.00062143
5221,11249,740302.9483,3848840.0065,4,0.00062115
5222,23593,714017.2153,3864577.3602,4,0.000621
5223,18190,743036.2567,3854147.6009,3,0.00062084
5224,13356,744720.9269,3850039.6198,2,0.00062041
5225,10769,680292.0217,3848617.0611,3,0.00062028
5226,9944,749644.6314,3847993.5246,4,0.00062021
5227,12091,751373.5859,3849405.5819,2,0.00061985
5228,11590,736093.1746,3849015.5879,2,0.00061961
5229,15123,743745.2335,3851647.0811,3,0.00061853
5230,1484,724764.1561,3815527.1877,3,0.00061851
5231,20778,705395.7942,3858519.1586,3,0.00061846
5232,6967,751663.9686,3843730.9558,2,0.00061796
5233,14702,750371.7589,3851127.9082,2,0.00061784
5234,1264,686424.1647,3814827.7558,4,0.00061777
5235,2747,719258.3019,3824072.0011,3,0.00061722
5236,24753,736124.196,3849588.412,4,0.00061677
5237,10265,757329.7966,3848338.771,2,0.00061569
5238,10981,740337.9098,3848737.7046,3,0.0006156
5239,5447,730143.3879,3839683.4445,2,0.00061558
5240,8497,751608.1041,3846474.2643,3,0.00061547
5241,18174,742415.8955,3854133.9358,3,0.00061511
5242,6556,747267.3573,3843148.0624,3,0.00061471
5243,24445,740147.1516,3843581.3766,3,0.00061465
5244,9008,684701.4209,3847023.81,4,0.00061415
5245,7310,753453.4266,3844509.9437,3,0.00061341
5246,8645,681157.2671,3846625.885,3,0.00061338
5247,15312,747497.3295,3851752.8594,4,0.00061308
5248,6134,732540.3555,3842514.9171,3,0.00061207
5249,24300,740251.5258,3842867.6899,3,0.00061202
5250,7434,752294.96,3845019.4603,3,0.00061202
5251,8834,681143.2176,3846797.4933,3,0.00061175
5252,22396,748720.3084,3860402.2714,4,0.0006109
5253,4436,736949.5199,3836186.1252,3,0.00061047
5254,23494,724869.7091,3863574.3154,3,0.00061038
5255,5894,737497.2788,3841541.8876,3,0.00061012
5256,21959,740302.4038,3860023.9335,3,0.00060942
5257,11340,740229.7177,3848870.0854,4,0.00060912
5258,19278,755356.4645,3855395.4611,4,0.00060911
5259,471,752111.7341,3809201.9348,3,0.00060873
5260,12082,751174.1509,3849401.1851,2,0.00060872
5261,18224,711245.7287,3854174.7188,4,0.00060811
5262,19249,741921.9722,3855361.6643,3,0.00060777
5263,11561,748265.8934,3849000.0114,2,0.00060773
5264,14323,748120.1218,3850891.338,2,0.00060667
5265,9371,743435.8298,3847464.7455,3,0.00060667
5266,20499,738819.4944,3857903.3631,4,0.00060666
5267,16800,738468.8736,3852783.7249,3,0.00060665
5268,3334,758405.5339,3824744.6828,3,0.00060613
5269,21735,723265.0377,3859782.5802,3,0.00060573
5270,6729,749350.9009,3843368.7307,2,0.00060502
