排名,节点ID,X坐标,Y坐标,度数,介数中心性
3376,11959,648418.4793,2780897.874,3,0.00064209
3377,10410,684015.3528,2766713.4325,3,0.00064209
3378,834,670360.9233,2730873.7754,3,0.00064209
3379,3996,654842.7836,2746009.555,3,0.00064209
3380,9840,698223.4498,2763364.9833,3,0.00064209
3381,3680,656174.6061,2744850.8824,3,0.00064209
3382,12244,693523.0083,2786966.4473,3,0.00064209
3383,5815,694166.4631,2753431.2662,4,0.00064209
3384,10499,665089.7455,2767272.6973,3,0.00064209
3385,11557,640018.5216,2776800.6215,3,0.00064209
3386,4082,654893.8732,2746262.6414,3,0.00064209
3387,6292,666200.7944,2754089.3225,4,0.00064209
3388,13393,648149.5923,2836974.8742,3,0.00064209
3389,2098,676754.9754,2738008.3395,3,0.00064209
3390,13105,585700.6646,2810033.6047,3,0.00064209
3391,11434,684409.6175,2773967.179,3,0.00064209
3392,11508,685513.6139,2776140.8764,3,0.00064209
3393,3743,674256.0225,2745215.0016,3,0.00064209
3394,9535,616970.5694,2762624.7549,3,0.00064209
3395,13498,611154.6954,2843822.8616,3,0.00064209
3396,11222,685602.1995,2772474.2559,3,0.00064209
3397,13644,669356.7041,2743599.4406,3,0.00064209
3398,13645,669309.0463,2743719.0781,3,0.00064209
3399,4664,663915.0514,2750687.0247,3,0.00064209
3400,10168,648610.5896,2765103.9395,3,0.00064209
3401,10158,648399.8699,2764960.6927,3,0.00064209
3402,9074,661822.2933,2761398.9064,3,0.00064209
3403,12514,603500.1424,2791250.4381,3,0.00064209
3404,6386,659998.3368,2754423.7661,3,0.00064209
3405,11858,688631.4189,2779647.9479,3,0.00064209
3406,9677,599703.3255,2762997.1132,3,0.00064209
3407,443,638813.0267,2721898.8282,3,0.00064209
3408,8054,654080.8374,2757441.421,3,0.00064209
3409,5272,682209.6943,2752288.9528,3,0.00064209
3410,11892,588540.8982,2780170.4754,3,0.00064209
3411,4477,658642.6305,2750106.3752,3,0.00064209
3412,3070,674231.3503,2741655.8371,3,0.00064207
3413,13048,615938.0337,2805839.0828,2,0.00064202
3414,9889,668268.6672,2763475.4521,2,0.00064202
3415,13329,594650.2529,2822984.8297,2,0.00064202
3416,13065,616537.1988,2808093.9645,2,0.00064202
3417,4712,661853.8717,2750574.5931,2,0.00064202
3418,9685,621767.0836,2762987.0474,2,0.00064202
3419,9908,622482.0503,2763545.3072,2,0.00064202
3420,13328,597671.7073,2822586.3249,2,0.00064202
3421,10979,619862.4526,2770949.199,2,0.00064202
3422,14459,659152.6997,2763220.285,3,0.00064202
3423,12850,599895.7521,2799487.1153,2,0.00064202
3424,558,643011.4838,2725624.4654,2,0.00064202
3425,5024,668947.4429,2751694.5379,2,0.00064202
3426,13325,596636.4852,2822758.35,2,0.00064202
3427,9993,638447.277,2763919.7167,2,0.00064202
3428,12800,640263.015,2798848.2898,2,0.00064202
3429,9912,647655.9163,2763195.7956,2,0.00064202
3430,8691,657989.5476,2759735.1886,2,0.00064202
3431,7382,605712.372,2755152.1541,2,0.00064202
3432,5858,664879.9384,2753497.9314,2,0.00064202
3433,3843,653236.6836,2745364.7525,2,0.00064202
3434,13364,616698.1349,2835303.5743,2,0.00064202
3435,12553,602564.7762,2791721.2028,2,0.00064202
3436,12993,597056.0917,2801466.9681,2,0.00064202
3437,7379,605727.8938,2755151.1329,2,0.00064202
3438,3025,664474.6546,2741242.039,3,0.00064202
3439,559,642972.3662,2725626.4998,2,0.00064202
3440,5037,668943.4665,2751705.6329,2,0.00064202
3441,3113,673762.9464,2741898.5624,2,0.00064202
3442,3915,633492.0464,2745711.5314,2,0.00064202
3443,5068,657869.0504,2751751.1488,2,0.00064202
3444,4323,660934.276,2746998.4137,2,0.00064202
3445,7011,588133.9773,2755417.5484,2,0.00064202
3446,7005,588204.8297,2755424.5922,3,0.00064202
3447,8649,607397.7175,2758101.506,2,0.00064202
3448,13403,610664.8683,2837435.5426,2,0.00064202
3449,12403,606518.6876,2788821.8107,2,0.00064202
