排名,节点ID,X坐标,Y坐标,度数,接近中心性
4470,13083,406153.6093,3382862.2903,3,0.02260572
4471,13326,406150.2181,3383059.15,1,0.02260499
4472,18975,414500.3329,3386869.5077,2,0.02260421
4473,25643,419265.3056,3391948.9362,2,0.02260421
4474,19779,414632.1955,3387725.97,3,0.02260269
4475,22391,414029.4597,3389857.5777,5,0.02260191
4476,36740,421201.8938,3402124.8672,2,0.0226013
4477,17328,411400.2297,3385588.987,3,0.02260124
4478,29503,415591.0533,3394643.7085,4,0.02260107
4479,39152,408336.2125,3406198.7504,2,0.02260089
4480,28325,412034.9151,3393963.8133,2,0.02259947
4481,23106,394856.028,3390270.3803,3,0.02259912
4482,22473,417715.1527,3389895.4183,4,0.02259781
4483,32803,420441.8839,3396854.2706,3,0.02259627
4484,24309,392254.7509,3391049.7333,4,0.02259534
4485,29699,415601.0192,3394757.6551,3,0.02259484
4486,48940,414620.4329,3390903.2148,3,0.02259383
4487,33207,397581.172,3397132.7038,2,0.02259322
4488,26031,414954.6344,3392230.9819,3,0.02259304
4489,18617,416197.0478,3386634.8702,3,0.02259234
4490,36657,399098.5103,3402432.3364,3,0.02259229
4491,29607,413269.9895,3394697.7986,4,0.02259203
4492,18425,416967.6822,3386495.6797,3,0.02259147
4493,28500,411104.838,3394045.3745,4,0.02259022
4494,11602,412560.9054,3381613.3047,4,0.02258999
4495,21277,391811.0134,3389018.6419,3,0.02258973
4496,13977,411070.3912,3383260.3134,2,0.02258941
4497,24569,419319.2837,3391169.6431,4,0.02258915
4498,16168,411331.221,3384649.9255,3,0.02258677
4499,37990,400836.1543,3403993.9795,3,0.02258563
4500,30923,414885.8096,3395464.91,3,0.022585
4501,38478,401923.1758,3404565.5498,3,0.02258488
4502,15672,405445.3015,3384373.5113,3,0.02258415
4503,16388,405149.0744,3384749.9888,1,0.02258392
4504,28200,417126.7252,3393905.9686,4,0.02258317
4505,10290,405091.5367,3380039.2474,1,0.02258235
4506,28478,415125.6417,3394034.2992,3,0.02258198
4507,14864,411403.2623,3383903.8964,2,0.02258183
4508,24956,414845.5165,3391357.1093,3,0.02258166
4509,13993,399995.7094,3383437.8761,3,0.02257971
4510,32127,397624.3252,3396333.9391,2,0.02257965
4511,49819,414343.2051,3396314.2021,2,0.02257963
4512,16944,391316.0062,3384835.1703,2,0.02257881
4513,35417,401505.2203,3400156.2819,1,0.02257867
4514,31532,413647.012,3395889.0956,2,0.02257681
4515,29584,393560.6152,3394691.8612,4,0.02257667
4516,27641,397227.6842,3393628.0718,2,0.02257588
4517,28357,396564.2276,3393979.1845,1,0.02257577
4518,37859,409332.6976,3403893.9361,4,0.0225751
4519,11877,408287.0482,3381915.5899,3,0.02257275
4520,15528,409114.1281,3384310.8636,4,0.02257266
4521,23420,414899.4902,3390441.1844,4,0.02257202
4522,17682,398860.3537,3385823.1548,4,0.02257168
4523,40279,411610.6395,3408749.9278,2,0.02257147
4524,15955,409857.0927,3384512.0022,4,0.02257023
4525,15512,408525.7541,3384290.6079,1,0.02256996
4526,22515,396806.0204,3389921.4118,3,0.02256907
4527,17783,416065.1229,3385881.3118,4,0.02256886
4528,28195,412352.6332,3393902.1898,3,0.0225684
4529,17813,415947.9119,3385924.4955,3,0.02256706
4530,34238,412552.8536,3398126.1396,3,0.02256599
4531,21833,418386.7431,3389440.665,2,0.02256562
4532,33371,413138.7853,3397284.6656,3,0.02256382
4533,38495,409535.1003,3404576.3739,4,0.02256057
4534,25707,406667.3071,3391992.3281,1,0.02256028
4535,31820,414573.2602,3396143.6162,2,0.02256008
4536,24057,414107.0705,3390897.3777,5,0.02255979
4537,19243,417380.3288,3387134.4775,4,0.02255866
4538,22153,418464.641,3389672.4255,4,0.02255802
4539,31222,419996.6171,3395668.7066,4,0.02255756
4540,34471,411289.3892,3398443.823,2,0.0225555
4541,38828,398863.4756,3405534.5854,4,0.02255434
4542,28317,397768.8321,3393960.7084,2,0.02255417
4543,12151,410379.5626,3382120.4035,2,0.0225535
4544,15884,409663.3613,3384495.4009,3,0.02255298
4545,16855,411145.8226,3385136.964,4,0.02255295
4546,21122,411507.3589,3388874.5821,3,0.02255246
4547,33995,418411.5671,3397842.5805,2,0.02255197
4548,34032,418406.6675,3397873.2961,2,0.0225513
4549,34304,411720.8057,3398189.2499,2,0.02255099
4550,50284,417152.2067,3398270.2198,4,0.0225491
4551,35586,422507.996,3400697.4131,2,0.02254879
4552,23505,414799.0305,3390500.5092,2,0.02254789
4553,17379,411554.2007,3385639.9037,2,0.0225478
4554,24468,419054.4578,3391119.9168,3,0.02254766
4555,16105,411272.2805,3384620.6624,3,0.02254728
4556,29055,397677.0552,3394348.9962,2,0.02254688
