排名,节点ID,X坐标,Y坐标,度数,接近中心性
7620,262,824499.6615,2511203.4643,3,0.01266887
7621,273,824360.5148,2511233.4873,1,0.01266878
7623,530,824261.4029,2512078.7598,1,0.0126651
7624,541,824139.3051,2512157.4608,1,0.0126651
7622,528,824193.3285,2512120.483,1,0.0126651
7625,59,823766.7725,2510670.4379,1,0.0126594
7626,68,823994.6825,2510693.3012,1,0.0126594
7627,2703,827838.7235,2519650.4251,1,0.01262076
7628,2753,828327.9835,2519696.4088,1,0.01262076
7629,285,824066.5069,2511280.3097,3,0.01253869
7630,344,824352.3786,2511442.9254,3,0.01253393
7631,309,824198.511,2511347.6484,3,0.01253364
7632,298,824256.2207,2511306.292,4,0.0125247
7633,282,823897.7574,2511275.2736,3,0.01252107
7634,266,823967.1875,2511199.8527,1,0.01252083
7635,426,824489.6529,2511560.8002,1,0.01251723
7636,277,824489.6141,2511254.0597,1,0.0125104
7637,331,824481.8308,2511409.581,3,0.01237935
