排名,节点ID,X坐标,Y坐标,度数,接近中心性
4471,26000,273551.0307,4031714.8502,4,0.01851497
4472,15853,265919.7936,4000595.8235,3,0.01851437
4473,19554,280925.8829,4013937.2002,2,0.01851305
4474,18968,236518.3757,4012498.5535,2,0.01851272
4475,17807,228956.4706,4006556.2694,4,0.01851266
4476,37026,265998.072,4002759.5351,4,0.01851248
4477,29223,275769.6982,4037443.5022,3,0.01851204
4478,18070,228922.2408,4007123.0437,1,0.01851147
4479,34567,262154.6044,4082188.158,2,0.01851095
4480,16346,231129.2885,4001791.1906,3,0.01851033
4481,25652,274252.6336,4031447.7645,3,0.01850948
4482,32819,212658.3792,4050213.2621,1,0.01850782
4483,29138,274990.0602,4037250.0712,3,0.01850764
4484,16942,277302.3278,4004377.7877,3,0.01850627
4485,28797,272571.067,4035716.8507,3,0.01850511
4486,33396,239497.8015,4064912.4653,3,0.01850469
4487,26339,274737.4469,4032008.6834,3,0.01850412
4488,15954,266061.1631,4000821.8185,3,0.01850394
4489,28897,274122.6905,4036161.2415,3,0.01850348
4490,27304,273955.0619,4033146.5199,3,0.01850314
4491,20301,225823.2468,4015592.3868,3,0.01850293
4492,20451,225524.3029,4015774.7834,2,0.0185027
4493,33422,238406.2327,4065689.9466,1,0.01850241
4494,16630,268033.4042,4002604.4873,2,0.01850177
4495,26215,269536.0543,4031909.3193,1,0.01850177
4496,24008,296220.6364,4023643.5413,2,0.01849985
4497,21616,245374.2361,4017241.5689,3,0.01849895
4498,19212,225877.4907,4013143.9223,2,0.01849851
4499,32682,242215.1891,4050085.8038,2,0.01849835
4500,21718,245253.6655,4017332.8463,3,0.01849822
4501,21564,245242.5835,4017188.5206,3,0.01849763
4502,27258,270527.0356,4033059.1085,4,0.01849675
4504,32946,222243.5977,4055887.0221,1,0.01849554
4503,32937,218416.3481,4055807.7533,1,0.01849554
4505,19211,227571.0055,4012586.3224,2,0.01849528
4506,25526,266308.8456,4031322.04,4,0.01849468
4507,25085,274728.2228,4030402.4446,1,0.01849337
