排名,节点ID,X坐标,Y坐标,度数,接近中心性
1986,8403,666207.6835,2758432.368,1,0.0275313
1987,3103,650206.1209,2741846.7556,4,0.02753013
1988,8514,661087.1382,2759111.1323,3,0.02752514
1989,7971,661100.3332,2757168.1149,3,0.02752499
1990,895,640453.0268,2731704.1966,3,0.02752308
1991,7607,660218.6623,2756509.271,4,0.02752264
1992,9283,649911.1719,2761939.973,2,0.02751839
1993,8721,669003.3249,2759980.2503,2,0.02751736
1994,3202,658566.3388,2742331.2014,3,0.02751721
1995,6799,660669.7237,2755143.3182,3,0.02751604
1996,8444,666504.9605,2758834.9238,4,0.02751604
1997,10871,664210.5673,2769052.7995,3,0.02751516
1998,5443,665529.1575,2752573.7384,2,0.02751384
1999,9999,650003.789,2763930.4481,3,0.02751326
2000,2700,665168.5572,2739766.4244,4,0.02751135
2001,8093,667619.803,2757078.0253,1,0.02750959
2002,2475,655229.0948,2739039.0718,4,0.02750769
2003,1841,646236.2115,2737133.7476,3,0.02750739
2004,9865,640969.9184,2763434.5323,3,0.02750637
2005,10049,662996.3765,2764179.6264,3,0.02750578
2006,1469,643226.7551,2735570.9187,3,0.0275049
2007,9986,641083.8601,2763868.2846,3,0.02749875
2008,8676,661038.4532,2759655.0435,2,0.02749787
2009,3857,660058.2057,2745420.6742,3,0.02749641
2010,956,642914.1506,2732714.5918,4,0.02749611
2011,8137,660285.5695,2757602.5551,3,0.02749553
2012,14037,669126.1775,2754371.2095,4,0.0274926
2013,3680,656174.6061,2744850.8824,3,0.02748923
2014,6811,660513.4631,2755147.7059,4,0.02748909
2015,9846,659401.8998,2763385.8058,2,0.02748791
2016,3894,658911.5448,2745552.4227,4,0.02748733
2017,2821,664712.8541,2740471.2683,3,0.0274866
2018,7763,666016.5771,2756741.3714,3,0.02748338
2019,2695,657204.8242,2739737.2988,2,0.02748235
2020,3406,647066.9786,2743361.2607,1,0.02747636
2021,5225,654082.2269,2751760.92,2,0.02747504
2022,6747,660638.9955,2755073.8052,3,0.02747402
2023,7408,654281.3989,2753911.2332,2,0.02747358
2024,2612,654576.9147,2739399.6775,3,0.02747343
2026,6292,666200.7944,2754089.3225,4,0.02747285
2025,1758,645725.3953,2736596.5907,3,0.02747285
2027,14041,669111.8779,2754372.5445,4,0.0274727
2028,1314,643358.4406,2735081.8976,3,0.02747197
2029,6020,668415.5722,2753754.4157,3,0.02746788
2030,6080,668390.854,2753833.8592,4,0.02746744
2031,7165,661093.7786,2755723.1263,4,0.02746715
2032,3923,659953.208,2745768.2102,4,0.02746642
2033,3583,660266.04,2744266.9425,3,0.02746306
2034,2993,646956.6871,2741208.2388,3,0.02746247
2035,8552,661351.1955,2759294.416,3,0.02746087
2036,3111,652744.5594,2741050.2662,2,0.02745897
2037,3853,659458.545,2745420.1426,4,0.02745736
2038,2497,647788.4761,2739215.7631,2,0.02745313
2039,3761,659370.5275,2745294.2345,3,0.02744787
2040,1898,642683.8039,2737429.5445,2,0.0274416
2041,2905,670825.6941,2740827.3747,4,0.02743854
2042,6889,660403.0527,2755211.4937,4,0.02743752
2043,7211,660820.6365,2755816.6501,3,0.02743169
2044,3766,659727.4267,2745297.9193,3,0.02743096
2045,9765,640602.5928,2763213.9513,3,0.0274279
2046,9913,659119.8271,2763549.3561,3,0.02742644
2047,7067,660590.6539,2755532.6808,2,0.02742469
2048,2625,654556.9401,2739411.5467,4,0.0274212
2049,7996,666108.5643,2757296.6492,3,0.0274177
2050,8219,660549.0357,2757805.2536,3,0.02741639
2051,6885,660560.8873,2755205.4727,3,0.0274161
2052,8245,668607.8811,2757897.8654,3,0.02741479
2053,4228,653856.013,2747205.963,2,0.02741217
2054,4873,654202.6476,2751248.7352,2,0.02741188
2055,8227,660511.6098,2757832.2204,3,0.02741115
2056,8231,668589.7227,2757856.4563,3,0.02740766
2057,3323,658951.7656,2743111.7344,3,0.02740664
2058,8849,638074.3728,2758437.9094,1,0.02740562
2059,8907,637620.6165,2760680.9434,1,0.02740562
2060,5136,667276.4634,2751449.4952,1,0.02740446
2061,5319,665878.5151,2752385.3473,1,0.02740446
2062,2303,666337.7834,2738401.6765,4,0.02740024
2063,7415,660884.29,2756192.7405,3,0.02739951
2064,2680,654217.5586,2739637.8738,2,0.02739748
2065,8998,668449.3322,2761095.828,2,0.02739486
2066,8306,667714.7416,2758064.0605,3,0.02738585
2067,7307,660472.5261,2755990.9072,3,0.02738571
2068,10438,664544.7993,2766790.0548,3,0.02738484
2069,7453,661334.2233,2756247.0682,3,0.02738062
2070,3541,660160.1512,2744198.8978,4,0.02737482
2071,4820,664338.7719,2751188.466,1,0.02737467
2072,2490,647824.7061,2739189.0249,3,0.02737308
