排名,节点ID,X坐标,Y坐标,度数,接近中心性
11441,31964,557738.6227,4644384.5276,3,0.02114414
11442,185,471950.8473,4594464.7786,3,0.02113849
11443,170,475564.8189,4590874.573,2,0.0211365
11444,4972,537341.3841,4614684.6765,4,0.02113601
11445,34201,526381.9519,4673119.0645,2,0.02113597
11446,32661,485581.8188,4649446.88,2,0.021131
11447,13828,534210.84,4622172.5205,3,0.02112981
11448,32735,477915.4011,4650157.4937,3,0.02112935
11449,4746,537521.2612,4614592.2869,3,0.02112704
11450,24885,554830.4522,4627790.4956,1,0.02112701
11451,11977,535195.6766,4621432.5846,3,0.02112211
11452,4886,537332.6455,4614644.606,4,0.02112102
11453,3548,537362.7701,4613320.9333,3,0.02112088
11454,34076,484983.2407,4670430.1298,3,0.02111878
11455,4759,537337.591,4614601.1318,3,0.02111581
11456,30158,482763.8695,4638904.5074,3,0.02111452
11457,4813,537340.7143,4614626.3065,3,0.02111172
11458,4835,537345.98,4614630.0311,3,0.02110815
11459,5374,537510.8392,4614929.8629,3,0.02110036
11460,10931,531921.5091,4620777.5504,3,0.02109977
11461,10934,531928.8665,4620778.0274,3,0.02109973
11462,11971,535181.2253,4621427.4285,3,0.02109282
11463,32658,500722.3966,4649011.9727,2,0.02108599
11464,33226,493039.1303,4653709.1353,2,0.02108313
11465,34567,491044.2012,4686580.8282,3,0.02107922
11466,31879,556588.8741,4644259.654,3,0.02107508
11467,31863,556524.5646,4644239.2,3,0.02107494
11468,31854,556510.8387,4644220.348,3,0.02107487
11469,4992,537561.7934,4614691.057,3,0.02107201
11470,5379,537351.3735,4614930.3738,3,0.02106808
11471,424,470326.3272,4596847.6805,2,0.02106317
11472,30098,483176.3795,4638654.7295,3,0.02105513
11473,15858,537931.8263,4622850.7984,1,0.0210535
11474,34136,488341.0177,4671430.0086,3,0.02103953
11475,32699,484522.5369,4649710.5869,2,0.02103575
11476,4837,537555.0678,4614630.779,3,0.02103211
11477,119,475951.3701,4590469.6741,3,0.02103117
11478,32651,475243.0744,4648881.6332,3,0.02102829
11479,4764,537541.8018,4614603.5747,3,0.02102534
11480,34365,488691.9432,4672083.7096,2,0.02102371
11481,29091,553500.3196,4634930.0112,3,0.02102039
11482,418,470982.1223,4596021.0207,2,0.02101865
11483,11372,531816.6827,4621121.0875,3,0.0210102
11484,11395,531786.8125,4621140.0957,3,0.02100809
11485,5336,537527.8894,4614898.6316,3,0.02100228
11486,30091,483080.0626,4638170.811,2,0.02100131
11487,33082,492661.3026,4652822.9898,2,0.02099332
11488,34323,530111.4927,4674191.7544,4,0.02099128
11489,5127,537521.4512,4614762.7574,3,0.02098883
11490,5342,537430.7905,4614904.5303,3,0.02098786
11491,13634,534258.3642,4622118.689,4,0.02098669
11492,4454,558835.2049,4614395.1252,3,0.02098582
11493,5330,537534.8846,4614889.9083,3,0.02098555
11494,109,476548.3551,4589785.8506,3,0.02098116
11495,5173,537530.4027,4614785.7756,3,0.02097947
11496,5443,537359.611,4614959.5167,3,0.02097823
11497,5151,537456.6028,4614774.8089,3,0.02097747
11498,14979,537322.7076,4622599.9469,2,0.02097581
11499,13810,534204.9561,4622168.5065,4,0.02097567
11500,980,559022.1885,4603291.0577,1,0.02097533
11501,5085,537427.8128,4614739.9407,3,0.02097478
11502,423,470989.1999,4596029.6963,2,0.02097288
11503,5237,537544.2242,4614821.2764,3,0.02097208
11504,32887,486435.6674,4651357.6329,1,0.02097171
11505,2449,489231.0662,4611727.6614,4,0.02097053
11506,2477,489088.5852,4611817.4162,1,0.02096984
11507,5265,537543.6326,4614843.6562,3,0.02096957
11508,5273,537536.0075,4614850.2889,3,0.02096957
11509,32359,468791.147,4646275.3874,3,0.02096864
11510,2353,489496.3971,4611570.9152,3,0.02096857
11511,5062,537460.2351,4614727.9415,3,0.02096805
11512,33494,489290.6801,4656542.1357,1,0.02096367
