u,v,euclid_dist,source
9045,15627,4970.2,vaccine
19180,19560,2922.0,vaccine
11580,17798,4696.9,vaccine
14443,15023,712.3,vaccine
6427,8734,4294.0,vaccine
8871,13431,3524.9,vaccine
16423,19467,3124.1,vaccine
9465,9635,2136.9,vaccine
12508,14667,2633.3,vaccine
13182,14675,2072.5,vaccine
13884,15370,1701.2,vaccine
13856,14282,2245.7,vaccine
7707,13375,4749.2,vaccine
9865,16056,4456.6,vaccine
9965,13375,2458.0,vaccine
13479,14546,2743.3,vaccine
14320,14564,4597.2,vaccine
8605,14546,4656.7,vaccine
16378,17850,2129.8,vaccine
6332,9069,4111.6,vaccine
5509,5601,2884.7,vaccine
13483,15166,4140.1,vaccine
9485,14463,4405.3,vaccine
19170,21855,4647.3,vaccine
12306,14702,4090.7,vaccine
14282,17798,4051.4,vaccine
4227,4436,3992.0,vaccine
13444,14675,3717.7,vaccine
13329,17609,3497.0,vaccine
11650,11755,968.0,vaccine
7762,9083,3399.6,vaccine
7664,11663,4968.8,vaccine
9288,11929,3637.5,vaccine
9187,13478,3289.5,vaccine
13527,15628,3711.4,vaccine
14463,15691,4980.1,vaccine
15342,17821,4471.0,vaccine
8653,9037,3356.2,vaccine
11556,11860,2613.5,vaccine
9065,13141,3768.3,vaccine
8906,14675,4318.4,vaccine
9987,13532,4735.3,vaccine
11929,14675,3084.8,vaccine
12641,16200,3208.4,vaccine
15213,16224,2531.5,vaccine
8309,9965,3060.4,vaccine
14260,14721,2206.2,vaccine
7676,9069,3849.9,vaccine
11793,13810,1494.2,vaccine
13379,13479,1182.0,vaccine
9226,13644,3107.1,vaccine
8609,9741,1892.1,vaccine
8137,10038,4215.8,vaccine
9059,11860,2993.0,vaccine
12479,24950,1242.0,vaccine
4301,4357,1411.6,vaccine
12855,13497,3540.8,vaccine
14983,17850,3941.5,vaccine
9727,24912,2958.0,vaccine
12328,13810,1460.2,vaccine
12225,15972,3536.3,vaccine
6585,7168,4800.9,vaccine
13574,16423,4895.6,vaccine
9686,14887,4152.8,vaccine
11906,13175,4207.3,vaccine
13454,13692,3038.0,vaccine
4238,4497,3057.8,vaccine
1169,1857,3920.8,vaccine
9635,24950,4179.7,vaccine
11556,13885,1829.2,vaccine
13035,24950,1010.5,vaccine
13302,14823,3531.9,vaccine
6288,9195,4361.0,vaccine
16428,16692,3604.2,vaccine
8781,10198,4202.7,vaccine
9195,13036,2843.9,vaccine
13375,24912,2593.4,vaccine
13532,14736,3675.3,vaccine
13366,14887,2426.2,vaccine
13348,13644,4758.5,vaccine
9457,10596,2620.0,vaccine
8913,13692,4335.6,vaccine
