u,v,euclid_dist,source
13675,15862,1379.6,vaccine
8400,13235,2785.2,vaccine
6904,10069,4149.7,vaccine
15320,19163,4046.5,vaccine
12178,18075,3234.1,vaccine
10404,12332,1755.0,vaccine
8720,9189,447.0,vaccine
6025,8038,4713.4,vaccine
11155,11198,2088.2,vaccine
7000,10336,3244.1,vaccine
7599,10352,4663.9,vaccine
14930,16025,4121.1,vaccine
16072,19325,2669.3,vaccine
14924,15053,3060.1,vaccine
11448,14102,1817.5,vaccine
12915,15926,2698.1,vaccine
7567,13280,3192.4,vaccine
9737,15193,3116.9,vaccine
7881,16264,4594.8,vaccine
7787,10531,4796.4,vaccine
15501,28862,4754.0,vaccine
8720,15125,4279.0,vaccine
5900,8201,4017.6,vaccine
13769,16095,2819.9,vaccine
10782,14255,4828.5,vaccine
12261,18485,3522.4,vaccine
7235,13133,3550.2,vaccine
12770,16025,2971.5,vaccine
9642,15306,4618.5,vaccine
14999,16341,1325.2,vaccine
7787,16341,4994.4,vaccine
14965,15193,936.9,vaccine
11528,14673,1461.7,vaccine
13707,16266,1454.3,vaccine
12258,12997,3591.2,vaccine
9862,15383,3731.2,vaccine
10639,14501,1921.6,vaccine
12209,18710,4189.6,vaccine
6027,8495,4372.0,vaccine
14000,16434,4472.4,vaccine
11466,14819,2074.3,vaccine
12947,16341,1916.1,vaccine
15106,19325,3572.7,vaccine
9789,15472,2588.4,vaccine
11423,18779,3893.0,vaccine
6701,7320,1835.9,vaccine
6715,13280,4936.8,vaccine
15048,15383,2464.2,vaccine
8640,9547,2464.7,vaccine
21364,21421,610.9,vaccine
13086,16648,3674.7,vaccine
9189,12395,2330.3,vaccine
9765,11237,4482.7,vaccine
7249,13414,3690.2,vaccine
6716,10430,3867.1,vaccine
9037,15520,3074.7,vaccine
15078,19429,3601.4,vaccine
8939,9737,2181.1,vaccine
5348,6039,2600.5,vaccine
13130,13337,1154.2,vaccine
6640,7489,3716.1,vaccine
17342,18419,944.2,vaccine
11615,14934,1528.9,vaccine
6832,10639,3614.9,vaccine
8195,12460,2207.6,vaccine
12479,16266,3825.0,vaccine
12066,28450,3123.6,vaccine
11112,11690,914.8,vaccine
9261,12696,1704.8,vaccine
8201,9513,4874.9,vaccine
16996,18487,1254.3,vaccine
9900,11522,3561.8,vaccine
7334,13799,4293.2,vaccine
15125,19874,3736.6,vaccine
13235,13732,3596.2,vaccine
12024,16341,4761.5,vaccine
8511,15472,4668.2,vaccine
8430,9642,724.9,vaccine
10990,11870,764.3,vaccine
6897,11035,3723.3,vaccine
8359,12753,4624.5,vaccine
9208,12755,4364.4,vaccine
7320,9547,2788.9,vaccine
14819,15387,328.3,vaccine
15862,18710,3119.1,vaccine
13272,15356,3383.6,vaccine
11153,12081,4069.8,vaccine
11870,12084,3552.4,vaccine
11179,18890,4364.1,vaccine
11930,16444,4265.1,vaccine
8371,9765,2515.8,vaccine
8430,15530,4820.9,vaccine
17407,18849,2076.4,vaccine
6850,11127,4199.0,vaccine
13414,15472,1064.7,vaccine
14702,15476,1421.8,vaccine
8257,12851,3792.1,vaccine
10458,14934,1984.9,vaccine
12550,16916,2388.0,vaccine
8693,15708,4876.8,vaccine
18897,18973,396.5,vaccine
9443,14914,2639.6,vaccine
11127,12146,453.6,vaccine
14890,15580,4967.9,vaccine
7500,9827,2630.9,vaccine
7585,15580,4694.8,vaccine
15939,18890,2509.7,vaccine
17240,18897,1931.3,vaccine
12766,17440,3078.3,vaccine
13392,17458,2501.8,vaccine
13337,15530,4350.9,vaccine
9576,14970,3686.6,vaccine
10458,28355,3543.2,vaccine
10384,14999,4016.8,vaccine
11221,19202,4295.9,vaccine
12081,17286,2803.0,vaccine
8448,10022,3685.1,vaccine
17729,19128,2271.0,vaccine
10295,19128,4781.2,vaccine
6456,7723,3070.0,vaccine
13647,15708,1370.5,vaccine
10633,15077,3666.6,vaccine
10778,28579,1290.1,vaccine
12173,17675,3081.0,vaccine
12715,17729,2740.9,vaccine
11205,13568,1583.0,vaccine
8891,15960,4917.2,vaccine
16308,28490,4854.9,vaccine
9576,28490,3823.3,vaccine
9520,15048,4807.3,vaccine
10474,19306,4993.6,vaccine
6577,7884,4711.2,vaccine
15331,15913,1580.4,vaccine
7596,10160,4392.8,vaccine
12923,18192,3133.8,vaccine
13486,15842,4773.0,vaccine
9816,28730,3188.6,vaccine
18419,28754,4541.2,vaccine
10531,15106,2150.6,vaccine
10633,28754,1936.4,vaccine
12152,18016,3620.8,vaccine
14121,21074,4081.7,vaccine
8729,16065,4855.5,vaccine
8831,28579,2486.4,vaccine
14901,15968,1441.5,vaccine
7567,10314,3718.8,vaccine
9737,12146,3232.0,vaccine
16434,29089,4564.9,vaccine
9629,15182,2686.9,vaccine
8720,12084,2785.9,vaccine
7000,12956,3991.0,vaccine
10782,11127,877.6,vaccine
12261,14419,2882.9,vaccine
13692,16065,1372.0,vaccine
7235,10022,2592.3,vaccine
16444,19155,3269.7,vaccine
9642,12173,4657.6,vaccine
19261,22001,4807.3,vaccine
7119,13086,4772.4,vaccine
7787,13130,3218.8,vaccine
15014,18973,4547.0,vaccine
9533,15277,3126.7,vaccine
9862,12265,2666.2,vaccine
9943,19310,4954.9,vaccine
10639,11155,2465.5,vaccine
7120,10232,4970.1,vaccine
15580,19211,3609.6,vaccine
8900,12215,2766.0,vaccine
16319,17308,2375.5,vaccine
6712,13205,4823.8,vaccine
13084,15855,2048.7,vaccine
14965,19155,3407.6,vaccine
11061,18016,4992.1,vaccine
9153,12317,3691.2,vaccine
9789,12322,4514.7,vaccine
7239,13310,3647.6,vaccine
13268,15968,3827.6,vaccine
6715,10314,3397.1,vaccine
15077,19310,2993.2,vaccine
13086,13268,2422.8,vaccine
12359,15913,1809.0,vaccine
10006,12423,2966.6,vaccine
9189,9357,3007.5,vaccine
9240,15190,4670.1,vaccine
10929,18222,4567.9,vaccine
7249,10474,3527.6,vaccine
6716,7021,1078.2,vaccine
14555,15106,2265.2,vaccine
9037,12370,3501.7,vaccine
15106,28859,938.4,vaccine
12472,16065,1921.1,vaccine
6132,10384,4811.8,vaccine
15048,19407,3868.0,vaccine
11144,18463,4394.0,vaccine
11754,18477,4313.1,vaccine
6832,7189,864.1,vaccine
8299,15277,3987.7,vaccine
16926,18344,2005.9,vaccine
13324,16308,3969.0,vaccine
14501,16319,2736.2,vaccine
12479,13057,3698.6,vaccine
15113,19511,3026.6,vaccine
12066,18750,4362.4,vaccine
11145,14571,1541.0,vaccine
9261,9528,3187.6,vaccine
11110,18670,3973.3,vaccine
7334,10821,2611.6,vaccine
8038,9492,2057.8,vaccine
20797,21345,1338.8,vaccine
13280,16413,2004.3,vaccine
12024,13130,4513.3,vaccine
10263,14802,2484.2,vaccine
8359,9623,2054.6,vaccine
9208,9629,1440.9,vaccine
8413,15411,4243.5,vaccine
12696,13272,3162.7,vaccine
14673,15380,631.0,vaccine
11179,14901,4848.9,vaccine
10288,11304,788.3,vaccine
12489,16515,3916.4,vaccine
9460,15544,3529.6,vaccine
10150,14847,4803.4,vaccine
15203,15501,998.4,vaccine
8257,9736,4347.1,vaccine
10458,11482,1113.1,vaccine
12135,13320,4770.8,vaccine
8693,12479,2167.4,vaccine
16172,18411,2174.1,vaccine
11153,14930,2121.8,vaccine
9443,11444,4571.1,vaccine
10360,14926,3584.0,vaccine
8557,15667,4995.1,vaccine
12766,13526,1159.6,vaccine
13392,13534,4179.4,vaccine
14828,15544,574.4,vaccine
11271,28396,4753.4,vaccine
11221,15014,2625.3,vaccine
10384,11624,555.2,vaccine
10458,18690,4256.6,vaccine
7732,12664,2827.8,vaccine
8588,12683,4432.7,vaccine
15394,18477,1841.9,vaccine
10295,14965,2051.8,vaccine
12266,16413,2881.1,vaccine
6954,13769,4751.3,vaccine
10778,18832,4943.1,vaccine
12173,13692,2497.0,vaccine
12715,13707,2296.3,vaccine
8891,12808,4308.4,vaccine
7747,9629,2960.4,vaccine
10622,28563,2335.6,vaccine
16308,18769,1466.8,vaccine
10474,15062,3593.2,vaccine
6611,10990,3999.6,vaccine
15366,18690,2977.8,vaccine
12923,13952,2247.5,vaccine
11482,16515,4126.4,vaccine
12247,16648,2439.5,vaccine
18419,18882,1365.9,vaccine
10633,18882,4996.7,vaccine
10531,12066,1471.1,vaccine
8729,12947,4080.9,vaccine
15487,18832,3734.1,vaccine
10474,28623,960.3,vaccine
13839,21014,4288.3,vaccine
10856,19004,4244.1,vaccine
9824,14930,3099.2,vaccine
11444,16721,3376.7,vaccine
7881,9915,3921.2,vaccine
16434,18955,2309.2,vaccine
18256,18971,1661.0,vaccine
9063,18933,4998.3,vaccine
6025,7601,3427.1,vaccine
6665,9816,3641.5,vaccine
15411,18882,4777.0,vaccine
12299,17407,3371.9,vaccine
13763,21112,4386.7,vaccine
9102,14965,4306.3,vaccine
10791,19182,4324.0,vaccine
7119,10008,3104.5,vaccine
7787,10018,4491.0,vaccine
15562,19004,4571.7,vaccine
16341,19044,1551.1,vaccine
11711,13707,2789.7,vaccine
6637,11201,4716.2,vaccine
10022,28564,2051.9,vaccine
9943,15070,4685.2,vaccine
10782,13534,1604.6,vaccine
7235,12753,3428.4,vaccine
8184,15939,4007.5,vaccine
15164,28396,4388.0,vaccine
8097,15014,3415.4,vaccine
8019,10288,4488.0,vaccine
16674,19263,3807.6,vaccine
8900,8978,1084.3,vaccine
15708,28450,4268.3,vaccine
6053,7881,4620.5,vaccine
14248,15898,2260.2,vaccine
7039,10153,3179.5,vaccine
6712,10150,3323.2,vaccine
11528,13799,3921.2,vaccine
15913,28623,3893.3,vaccine
9340,28623,1715.9,vaccine
9235,15096,2871.7,vaccine
9153,9208,2314.1,vaccine
15085,16059,2492.3,vaccine
7239,10359,2889.9,vaccine
15099,28564,3234.0,vaccine
11906,14125,3936.9,vaccine
13205,15939,3835.3,vaccine
9240,12135,2622.2,vaccine
11734,18317,3506.7,vaccine
10929,13985,3841.3,vaccine
8346,16279,4660.6,vaccine
8297,15142,3470.7,vaccine
9037,9305,2252.8,vaccine
6143,8294,4077.5,vaccine
14493,16172,3734.1,vaccine
9423,12209,4748.4,vaccine
11144,14325,2466.2,vaccine
11754,14351,2680.9,vaccine
19690,21071,3373.2,vaccine
13086,16059,1785.0,vaccine
15296,19044,2888.0,vaccine
10006,15320,3374.4,vaccine
8299,12165,2258.0,vaccine
6743,7119,3715.5,vaccine
11110,14539,3193.4,vaccine
19496,21223,2963.4,vaccine
15193,19202,3445.0,vaccine
7455,12209,4691.7,vaccine
9252,15366,3035.5,vaccine
11245,18150,4528.8,vaccine
8511,9227,2891.2,vaccine
10263,11201,4281.5,vaccine
15356,19378,4505.8,vaccine
8413,12310,2688.2,vaccine
15926,17675,1293.5,vaccine
14807,19306,3351.4,vaccine
11179,11438,3878.2,vaccine
12489,13262,4076.5,vaccine
16146,18150,1344.5,vaccine
9493,18150,4687.0,vaccine
17637,18192,336.0,vaccine
12956,16172,1755.9,vaccine
6897,10458,3408.5,vaccine
14914,19443,4144.4,vaccine
15314,19447,3562.6,vaccine
11441,18597,4131.3,vaccine
12165,16059,3063.6,vaccine
8693,9460,2423.5,vaccine
18192,18443,1561.5,vaccine
10450,18443,4722.1,vaccine
10360,11466,633.9,vaccine
15397,19690,4205.6,vaccine
16065,19711,2309.5,vaccine
7585,9386,3090.1,vaccine
8557,12468,2864.6,vaccine
16035,18341,1717.0,vaccine
11221,11734,3654.4,vaccine
11271,18742,4533.3,vaccine
18016,18657,2608.0,vaccine
10295,11612,3329.7,vaccine
12266,13205,1198.6,vaccine
6954,10817,4485.7,vaccine
5803,7235,4426.1,vaccine
13733,15320,3871.0,vaccine
15372,19891,3384.3,vaccine
10778,14833,4525.9,vaccine
12215,16371,4994.9,vaccine
8891,9702,3663.4,vaccine
10474,11881,2789.4,vaccine
9576,14771,4389.1,vaccine
7034,11078,4052.4,vaccine
7732,15397,4169.5,vaccine
11482,13262,4067.6,vaccine
12997,16684,4811.5,vaccine
12247,13268,413.1,vaccine
13647,15372,1118.7,vaccine
9816,14890,3304.4,vaccine
12173,16465,3723.0,vaccine
7904,15531,3932.1,vaccine
8891,15536,4983.3,vaccine
8729,9810,1326.0,vaccine
12350,13392,3063.0,vaccine
10856,14953,2158.7,vaccine
19408,21578,4618.0,vaccine
12923,16996,2327.6,vaccine
11444,13310,2917.9,vaccine
12281,16926,4074.0,vaccine
9109,15762,3147.4,vaccine
8002,12472,2735.0,vaccine
9063,14921,3424.8,vaccine
9736,14924,3323.2,vaccine
6689,7662,2686.1,vaccine
7771,9900,1563.8,vaccine
14121,19511,4299.0,vaccine
