u,v,euclid_dist,source
6620,7392,4464.9,vaccine
12915,15030,3847.6,vaccine
12910,13172,599.5,vaccine
10692,12613,2898.4,vaccine
5083,8565,3954.2,vaccine
5136,12613,3816.4,vaccine
11876,14853,3361.9,vaccine
7374,7484,4469.1,vaccine
8847,9355,834.3,vaccine
6131,12776,3583.8,vaccine
5099,5786,3053.2,vaccine
12437,15118,2384.5,vaccine
11882,11989,3996.1,vaccine
10632,12655,2224.7,vaccine
5039,8647,2168.3,vaccine
11778,15030,3729.4,vaccine
8230,11266,4682.6,vaccine
9476,13570,4484.2,vaccine
6670,7523,4459.3,vaccine
7301,7534,4306.8,vaccine
6804,12105,2540.6,vaccine
8754,9414,3742.4,vaccine
10207,10571,462.3,vaccine
5205,8750,1700.2,vaccine
11960,15389,3313.4,vaccine
11291,12041,3264.8,vaccine
10143,12776,2319.6,vaccine
9470,10485,1661.7,vaccine
7478,12251,4623.0,vaccine
9003,13655,4532.8,vaccine
4781,10663,2885.5,vaccine
5262,6107,3185.8,vaccine
5446,10677,3290.3,vaccine
6224,12913,3475.0,vaccine
6204,12179,2984.4,vaccine
6645,7667,2080.1,vaccine
9577,10627,1293.1,vaccine
5110,8847,2553.9,vaccine
10147,10631,2069.1,vaccine
10700,12878,1512.8,vaccine
7041,10023,1453.2,vaccine
8368,11485,2519.9,vaccine
6855,7769,686.0,vaccine
6217,9942,4577.2,vaccine
11517,14870,2945.5,vaccine
10305,10712,1484.0,vaccine
10707,10723,799.0,vaccine
10240,12913,4101.8,vaccine
15868,16801,3334.8,vaccine
6412,10107,3852.6,vaccine
6974,10126,4404.4,vaccine
7534,12396,3204.1,vaccine
4924,10807,3279.6,vaccine
5456,6342,1556.5,vaccine
10831,15030,3887.8,vaccine
8652,9440,4495.1,vaccine
8714,13570,3266.0,vaccine
10243,10752,2796.0,vaccine
7132,10248,3195.7,vaccine
8594,11641,1549.2,vaccine
5652,10891,2344.3,vaccine
6299,10201,4295.7,vaccine
4801,10851,4203.1,vaccine
11485,12396,3403.7,vaccine
7781,13655,4084.8,vaccine
9617,10813,2613.0,vaccine
12251,13570,2210.0,vaccine
8469,11744,2227.8,vaccine
28298,29877,4747.5,vaccine
9875,12878,2822.5,vaccine
10316,10899,514.4,vaccine
17515,17768,1909.3,vaccine
6465,7781,4959.2,vaccine
8758,36397,2660.6,vaccine
7695,9531,4332.4,vaccine
7737,13702,4173.1,vaccine
7248,13697,4122.7,vaccine
14656,36455,2513.6,vaccine
4978,8996,4213.4,vaccine
12790,13702,813.8,vaccine
15875,17515,4944.7,vaccine
9428,12913,4020.8,vaccine
9820,12915,2076.7,vaccine
10851,15928,4919.3,vaccine
7931,14168,4396.2,vaccine
8721,14172,4621.4,vaccine
9710,10939,3295.1,vaccine
6451,7919,4985.6,vaccine
4940,9066,4356.2,vaccine
7949,11666,1988.5,vaccine
9394,12953,3127.4,vaccine
6618,12437,2896.5,vaccine
7755,9710,4487.8,vaccine
13331,14474,1967.7,vaccine
5028,9179,2195.5,vaccine
5015,8022,4511.7,vaccine
5068,12396,4091.0,vaccine
12287,14172,1541.3,vaccine
9930,13088,3964.2,vaccine
7331,11744,4032.1,vaccine
8835,14656,3555.4,vaccine
6492,8234,742.4,vaccine
7723,9780,3211.3,vaccine
9469,10899,1945.4,vaccine
10534,12437,1162.9,vaccine
5015,12437,4934.3,vaccine
9435,13129,2885.8,vaccine
6660,12573,4876.8,vaccine
12443,36190,4289.2,vaccine
8014,14809,4891.7,vaccine
5131,12504,4430.5,vaccine
12350,14656,3579.7,vaccine
11670,11755,3375.6,vaccine
10466,12468,1509.2,vaccine
7402,11960,2981.9,vaccine
5083,5652,3125.6,vaccine
5136,10400,2419.3,vaccine
6636,12642,4520.8,vaccine
11876,11916,4242.0,vaccine
11989,36455,2810.9,vaccine
9533,11164,3773.0,vaccine
10023,10365,3021.4,vaccine
7406,9718,1711.1,vaccine
7451,14474,4436.4,vaccine
15027,15935,2344.2,vaccine
6779,12015,2716.1,vaccine
11945,14179,3606.6,vaccine
10204,10431,2446.1,vaccine
11778,11970,4938.2,vaccine
8230,9066,2176.5,vaccine
15723,16475,4570.6,vaccine
6284,10636,3814.5,vaccine
6804,9780,2266.1,vaccine
11960,12058,1717.5,vaccine
9113,13169,2810.3,vaccine
10143,10528,3256.0,vaccine
7478,9928,4385.8,vaccine
7516,14841,4449.7,vaccine
4781,8351,3545.2,vaccine
6224,10700,2444.2,vaccine
11511,14656,4088.2,vaccine
9326,13321,2552.8,vaccine
8519,13265,4573.9,vaccine
11517,11929,956.5,vaccine
6958,9965,1758.1,vaccine
10358,12603,4032.1,vaccine
11460,14841,4984.5,vaccine
9152,9406,2604.0,vaccine
9252,13363,3149.1,vaccine
10240,10700,4453.5,vaccine
7534,10153,4332.4,vaccine
7667,15161,4706.5,vaccine
7596,13321,3652.2,vaccine
4924,8670,4215.4,vaccine
4948,12720,4030.8,vaccine
10831,11970,4849.8,vaccine
6855,10097,2698.4,vaccine
7132,7596,2196.1,vaccine
9089,9435,2965.5,vaccine
5652,8804,2373.9,vaccine
11553,12061,2218.7,vaccine
6412,12061,2593.8,vaccine
10390,12795,3927.6,vaccine
4801,8741,3884.9,vaccine
9740,10534,3525.1,vaccine
4924,12795,4871.2,vaccine
11529,15161,4999.4,vaccine
7781,11399,4633.6,vaccine
9340,13694,4551.0,vaccine
6464,7723,1502.5,vaccine
7132,12248,4336.6,vaccine
4977,8900,4821.7,vaccine
9875,10643,2934.6,vaccine
5652,12910,4008.9,vaccine
5012,12904,4000.4,vaccine
8766,11517,1348.2,vaccine
10364,12871,3011.4,vaccine
8719,13729,2992.8,vaccine
4978,6224,2120.6,vaccine
5860,12300,3359.1,vaccine
6464,12311,3545.0,vaccine
9428,10700,4223.4,vaccine
4977,12940,4140.0,vaccine
7931,11543,4137.1,vaccine
8721,11550,3570.4,vaccine
9745,12910,2701.7,vaccine
6616,12375,2663.2,vaccine
7208,12388,3073.0,vaccine
10006,10797,2730.2,vaccine
5069,13048,4280.8,vaccine
10961,12350,3508.9,vaccine
5722,12350,4524.5,vaccine
8902,11698,2518.0,vaccine
9928,13006,2500.6,vaccine
9394,10742,2093.1,vaccine
7357,12443,2932.7,vaccine
6618,10243,4595.8,vaccine
10643,15161,3339.8,vaccine
5068,10153,4766.6,vaccine
11093,15389,4249.6,vaccine
6545,12425,3747.9,vaccine
9930,10843,4773.6,vaccine
21966,23549,3787.5,vaccine
10908,12388,1423.2,vaccine
8835,11778,2190.8,vaccine
9520,12871,2561.7,vaccine
5015,10243,2777.5,vaccine
9435,10888,3495.2,vaccine
16666,17690,3357.5,vaccine
6660,10383,3597.3,vaccine
13013,36396,4290.3,vaccine
6652,9513,1900.4,vaccine
8014,11876,1781.1,vaccine
8144,36396,2729.0,vaccine
5191,11129,2716.9,vaccine
5131,10358,2534.9,vaccine
9039,12910,3015.9,vaccine
7402,9617,1261.9,vaccine
9413,10938,2025.9,vaccine
6128,10422,2636.4,vaccine
5136,7893,2272.8,vaccine
6636,10424,2885.0,vaccine
7437,36656,4819.1,vaccine
12948,36659,4151.4,vaccine
9567,13013,2559.8,vaccine
6906,7168,2128.8,vaccine
8234,9740,1952.6,vaccine
8351,14556,4810.0,vaccine
8316,12940,3710.5,vaccine
6779,9699,1285.8,vaccine
12457,14384,1922.3,vaccine
10255,12388,2281.4,vaccine
10692,12396,2763.2,vaccine
9066,9089,3894.5,vaccine
9102,13057,2512.0,vaccine
6284,8316,1521.3,vaccine
6804,7221,4887.1,vaccine
10793,12450,4010.4,vaccine
5435,8200,1608.6,vaccine
12015,14556,2619.0,vaccine
10204,12433,4670.2,vaccine
7516,11882,2023.9,vaccine
9066,13117,3633.7,vaccine
4781,5570,4918.7,vaccine
6224,8508,2274.6,vaccine
6284,12570,4344.1,vaccine
12524,14762,3378.2,vaccine
24809,26239,4194.0,vaccine
9326,11039,4350.8,vaccine
12953,13069,4168.6,vaccine
10727,12504,907.8,vaccine
11960,14643,2612.8,vaccine
9610,13314,4866.1,vaccine
12311,36659,3396.4,vaccine
7028,11945,2391.0,vaccine
11460,11882,4534.4,vaccine
9252,11150,3466.8,vaccine
7667,12054,3262.8,vaccine
4948,10502,3224.5,vaccine
7106,15133,4990.7,vaccine
6396,12008,4943.0,vaccine
8714,9090,3926.5,vaccine
16532,16536,2969.7,vaccine
9732,10424,4457.1,vaccine
8647,11291,1321.7,vaccine
11641,14561,2897.6,vaccine
10390,10582,2361.4,vaccine
4924,10582,4133.4,vaccine
5634,12829,4107.3,vaccine
9340,11456,2967.4,vaccine
11806,14762,2968.3,vaccine
7132,9875,2081.0,vaccine
26231,28510,3840.9,vaccine
5012,10692,2988.6,vaccine
5652,10699,3964.2,vaccine
4977,6128,1516.0,vaccine
10938,14643,4259.1,vaccine
8766,9340,2856.3,vaccine
9815,10632,4357.0,vaccine
4971,12882,4336.1,vaccine
8719,11509,1795.1,vaccine
5860,9946,1956.1,vaccine
11755,14960,3162.2,vaccine
4977,10725,2727.9,vaccine
8062,13356,3288.6,vaccine
9745,10699,3579.5,vaccine
6616,10143,4170.3,vaccine
24559,25006,2717.3,vaccine
12361,13314,1216.6,vaccine
5069,10823,3247.9,vaccine
5722,10054,3105.9,vaccine
8902,9458,4647.0,vaccine
8990,13592,3235.6,vaccine
9428,12637,4633.7,vaccine
7357,10286,1763.4,vaccine
6618,7570,1558.8,vaccine
6186,12114,3649.3,vaccine
7389,13492,3579.0,vaccine
10643,12054,2846.2,vaccine
5068,7506,2048.7,vaccine
11093,12058,2917.8,vaccine
9513,12790,2748.9,vaccine
10006,12794,1625.8,vaccine
10961,15157,3695.1,vaccine
8144,13688,3408.0,vaccine
8835,9502,4585.5,vaccine
7305,13592,3947.6,vaccine
10153,12114,2648.5,vaccine
10606,12121,2217.5,vaccine
11777,15868,4500.2,vaccine
9047,13922,4847.4,vaccine
7437,13704,3794.7,vaccine
8014,9539,1815.9,vaccine
8100,13724,3471.6,vaccine
12948,13724,654.5,vaccine
5191,9005,4004.8,vaccine
10712,12287,3260.5,vaccine
5131,7749,3908.8,vaccine
11283,12300,1455.7,vaccine
5287,12287,3300.8,vaccine
9039,10699,929.8,vaccine
8322,14179,4880.3,vaccine
6128,7931,3706.5,vaccine
7395,13922,4740.8,vaccine
9567,10793,4167.6,vaccine
10677,12348,4324.2,vaccine
8351,11670,2448.9,vaccine
