u,v,euclid_dist,source
7088,8769,1424.7,vaccine
18156,21035,3391.5,vaccine
7718,11027,4008.1,vaccine
6950,7165,4924.9,vaccine
6530,8160,1289.5,vaccine
6977,7457,391.5,vaccine
7446,7836,1646.7,vaccine
20044,20427,838.1,vaccine
4397,7457,4627.5,vaccine
5787,8023,2509.0,vaccine
9957,10404,1831.3,vaccine
6541,8829,4059.6,vaccine
7205,9753,1431.1,vaccine
17793,18244,1528.4,vaccine
3935,5836,4068.4,vaccine
5783,5848,3421.1,vaccine
7200,33584,1098.2,vaccine
7387,7567,2376.9,vaccine
7157,9033,4052.8,vaccine
7770,12208,2891.7,vaccine
6469,8915,4146.3,vaccine
18026,20689,4423.9,vaccine
7165,9817,1786.1,vaccine
6685,7137,990.1,vaccine
7771,8072,4203.6,vaccine
8656,8847,3535.9,vaccine
9214,9923,3600.2,vaccine
6600,9181,1637.1,vaccine
6175,7081,2449.1,vaccine
7110,9214,3215.1,vaccine
17932,19925,2948.2,vaccine
9689,33609,4465.1,vaccine
6585,6643,1684.5,vaccine
4780,7947,3905.2,vaccine
7875,8222,2721.1,vaccine
9438,10039,4459.7,vaccine
6335,7165,3985.7,vaccine
18323,18474,3253.0,vaccine
7451,8164,2542.9,vaccine
19032,19547,1708.3,vaccine
7883,8915,3773.2,vaccine
4467,7637,4122.3,vaccine
6557,9330,3528.3,vaccine
7217,9974,1664.3,vaccine
7633,12057,4440.2,vaccine
8809,33679,4183.1,vaccine
6787,7257,1121.1,vaccine
7836,8402,4400.4,vaccine
5390,7693,3479.2,vaccine
15993,16183,528.6,vaccine
6826,7567,2217.1,vaccine
7591,10171,3610.3,vaccine
18007,18492,4435.3,vaccine
18439,19866,4194.8,vaccine
7582,9033,1392.3,vaccine
6733,10039,3550.7,vaccine
7600,12262,4879.9,vaccine
18383,18553,2139.5,vaccine
6755,12057,4650.0,vaccine
7507,8503,4067.4,vaccine
19493,20000,657.3,vaccine
8941,9974,2568.7,vaccine
6372,7600,2410.6,vaccine
6743,7602,1213.0,vaccine
7277,10209,4926.4,vaccine
17279,18089,2760.4,vaccine
6393,9214,2253.3,vaccine
8829,9507,1577.0,vaccine
6340,7306,3817.2,vaccine
16876,17477,4663.5,vaccine
6878,7659,1821.0,vaccine
7284,7667,2573.8,vaccine
7914,9431,1783.4,vaccine
8850,10047,2030.9,vaccine
6832,10252,3714.7,vaccine
6347,7637,2008.8,vaccine
8160,9619,2513.5,vaccine
30341,30574,1354.1,vaccine
6302,7332,2436.7,vaccine
6404,7693,1209.5,vaccine
6836,7697,3856.9,vaccine
7333,8402,2189.3,vaccine
19868,21610,2275.2,vaccine
8184,10171,4636.9,vaccine
6427,9507,2707.9,vaccine
6845,8240,2930.3,vaccine
3306,6368,3014.9,vaccine
3190,3989,699.2,vaccine
6971,7770,4199.6,vaccine
7306,7771,4215.4,vaccine
6432,10047,3638.0,vaccine
7655,9670,2413.0,vaccine
6383,7740,2395.0,vaccine
5809,9619,4071.8,vaccine
17655,18254,1067.8,vaccine
5765,6255,861.8,vaccine
8307,10332,3436.7,vaccine
6453,9717,2104.7,vaccine
5836,7310,2654.2,vaccine
9867,10047,3281.0,vaccine
6445,8533,1906.3,vaccine
18254,20063,2966.0,vaccine
6470,10272,3502.9,vaccine
7327,7380,3487.6,vaccine
6170,7380,3741.4,vaccine
6420,7871,2189.8,vaccine
7081,8693,1457.9,vaccine
6450,6733,3020.7,vaccine
7351,8696,1651.3,vaccine
3794,7332,4244.8,vaccine
17931,20085,2906.9,vaccine
18235,20090,2811.9,vaccine
6085,10332,4013.8,vaccine
7450,8805,1375.0,vaccine
7718,7771,1623.4,vaccine
6058,7428,4659.0,vaccine
9927,10272,2934.7,vaccine
5993,6800,2888.1,vaccine
7453,9681,2071.7,vaccine
7902,10272,1617.3,vaccine
18161,18206,4397.1,vaccine
7740,8505,2613.3,vaccine
6565,10964,4118.9,vaccine
6087,7747,3658.2,vaccine
17811,20193,4885.9,vaccine
7064,9632,4589.0,vaccine
4397,4602,307.2,vaccine
5787,6398,2548.5,vaccine
7205,7332,4081.9,vaccine
7832,8603,542.6,vaccine
6291,7823,3385.7,vaccine
7553,33636,4517.3,vaccine
7836,33645,2252.0,vaccine
7434,9738,3707.9,vaccine
7162,9717,1501.8,vaccine
7871,10334,2775.5,vaccine
