u,v,euclid_dist,source
26967,29357,4209.9,vaccine
28061,29401,3769.3,vaccine
41416,42911,4347.3,vaccine
13579,18069,4156.5,vaccine
29704,32228,1990.0,vaccine
20229,20794,4089.5,vaccine
5274,5429,3200.8,vaccine
16445,19851,3005.8,vaccine
26080,49651,3353.8,vaccine
24927,31075,4346.2,vaccine
20542,22981,4449.4,vaccine
20516,21038,1082.0,vaccine
20642,48458,1400.5,vaccine
17641,18825,4237.2,vaccine
18839,22817,3604.8,vaccine
28207,29657,1147.6,vaccine
29655,32266,2127.6,vaccine
32272,34955,3933.4,vaccine
26035,31443,3952.7,vaccine
15701,20099,4425.4,vaccine
12462,13557,873.9,vaccine
4443,5330,2555.3,vaccine
16646,20186,3704.8,vaccine
18588,22981,3582.1,vaccine
26031,26080,2292.9,vaccine
22110,25035,4418.7,vaccine
32232,35037,3342.3,vaccine
8217,9126,1320.7,vaccine
20896,51594,4559.0,vaccine
20693,21645,823.0,vaccine
15991,16445,3117.3,vaccine
3922,5365,4660.7,vaccine
18928,23172,3839.5,vaccine
12986,18209,3767.4,vaccine
25048,27842,3817.8,vaccine
13985,16348,4268.9,vaccine
29216,32230,2039.0,vaccine
23142,28930,4116.9,vaccine
31473,35128,3743.5,vaccine
3977,5429,3899.6,vaccine
4722,5431,1498.0,vaccine
28376,32210,3001.1,vaccine
25307,26596,4978.1,vaccine
21038,25331,2865.2,vaccine
22345,25332,4599.9,vaccine
31958,49593,4297.2,vaccine
23301,27965,3804.7,vaccine
24353,27973,3814.4,vaccine
32277,35330,3519.5,vaccine
32395,49595,2059.8,vaccine
18315,22834,3893.8,vaccine
19977,25282,4187.8,vaccine
29111,32272,2783.7,vaccine
16807,16824,4174.2,vaccine
3962,5457,4763.8,vaccine
26589,26633,1720.5,vaccine
24561,28207,2743.0,vaccine
23315,24339,2948.9,vaccine
29401,32406,2151.8,vaccine
18471,48570,4205.1,vaccine
26615,29742,2301.5,vaccine
14778,16958,3771.5,vaccine
17248,48458,3355.3,vaccine
20186,21678,3662.4,vaccine
13002,18431,4667.3,vaccine
32602,49894,4804.4,vaccine
22391,24366,4640.3,vaccine
33263,33830,3842.2,vaccine
18396,23185,3881.6,vaccine
20137,25550,3810.4,vaccine
19061,21389,4528.5,vaccine
26743,48663,3598.8,vaccine
12659,47747,3246.7,vaccine
11453,13985,4553.2,vaccine
25508,48574,3584.8,vaccine
20446,47726,2820.7,vaccine
21389,47728,4008.5,vaccine
20160,21853,4096.1,vaccine
30219,31613,2247.6,vaccine
15603,20446,4729.8,vaccine
29544,32770,2258.4,vaccine
27993,48774,3916.1,vaccine
17312,23245,4858.0,vaccine
19279,48774,4478.6,vaccine
26649,30031,3357.1,vaccine
36932,37420,1726.0,vaccine
14972,17312,4790.8,vaccine
22743,27973,4144.8,vaccine
12486,47870,3659.3,vaccine
31903,31913,4244.9,vaccine
22563,24597,3751.8,vaccine
23390,24612,2545.3,vaccine
18445,23653,4112.0,vaccine
19158,23699,3827.8,vaccine
37420,37990,2940.6,vaccine
20235,47752,2866.5,vaccine
26859,48825,2229.9,vaccine
12784,47964,3976.0,vaccine
13951,47968,3126.1,vaccine
11743,14624,4256.1,vaccine
23888,24779,3153.1,vaccine
14802,17501,4354.8,vaccine
21756,47930,4257.9,vaccine
19330,22271,4419.0,vaccine
20194,22272,3588.1,vaccine
22891,28286,3798.1,vaccine
23982,26649,3290.1,vaccine
29754,49871,4613.7,vaccine
17512,19517,4312.4,vaccine
20459,47968,1891.6,vaccine
41394,42861,4277.0,vaccine
25845,30793,4477.8,vaccine
31101,49943,3649.9,vaccine
47806,48557,2620.2,vaccine
4226,4894,4587.7,vaccine
28969,49894,2353.8,vaccine
13978,17356,3774.9,vaccine
37715,38995,4568.8,vaccine
27881,29306,3550.0,vaccine
23087,28618,4090.4,vaccine
32196,34376,4316.0,vaccine
24057,26942,2831.3,vaccine
28367,32929,3003.8,vaccine
17667,19977,4246.9,vaccine
26197,32770,4709.5,vaccine
19387,22639,2766.7,vaccine
24404,48774,4827.3,vaccine
24927,27244,2379.5,vaccine
16299,19738,3993.0,vaccine
20171,47930,2383.8,vaccine
20633,24711,2718.2,vaccine
29793,32034,4114.5,vaccine
29064,50272,4663.5,vaccine
16633,20129,3158.3,vaccine
17530,20132,2542.0,vaccine
30031,32173,1461.1,vaccine
32230,34931,3593.5,vaccine
33023,34953,4902.6,vaccine
24364,48865,4929.6,vaccine
20124,47971,1660.0,vaccine
19736,26370,4764.5,vaccine
27376,29216,4115.5,vaccine
29044,32118,4520.5,vaccine
2308,3319,4130.1,vaccine
11040,12968,3147.1,vaccine
16466,20180,4272.1,vaccine
20199,48019,2158.7,vaccine
19046,22602,3460.5,vaccine
20780,24991,2701.2,vaccine
29945,32196,2097.5,vaccine
26564,49577,3131.6,vaccine
20786,20855,1444.9,vaccine
28657,33707,4052.6,vaccine
20180,48045,3354.8,vaccine
4482,5426,4630.3,vaccine
21038,21139,3892.8,vaccine
24642,49623,4233.7,vaccine
20233,48558,2413.7,vaccine
19111,22891,3281.6,vaccine
20099,22913,4386.5,vaccine
30056,32287,1617.3,vaccine
19977,21022,3719.0,vaccine
16105,20132,4762.3,vaccine
18244,22779,4179.9,vaccine
13071,13576,1366.1,vaccine
15998,16804,2168.7,vaccine
23473,27412,4222.2,vaccine
7744,8841,3397.6,vaccine
20212,48582,2789.2,vaccine
25597,26180,986.1,vaccine
11829,17848,4105.4,vaccine
23928,27761,3306.4,vaccine
14864,20180,4497.5,vaccine
25508,29703,3682.4,vaccine
7831,9241,1817.5,vaccine
13584,47708,2813.0,vaccine
11448,13619,4306.7,vaccine
13002,13707,2272.8,vaccine
30754,35028,4838.3,vaccine
18322,23163,4191.3,vaccine
16985,19011,3188.4,vaccine
25546,26405,1606.0,vaccine
15647,47852,2900.4,vaccine
24688,31865,4970.8,vaccine
23783,27802,3308.5,vaccine
14778,20207,4314.8,vaccine
12462,47733,3491.4,vaccine
11267,13955,3614.6,vaccine
30564,35115,4026.7,vaccine
15603,16737,4908.0,vaccine
21164,47711,3861.4,vaccine
12317,18315,4090.3,vaccine
22743,24260,4615.8,vaccine
13502,16557,4969.2,vaccine
24711,28062,4776.3,vaccine
13916,47894,3633.1,vaccine
30897,35275,4360.9,vaccine
31993,35294,4502.7,vaccine
18914,48433,2052.4,vaccine
27973,32252,3019.3,vaccine
16295,20633,3879.6,vaccine
25640,26628,3460.3,vaccine
29754,31101,2653.4,vaccine
21733,24303,3329.1,vaccine
26822,32287,4691.6,vaccine
15604,20759,4325.8,vaccine
13575,16947,2360.2,vaccine
22891,24404,2657.6,vaccine
32929,33931,2682.6,vaccine
24965,48433,3477.1,vaccine
36956,38268,2838.7,vaccine
20468,25597,4591.2,vaccine
19465,21645,1892.4,vaccine
22775,28265,4990.4,vaccine
47752,48194,1450.6,vaccine
18959,48677,3825.1,vaccine
28188,32602,3687.0,vaccine
19330,25546,4726.8,vaccine
29664,49841,1680.6,vaccine
24281,24590,2418.4,vaccine
25278,48582,3316.3,vaccine
25845,26901,994.9,vaccine
20859,47738,3599.5,vaccine
19787,47711,2652.9,vaccine
29871,49921,1573.6,vaccine
31033,49925,4472.4,vaccine
14111,20437,4933.9,vaccine
47728,48458,2584.0,vaccine
18069,48763,4551.2,vaccine
20813,47857,4857.3,vaccine
19626,22052,2165.9,vaccine
42338,42664,4944.4,vaccine
21797,24590,4919.8,vaccine
19011,47738,1554.9,vaccine
26255,48821,2418.4,vaccine
24364,30073,4625.2,vaccine
11453,47957,4943.0,vaccine
10134,14397,4594.3,vaccine
22981,24757,2788.0,vaccine
31212,32058,1200.1,vaccine
16824,19392,3705.3,vaccine
20123,47905,3011.5,vaccine
29704,31993,2019.9,vaccine
47838,48682,3534.6,vaccine
24366,26743,2730.2,vaccine
26082,30720,3089.6,vaccine
27194,33023,3807.7,vaccine
7659,7846,3863.6,vaccine
21020,47989,2865.0,vaccine
29942,32148,2175.6,vaccine
24575,26901,2857.5,vaccine
16770,19505,4450.0,vaccine
26511,29126,3801.0,vaccine
27220,29141,4902.3,vaccine
2223,3295,4502.2,vaccine
32272,34052,3193.8,vaccine
7557,7954,4766.6,vaccine
19005,22563,3449.2,vaccine
27586,29430,3474.1,vaccine
13028,17312,2853.7,vaccine
25413,31003,4107.1,vaccine
15989,19669,4329.1,vaccine
22384,28593,4491.8,vaccine
24369,30897,4370.8,vaccine
28657,29621,4076.7,vaccine
16104,19871,3205.1,vaccine
16891,19963,3352.8,vaccine
21161,24757,3598.9,vaccine
31958,34702,3320.1,vaccine
23459,27220,3387.3,vaccine
20855,21083,4995.7,vaccine
20129,24688,4416.5,vaccine
16105,16149,2884.8,vaccine
24588,27537,4733.2,vaccine
23473,23653,3370.7,vaccine
31805,34898,3818.2,vaccine
4039,5345,4541.8,vaccine
27793,32058,2602.4,vaccine
24037,30792,4586.9,vaccine
23928,23982,1657.0,vaccine
32732,49324,3083.6,vaccine
32602,35106,3073.7,vaccine
24561,27729,4624.3,vaccine
18927,48012,3820.3,vaccine
24023,49173,4976.3,vaccine
19505,48014,3582.2,vaccine
32131,49173,3442.0,vaccine
20516,51598,1315.0,vaccine
28770,32190,2214.7,vaccine
20181,24965,3234.1,vaccine
16149,16518,4278.6,vaccine
17641,47989,1809.8,vaccine
25597,29291,3640.3,vaccine
9810,13172,2966.4,vaccine
11724,13175,3036.8,vaccine
13509,18215,4305.9,vaccine
32922,49463,3789.6,vaccine
24688,27858,2925.2,vaccine
18774,22743,3369.3,vaccine
29621,32240,4797.1,vaccine
29574,30792,2962.1,vaccine
32043,49377,2381.5,vaccine
18913,48033,2364.7,vaccine
27965,32216,4476.9,vaccine
12317,13509,4049.6,vaccine
24049,24293,2982.0,vaccine
24215,31078,4994.0,vaccine
25606,26609,2623.3,vaccine
20239,21107,3206.1,vaccine
32190,49603,2558.7,vaccine
30897,31004,2304.0,vaccine
32770,49623,4203.5,vaccine
29544,32277,1853.4,vaccine
30888,49463,3262.2,vaccine
16295,16849,2714.4,vaccine
24965,29621,4579.5,vaccine
25792,29639,3350.3,vaccine
11961,13575,1324.8,vaccine
23988,24353,3965.6,vaccine
19454,21309,3901.3,vaccine
29664,31078,2104.3,vaccine
15806,20194,3891.9,vaccine
18942,48578,2493.0,vaccine
26871,29767,3524.8,vaccine
26073,29754,2525.6,vaccine
28783,32395,2303.5,vaccine
24303,31656,4941.4,vaccine
15604,16975,3336.3,vaccine
22137,47703,4965.4,vaccine
20468,21756,3100.1,vaccine
12784,47703,3240.5,vaccine
17565,19046,2378.6,vaccine
33099,33263,2820.6,vaccine
18917,48670,3137.8,vaccine
26016,29871,3997.1,vaccine
13071,47806,3023.2,vaccine
17919,19158,4127.4,vaccine
20794,47730,3526.1,vaccine
23172,28044,3660.5,vaccine
11448,47874,4569.2,vaccine
13002,47881,3987.6,vaccine
3896,5591,4881.1,vaccine
20759,47838,4861.5,vaccine
18271,48865,4457.9,vaccine
24364,26621,3616.8,vaccine
26080,30208,4692.0,vaccine
20124,25499,3822.3,vaccine
30260,49677,1874.5,vaccine
23087,28195,3639.5,vaccine
31409,33583,1661.1,vaccine
18215,19465,1659.4,vaccine
27532,32395,4425.6,vaccine
14230,16981,2576.1,vaccine
27194,29061,3908.6,vaccine
24341,28363,3705.9,vaccine
22271,24391,4498.4,vaccine
29430,49875,4475.4,vaccine
26564,26967,574.4,vaccine
22544,24578,3982.0,vaccine
13024,17131,2637.4,vaccine
24527,26871,3444.0,vaccine
24597,48579,2921.0,vaccine
36415,38567,3309.7,vaccine
20180,25845,4985.5,vaccine
31803,50012,916.4,vaccine
47989,48568,1891.7,vaccine
29282,49919,1920.9,vaccine
28506,31544,1850.8,vaccine
25413,27103,4345.6,vaccine
25576,48762,1564.9,vaccine
30455,31963,1113.2,vaccine
22384,24651,2587.8,vaccine
48036,48674,3780.5,vaccine
26720,29002,4668.1,vaccine
28685,31805,2548.3,vaccine
13265,17512,4673.0,vaccine
11339,12537,3490.9,vaccine
24712,48792,4755.3,vaccine
23699,30056,4957.4,vaccine
19213,22345,2828.0,vaccine
21022,24713,2782.7,vaccine
30208,32043,4326.8,vaccine
18526,47881,4608.8,vaccine
18298,22137,3295.1,vaccine
11801,12784,2335.5,vaccine
2402,3255,4506.3,vaccine
24651,30564,4270.8,vaccine
16057,16132,4916.1,vaccine
30764,32178,1052.3,vaccine
13050,17641,2981.4,vaccine
13707,51561,2322.7,vaccine
19503,47975,3170.7,vaccine
20233,47983,4874.5,vaccine
19111,22409,3067.4,vaccine
18425,22391,4464.9,vaccine
15160,19470,3423.5,vaccine
18446,47954,1472.1,vaccine
11715,12994,3068.2,vaccine
24825,49331,3813.5,vaccine
23919,30754,4828.3,vaccine
20542,48027,1850.1,vaccine
18427,18471,3023.9,vaccine
29599,32197,4700.8,vaccine
26743,29401,2706.4,vaccine
18368,22554,3371.6,vaccine
35557,36014,4147.3,vaccine
32148,34510,4727.4,vaccine
22834,26967,2935.5,vaccine
6800,8248,4467.6,vaccine
20235,20857,3505.3,vaccine
27993,29599,3610.5,vaccine
17462,18540,3263.7,vaccine
18588,48027,4842.5,vaccine
25767,29503,3362.1,vaccine
24046,31075,4743.4,vaccine
3854,5267,4998.0,vaccine
18515,18925,2691.8,vaccine
6552,8503,3770.0,vaccine
20220,21063,3869.8,vaccine
24965,26026,2009.5,vaccine
18431,22834,3724.7,vaccine
13028,51594,4403.9,vaccine
32195,35006,4582.9,vaccine
13593,20099,4847.3,vaccine
24049,27532,2840.1,vaccine
32184,32878,4591.4,vaccine
28325,32131,2376.6,vaccine
15806,16348,4885.6,vaccine
17559,18969,3742.3,vaccine
12740,17919,4639.8,vaccine
24391,49333,4546.8,vaccine
15680,20186,4339.1,vaccine
23068,23928,1125.6,vaccine
20607,25035,3099.0,vaccine
18315,48005,2850.0,vaccine
14110,16445,1665.6,vaccine
25153,26406,4147.8,vaccine
12493,16348,3268.4,vaccine
15604,20220,3837.3,vaccine
32217,33247,2495.0,vaccine
28500,32230,2469.1,vaccine
29028,32232,2820.1,vaccine
12964,18326,4260.9,vaccine
23172,24282,3216.6,vaccine
24999,26598,1315.7,vaccine
20761,25332,3026.6,vaccine
31438,35330,4382.2,vaccine
23085,27973,3560.5,vaccine
47938,47989,3184.3,vaccine
18396,48458,4404.7,vaccine
17919,22849,4963.6,vaccine
28363,32272,2675.9,vaccine
16985,48337,3023.4,vaccine
26080,26649,1781.8,vaccine
20124,21389,4690.4,vaccine
30144,31212,3201.8,vaccine
29095,32407,2598.2,vaccine
18969,21292,2578.6,vaccine
28593,32406,2430.1,vaccine
30073,49656,1831.0,vaccine
14624,20190,4434.0,vaccine
17312,48570,2807.0,vaccine
25332,29742,3598.6,vaccine
18326,48574,2654.8,vaccine
12317,47726,3929.2,vaccine
23257,24527,2930.9,vaccine
33305,33940,2975.4,vaccine
25331,48468,3890.4,vaccine
21107,47690,3566.0,vaccine
19963,21733,3879.4,vaccine
30028,31473,1436.8,vaccine
47983,48338,3498.8,vaccine
18445,48682,3153.1,vaccine
36709,37307,4971.6,vaccine
26598,28774,2670.7,vaccine
11961,47752,3917.6,vaccine
31656,31803,3116.7,vaccine
17131,19146,1858.9,vaccine
20194,47728,2467.9,vaccine
25499,30031,4389.3,vaccine
24575,26609,4346.0,vaccine
22544,27993,4254.3,vaccine
24527,29945,4118.5,vaccine
24713,26649,4896.8,vaccine
19239,47752,2585.2,vaccine
41044,42624,4994.4,vaccine
2396,3131,4337.3,vaccine
47733,48033,1207.7,vaccine
29652,49671,1316.0,vaccine
20230,47930,3054.6,vaccine
26610,29050,4912.5,vaccine
29793,49894,4582.6,vaccine
21645,28286,4693.5,vaccine
47708,48399,2595.2,vaccine
31958,33892,3866.7,vaccine
6352,7831,4665.2,vaccine
28839,49871,2184.0,vaccine
25035,48665,4375.3,vaccine
16234,19517,4106.0,vaccine
24868,26942,2108.6,vaccine
37272,38713,2008.7,vaccine
27765,29216,3942.1,vaccine
25740,32407,4961.3,vaccine
21678,24575,4415.4,vaccine
11801,17130,4677.1,vaccine
47857,48578,2633.8,vaccine
29714,49943,2280.3,vaccine
28813,31656,1891.8,vaccine
17501,19738,2668.2,vaccine
18368,18445,1479.3,vaccine
13573,17431,2464.7,vaccine
24339,48683,4274.8,vaccine
18914,22110,3189.6,vaccine
28930,31913,4289.8,vaccine
20446,24612,2763.1,vaccine
47747,48670,4774.0,vaccine
4204,5030,4799.1,vaccine
18927,47806,4817.4,vaccine
13951,17559,2875.0,vaccine
32190,34729,4715.7,vaccine
32770,34784,3064.9,vaccine
24282,48781,3541.1,vaccine
24046,27244,2647.5,vaccine
18774,22279,3097.5,vaccine
28898,32034,2165.7,vaccine
20235,24712,3720.1,vaccine
2197,3284,4239.2,vaccine
18959,22544,4445.6,vaccine
20590,24884,3087.0,vaccine
29767,32176,1571.3,vaccine
19007,47971,2694.9,vaccine
25324,49399,3042.8,vaccine
24358,30869,4357.8,vaccine
15680,16295,2393.7,vaccine
25995,26180,2058.8,vaccine
24965,29111,3541.8,vaccine
20607,20792,343.0,vaccine
23301,49324,3794.7,vaccine
24353,49330,4100.8,vaccine
19111,48019,3816.6,vaccine
20099,48022,3194.1,vaccine
