u,v,euclid_dist,source
11614,13770,3418.9,vaccine
18205,19787,4643.1,vaccine
1045,1833,3521.0,vaccine
6194,6456,3316.2,vaccine
3749,3970,3754.8,vaccine
396,922,4253.1,vaccine
11556,14239,3649.6,vaccine
6357,6491,518.7,vaccine
15499,16217,2004.2,vaccine
1184,2078,2423.3,vaccine
841,922,2308.7,vaccine
17952,18510,2658.3,vaccine
843,1918,3514.6,vaccine
2912,2923,3357.4,vaccine
1645,3223,3829.6,vaccine
11482,11605,3824.8,vaccine
11234,13818,4229.5,vaccine
18279,18587,623.6,vaccine
663,973,3167.2,vaccine
1922,2078,481.9,vaccine
10090,12325,4471.3,vaccine
1932,3069,2699.5,vaccine
4398,6068,4138.1,vaccine
11615,12686,1762.0,vaccine
5260,6030,3543.2,vaccine
18236,18654,3820.7,vaccine
445,843,3781.0,vaccine
2176,3223,3104.5,vaccine
3227,3443,1052.0,vaccine
410,928,3608.6,vaccine
18644,18654,4094.3,vaccine
11693,12954,1939.3,vaccine
2857,3223,1338.1,vaccine
4839,6223,3526.6,vaccine
18380,18826,2094.5,vaccine
17408,17824,516.1,vaccine
8000,8366,2489.0,vaccine
844,928,2790.4,vaccine
5515,6680,4741.9,vaccine
454,1140,4284.1,vaccine
8305,8508,2176.2,vaccine
8348,10056,3762.1,vaccine
3069,4865,4957.5,vaccine
12021,13305,2493.0,vaccine
13702,15332,3533.6,vaccine
5937,6680,3851.8,vaccine
4177,4398,4409.9,vaccine
4030,5595,3637.2,vaccine
13604,15532,3864.0,vaccine
876,1258,1611.0,vaccine
1140,2467,3261.2,vaccine
2081,2470,4076.3,vaccine
3910,4300,4940.8,vaccine
1743,2845,3643.4,vaccine
11728,12999,4301.6,vaccine
4051,4865,2711.0,vaccine
17718,17845,4421.7,vaccine
3453,3798,4453.8,vaccine
5235,5655,3537.9,vaccine
8359,8526,3587.6,vaccine
2321,3747,4033.2,vaccine
1890,3959,4525.7,vaccine
10658,12106,4549.6,vaccine
11796,13575,4034.9,vaccine
6309,6484,844.0,vaccine
2559,3859,2838.3,vaccine
3323,3860,4896.6,vaccine
5900,20333,2849.4,vaccine
17931,18380,2403.0,vaccine
19052,19251,2107.9,vaccine
3860,5320,4493.9,vaccine
4850,5086,1063.4,vaccine
2433,3089,2432.3,vaccine
12455,13575,3040.9,vaccine
