u,v,euclid_dist,source
3868,4518,4986.3,vaccine
4630,4925,3846.2,vaccine
5084,7127,4024.1,vaccine
1768,1814,2433.6,vaccine
1633,1888,3490.4,vaccine
5616,7087,4957.7,vaccine
6204,7265,2228.7,vaccine
1818,1866,2712.7,vaccine
2683,3118,3428.3,vaccine
5575,5799,1239.0,vaccine
5466,7838,4557.8,vaccine
7127,7190,4363.5,vaccine
1074,1908,3231.0,vaccine
1733,2263,2443.3,vaccine
1722,1809,3027.7,vaccine
5366,7324,3533.3,vaccine
1799,1888,1819.7,vaccine
1741,2978,4634.0,vaccine
3578,4178,4651.4,vaccine
4326,4721,4786.9,vaccine
5799,7253,3739.9,vaccine
7088,7265,4589.0,vaccine
1508,1908,2037.9,vaccine
4861,13732,3574.0,vaccine
5365,5635,1929.8,vaccine
5635,7324,3257.7,vaccine
1171,2448,4319.9,vaccine
4355,5002,3094.3,vaccine
7171,7427,3320.5,vaccine
4406,5799,4970.3,vaccine
4335,5126,4036.0,vaccine
5607,13884,3171.0,vaccine
5434,6204,4016.4,vaccine
2712,3125,3239.4,vaccine
5368,6356,4987.8,vaccine
4845,5126,715.8,vaccine
6650,13884,3044.0,vaccine
1809,1893,2929.7,vaccine
5505,6869,2581.5,vaccine
1421,1972,3253.8,vaccine
4925,6025,2580.4,vaccine
5526,7427,4709.4,vaccine
5489,13974,1058.3,vaccine
1533,1914,2659.2,vaccine
5479,6965,2773.9,vaccine
7180,13884,3952.0,vaccine
4948,5497,1482.7,vaccine
6066,6869,1546.4,vaccine
3714,4311,3138.8,vaccine
5592,7648,4228.3,vaccine
4351,5127,3648.6,vaccine
6021,7543,3641.0,vaccine
4185,4311,3228.0,vaccine
5543,7741,4346.7,vaccine
11393,11722,4890.9,vaccine
4484,5434,3765.6,vaccine
7279,7671,4202.2,vaccine
7367,7830,3458.0,vaccine
6208,7741,2811.3,vaccine
7643,7671,4243.2,vaccine
4978,13716,4480.6,vaccine
4644,5592,2240.4,vaccine
1789,1857,3989.3,vaccine
4648,6965,4962.1,vaccine
4194,4484,3387.4,vaccine
4308,4659,3951.5,vaccine
6025,6998,2181.9,vaccine
5549,7180,4739.4,vaccine
1693,1830,4134.3,vaccine
1833,2260,1385.8,vaccine
3868,4030,1223.4,vaccine
4271,4861,3935.8,vaccine
4659,13728,3670.7,vaccine
4331,4978,3900.3,vaccine
1665,1862,1768.4,vaccine
4630,13756,4435.2,vaccine
5466,7175,3835.1,vaccine
6218,7180,4056.1,vaccine
5607,7338,3521.3,vaccine
6838,7298,4661.5,vaccine
6643,13770,4540.6,vaccine
1806,1862,2214.1,vaccine
3615,4072,3073.8,vaccine
1705,1931,3049.5,vaccine
7102,7180,2880.3,vaccine
2228,3282,4622.9,vaccine
6650,7338,1462.2,vaccine
1058,1905,3221.8,vaccine
1519,1883,4086.7,vaccine
1171,1967,3847.6,vaccine
7427,7469,1937.6,vaccine
1967,2445,1946.9,vaccine
6998,8379,4702.5,vaccine
1853,2262,1694.9,vaccine
4822,13729,3475.5,vaccine
6869,7583,1730.1,vaccine
1599,1967,3696.3,vaccine
3046,3180,1615.4,vaccine
4342,4981,4183.9,vaccine
2007,2730,4511.6,vaccine
556,773,4721.3,vaccine
1875,2036,1719.8,vaccine
7265,7583,4037.7,vaccine
4324,5119,4069.2,vaccine
