City,Radius_m,R_Pq_LCC,R_Qbc,Num_Centers,Time_s
Shenyang,2000,0.3768552337278106,0.33264376405325435,144,147.10346190002747
Zhengzhou,2000,0.34236620479195196,0.29370993614371327,118,72.17523599998094
Chengdu,2000,0.32422040819373527,0.28370539841440473,113,171.52383840002585
Harbin,2000,0.3033960527991107,0.24739017911665492,108,75.88714579999214
Qingdao,2000,0.27798748410951835,0.23536881007320037,139,126.5091107999906
Dongguan,2000,0.2591944659489603,0.21888711870866356,89,36.41756450000685
Dalian,2000,0.24012893037546323,0.19579917234851477,148,137.75786099996185
Quanzhou,2000,0.21848977035137593,0.1867996498089743,130,33.529070399992634
