City,Radius_m,R_S_Degree,R_S_CoreHD,Collapse_q_S_Degree,Collapse_q_S_CoreHD
Shenyang,100.0,0.3643674644970414,0.32107055325443784,0.7667692307692308,0.546
Zhengzhou,100.0,0.3269242004061744,0.27091332583389127,0.7368478498144511,0.5199738048461034
Chengdu,100.0,0.28487920212607126,0.2580877064110603,0.6871584699453552,0.47180327868852456
Harbin,100.0,0.2931570499176191,0.2511999175725971,0.7045772350144495,0.46956278549454644
Qingdao,100.0,0.28270021333459205,0.22625012875353998,0.7016697855189291,0.43536778465524684
Dongguan,100.0,0.2399218099421855,0.2138703463916467,0.6838244137101623,0.48743235117257966
Dalian,100.0,0.26237786035653654,0.2004809719711701,0.6462330025725835,0.4130099228224917
Quanzhou,100.0,0.2069423128186663,0.18934891424680858,0.692524682651622,0.7341325811001411
