q,P_q,Q_bc,Method
0.0,1.0,0.8826229508196721,RCABS-BE
0.0003278688524590164,0.9596174863387978,0.88224043715847,RCABS-BE
0.001639344262295082,0.9583060109289617,0.8809016393442624,RCABS-BE
0.0025136612021857923,0.957431693989071,0.8799180327868852,RCABS-BE
0.003114754098360656,0.9568306010928962,0.8793169398907104,RCABS-BE
0.003551912568306011,0.9563934426229508,0.878879781420765,RCABS-BE
0.004426229508196721,0.9555191256830601,0.87775956284153,RCABS-BE
0.004644808743169399,0.9553005464480875,0.8775409836065574,RCABS-BE
0.005519125683060109,0.9544262295081967,0.8765027322404371,RCABS-BE
0.00726775956284153,0.9526775956284153,0.8743442622950819,RCABS-BE
0.007595628415300547,0.9523497267759563,0.8739071038251367,RCABS-BE
0.008032786885245901,0.9519125683060109,0.8734426229508196,RCABS-BE
0.008306010928961749,0.9516393442622951,0.8731693989071039,RCABS-BE
0.008579234972677596,0.9513114754098361,0.8728142076502732,RCABS-BE
0.009508196721311476,0.9504918032786885,0.8718032786885246,RCABS-BE
0.010546448087431694,0.9494535519125683,0.8703005464480875,RCABS-BE
0.010983606557377049,0.9490163934426229,0.8697540983606558,RCABS-BE
0.011311475409836066,0.948688524590164,0.8693169398907103,RCABS-BE
0.011530054644808743,0.9484153005464481,0.8690163934426229,RCABS-BE
0.012076502732240438,0.9478688524590164,0.8682513661202186,RCABS-BE
0.012295081967213115,0.9476502732240437,0.8680327868852459,RCABS-BE
0.012513661202185793,0.947431693989071,0.8675273224043716,RCABS-BE
0.012841530054644808,0.9471038251366121,0.8670628415300548,RCABS-BE
0.013278688524590163,0.9466666666666667,0.8666256830601093,RCABS-BE
0.013497267759562842,0.946448087431694,0.8664071038251366,RCABS-BE
0.014153005464480874,0.945792349726776,0.8657513661202185,RCABS-BE
0.01448087431693989,0.9453551912568307,0.86525956284153,RCABS-BE
0.014972677595628415,0.9450819672131148,0.8649863387978143,RCABS-BE
0.015846994535519125,0.9442076502732241,0.8638934426229508,RCABS-BE
0.01612021857923497,0.9439344262295082,0.8635655737704918,RCABS-BE
0.01644808743169399,0.9436065573770491,0.8631010928961749,RCABS-BE
0.016666666666666666,0.9433879781420765,0.8628825136612022,RCABS-BE
0.017158469945355193,0.942896174863388,0.8620901639344263,RCABS-BE
0.017814207650273223,0.94224043715847,0.8611065573770491,RCABS-BE
0.018032786885245903,0.9419125683060109,0.8608333333333333,RCABS-BE
0.018360655737704918,0.9415846994535519,0.8603961748633879,RCABS-BE
0.018579234972677595,0.9413661202185792,0.860068306010929,RCABS-BE
0.01923497267759563,0.9407650273224044,0.8590027322404372,RCABS-BE
0.019398907103825136,0.9406010928961749,0.8585928961748635,RCABS-BE
0.019726775956284155,0.9402732240437158,0.858155737704918,RCABS-BE
0.020327868852459016,0.939672131147541,0.8574999999999999,RCABS-BE
0.020601092896174865,0.9393989071038251,0.8571994535519125,RCABS-BE
0.02103825136612022,0.9389617486338798,0.856516393442623,RCABS-BE
0.021256830601092895,0.9387431693989071,0.8562978142076503,RCABS-BE
0.021475409836065575,0.9385245901639344,0.8560792349726776,RCABS-BE
0.02191256830601093,0.9380874316939891,0.8554234972677596,RCABS-BE
0.022240437158469944,0.9377595628415301,0.855068306010929,RCABS-BE
0.02278688524590164,0.9369945355191257,0.8542486338797814,RCABS-BE
0.023114754098360654,0.9366666666666666,0.8537021857923497,RCABS-BE
0.024316939890710383,0.9354098360655738,0.8522540983606558,RCABS-BE
0.02448087431693989,0.9351912568306011,0.8520628415300546,RCABS-BE
0.024699453551912567,0.9349726775956284,0.8511338797814207,RCABS-BE
0.024972677595628417,0.9346994535519125,0.850724043715847,RCABS-BE
0.025191256830601094,0.9344262295081968,0.8504781420765027,RCABS-BE
0.02540983606557377,0.934207650273224,0.8502595628415301,RCABS-BE
0.025628415300546447,0.9339890710382514,0.8497950819672131,RCABS-BE
0.025846994535519127,0.9337704918032786,0.8495218579234973,RCABS-BE
0.026120218579234973,0.9334972677595629,0.8489754098360656,RCABS-BE
0.02633879781420765,0.9332786885245902,0.8482650273224044,RCABS-BE
0.02726775956284153,0.9323497267759563,0.8468169398907104,RCABS-BE
0.027704918032786886,0.9319125683060109,0.8464071038251366,RCABS-BE
0.027923497267759563,0.9316939890710383,0.8461885245901639,RCABS-BE
