Fraction,Accessibility,Gini,Rho_Max,Rho_Mean
0.0,1.0,0.0008639542398142739,0.8333333333330148,0.8008055799695801
0.02,0.4668082904334242,0.0008866447069007195,9672851639.749933,761895.6166076852
0.039999999999999994,0.2980234930705597,0.0008482795509717561,5238408621.982683,313321.50524708256
0.06,0.1961956232048559,0.0009484453759424475,247645228.77127987,15279.10184356223
0.07999999999999999,0.1503445135427896,0.0006636902732911316,247645228.77127987,23056.367076121864
0.09999999999999999,0.11237240091250122,0.0007287300275511272,64416582168.15645,5213485.702897227
0.11999999999999998,0.07992895543524761,0.0008258585413987001,12592232616.988853,1301495.1256699108
0.13999999999999999,0.05810084592365485,0.0006986677587271577,6030160280.828329,618703.3729010696
0.15999999999999998,0.04483907845475136,0.0007641488279975977,4767704347.986079,497756.2632390663
0.17999999999999997,0.034671669395307754,0.0006594528575700999,648660436.8892419,91563.3750678558
0.19999999999999996,0.02822359153285744,0.0007175704854352174,343160365.7427,109851.87792068027
0.21999999999999995,0.022434784269750006,0.0007796891564665054,13541200105.901546,1347248.6110718006
0.23999999999999996,0.017096993780632664,0.0007705465012125195,9871343560.070692,1553240.9593330275
0.25999999999999995,0.012478356178054381,0.0007423140012384378,4582628172.276678,527585.498976229
0.27999999999999997,0.009851350934925103,0.0007768243339915,4354530838.200787,810170.3003167803
