Fraction,Accessibility,Gini,Rho_Max,Rho_Mean
0.0,1.0,0.0006594909459752102,0.833333333333231,0.7931199459263468
0.02,0.5643240360416646,0.0010480191877417996,375.09765669579804,0.9606527287481139
0.039999999999999994,0.3758366850659658,0.0010885936148461784,61907195949.666145,4517750.215835298
0.06,0.2613792815567437,0.0012414645480136413,39729330917.87672,5352633.920784633
0.07999999999999999,0.17240966601696084,0.0011709570241525903,24017662759.16696,4022162.2796031795
0.09999999999999999,0.13304487971895831,0.0013619548699068177,30820050822.337383,5893144.3507613335
0.11999999999999998,0.08825418165862081,0.0014305191714602827,28603006547.314194,5919754.572371042
0.13999999999999999,0.06027021014379139,0.0014221592943720817,53530263646.166374,6552537.786540979
0.15999999999999998,0.04275211069806473,0.0014548937925433379,5219384454.359985,1198615.554210395
0.17999999999999997,0.026387198529669063,0.001121609219886684,4142954622.679409,1245750.481830178
0.19999999999999996,0.019230354654630362,0.0010835120200268884,10648020112.321478,1761502.026113131
0.21999999999999995,0.014506698171698341,0.001112633162451649,55175450311.07573,6242485.012014171
0.23999999999999996,0.010415777152652623,0.001024400084262226,4850221929.889998,971562.9003618007
0.25999999999999995,0.007982655258498969,0.0011268324726035185,1766980817.9133728,496556.0362164735
