Fraction,Accessibility,Gini,Rho_Max,Rho_Mean
0.0,1.0,0.0003743838322878748,0.8333333333324312,0.8153362638022978
0.02,0.6385556207828627,0.0004462453953940865,212884600881.9904,15126620.866257565
0.039999999999999994,0.45878650270657906,0.00045070600806515525,97160299631.67018,7704175.389409462
0.06,0.34450614690256554,0.0004190402733964673,29390112395.572105,4686684.986696555
0.07999999999999999,0.26672651012379117,0.00038837302588796356,37724689894.14073,5879928.859285402
0.09999999999999999,0.21248455164891478,0.00033417636451243954,39479181153.93707,5249299.734155812
0.11999999999999998,0.17873547627869338,0.0003553949048639668,26837476019.09275,5490454.1247558305
0.13999999999999999,0.14162877424756498,0.0003382711981389112,13479720994.049965,4786319.219353039
0.15999999999999998,0.11862372565126139,0.0003976468825581544,7199447607.082038,2753461.3299806
0.17999999999999997,0.09314053417918677,0.000416035676881873,4963516111.158941,2685571.655749568
0.19999999999999996,0.07494872979857756,0.0003646597815596328,4733844754.962018,1669437.0885843702
0.21999999999999995,0.06365369732958091,0.00038251591818225987,4063460908.719698,1266213.4094716965
0.23999999999999996,0.05381907103876989,0.00037309720332721853,14050488917.739086,1647607.5788375624
0.25999999999999995,0.046010929178448484,0.0004050604909787602,2222388925.3142986,971828.85735696
0.27999999999999997,0.038677696224051386,0.0004414620414998251,19475966853.691814,1812726.6822301724
0.3,0.031440872472356614,0.00043141238499524217,2008282384.7024863,717138.6686769082
