Fraction,Accessibility,Gini,Rho_Max,Rho_Mean
0.0,1.0,0.000762856421515145,0.8333333333327745,0.8130691162525175
0.02,0.44597585296460573,0.0012036119008491761,209568132632.45728,11414387.143487537
0.039999999999999994,0.2827261391363814,0.0008331946098038089,152.87739025451543,0.826468479079261
0.06,0.19554128002497678,0.0007829651889468543,7529627061.544948,456530.00106126856
0.07999999999999999,0.12659455275238993,0.0009351606992375461,7794051349.915683,1028839.5965013885
0.09999999999999999,0.08406881786817394,0.0006527254416314062,1936900234.0475948,347661.1962104168
0.11999999999999998,0.06013035968706869,0.0006252967357885226,2116918208.5812557,349202.43459756905
0.13999999999999999,0.046866808791072766,0.00046619280493323436,1301371372.7312753,156065.47405635403
0.15999999999999998,0.038215221321036476,0.0004173932397369968,972711859.9907265,107165.23991002706
0.17999999999999997,0.03125277413748889,0.0004424335835286358,950699865.4870727,146528.1919538613
0.19999999999999996,0.025259116896392965,0.0004417292885829566,163127734.52498657,37404.71721800975
0.21999999999999995,0.020609182340609267,0.00044812440125182435,688266155.2484564,145010.57200818547
0.23999999999999996,0.016592193339712322,0.00046683464327335956,1756962767.4776063,295810.5365018179
0.25999999999999995,0.012424199338638052,0.000499342679707947,1006457053.5122174,132461.2209447107
0.27999999999999997,0.009627296789825728,0.0004440957052732828,431605602.0473732,102705.03370480143
