q,P_q,Q_bc,Method
0.0,1.0,0.8826229508196721,RCABS-BE
0.0010382513661202186,0.9588524590163935,0.8815300546448088,RCABS-BE
0.005956284153005464,0.9538251366120218,0.8765573770491804,RCABS-BE
0.008961748633879782,0.9508196721311475,0.8732240437158469,RCABS-BE
0.010546448087431694,0.9492349726775956,0.8715846994535519,RCABS-BE
0.012622950819672131,0.9472131147540983,0.8686612021857923,RCABS-BE
0.01699453551912568,0.9427868852459016,0.8639617486338798,RCABS-BE
0.019890710382513662,0.9398360655737705,0.8609426229508197,RCABS-BE
0.021147540983606557,0.9385245901639344,0.859412568306011,RCABS-BE
0.023005464480874316,0.9359562841530055,0.856844262295082,RCABS-BE
0.024754098360655737,0.9341530054644809,0.8547677595628416,RCABS-BE
0.027759562841530055,0.9310928961748633,0.8514890710382514,RCABS-BE
0.02983606557377049,0.929016393442623,0.8493852459016393,RCABS-BE
0.03726775956284153,0.9215300546448087,0.8425546448087431,RCABS-BE
0.039726775956284155,0.9193989071038251,0.8402049180327869,RCABS-BE
0.04229508196721311,0.9168306010928962,0.8371994535519125,RCABS-BE
0.04491803278688525,0.9141530054644809,0.8344672131147541,RCABS-BE
0.04612021857923497,0.9129508196721311,0.8329918032786885,RCABS-BE
0.04710382513661202,0.911912568306011,0.8320628415300546,RCABS-BE
0.048688524590163935,0.9098360655737705,0.8300136612021858,RCABS-BE
0.049890710382513664,0.9086338797814207,0.8284016393442624,RCABS-BE
0.051202185792349725,0.9073224043715847,0.8269262295081967,RCABS-BE
0.0519672131147541,0.9065573770491804,0.8261612021857924,RCABS-BE
0.05442622950819672,0.9040983606557377,0.8232377049180328,RCABS-BE
0.05562841530054645,0.9028415300546448,0.8218989071038252,RCABS-BE
0.05688524590163935,0.9015846994535519,0.8205327868852459,RCABS-BE
0.06,0.8988524590163934,0.8172267759562841,RCABS-BE
0.06120218579234973,0.8976502732240437,0.8158606557377048,RCABS-BE
0.06699453551912568,0.8917486338797814,0.8102868852459016,RCABS-BE
0.06961748633879782,0.8891256830601093,0.8073907103825136,RCABS-BE
0.07191256830601093,0.886775956284153,0.8049590163934426,RCABS-BE
0.07289617486338798,0.885792349726776,0.8039207650273223,RCABS-BE
0.07622950819672131,0.8824590163934426,0.8005327868852459,RCABS-BE
0.07956284153005465,0.8791256830601093,0.7971448087431694,RCABS-BE
0.08114754098360656,0.8773770491803279,0.7951502732240437,RCABS-BE
0.08196721311475409,0.8765573770491804,0.7939207650273225,RCABS-BE
0.08677595628415301,0.8715300546448087,0.7890846994535519,RCABS-BE
0.08814207650273224,0.8696721311475409,0.7872814207650274,RCABS-BE
0.09016393442622951,0.8675409836065574,0.7851229508196722,RCABS-BE
0.09256830601092896,0.8654644808743169,0.782691256830601,RCABS-BE
0.09371584699453551,0.8644262295081967,0.7816256830601094,RCABS-BE
0.09655737704918033,0.8615846994535519,0.7791939890710382,RCABS-BE
0.09765027322404371,0.8604918032786886,0.7776912568306011,RCABS-BE
0.09863387978142077,0.8595081967213115,0.7765983606557377,RCABS-BE
0.10005464480874317,0.8569398907103826,0.7743715846994537,RCABS-BE
0.10153005464480874,0.8554644808743169,0.7727322404371584,RCABS-BE
0.1018032786885246,0.855191256830601,0.7724590163934426,RCABS-BE
0.10300546448087432,0.8539890710382514,0.7709836065573771,RCABS-BE
0.1039344262295082,0.8530601092896175,0.7699180327868853,RCABS-BE
0.10431693989071038,0.8526775956284153,0.769535519125683,RCABS-BE
0.10551912568306011,0.851639344262295,0.7684972677595627,RCABS-BE
0.10590163934426229,0.8510928961748634,0.7679508196721312,RCABS-BE
0.10693989071038251,0.8500546448087432,0.7662841530054645,RCABS-BE
0.10765027322404372,0.8491803278688524,0.765464480874317,RCABS-BE
0.10907103825136612,0.8477595628415301,0.763879781420765,RCABS-BE
0.11469945355191256,0.8424590163934427,0.7590983606557378,RCABS-BE
0.11612021857923498,0.8410382513661202,0.7576502732240438,RCABS-BE
0.11748633879781421,0.8396174863387978,0.7562568306010928,RCABS-BE
0.11836065573770492,0.8387431693989071,0.7549863387978142,RCABS-BE
0.12032786885245901,0.836775956284153,0.7526639344262295,RCABS-BE
0.1212568306010929,0.8358469945355191,0.751516393442623,RCABS-BE
0.12229508196721312,0.8348087431693989,0.7501229508196722,RCABS-BE
0.12316939890710382,0.8339344262295082,0.749275956284153,RCABS-BE
0.1260655737704918,0.830983606557377,0.7463524590163935,RCABS-BE
0.12754098360655738,0.8285245901639344,0.7446311475409836,RCABS-BE
0.12863387978142077,0.8272131147540983,0.7426639344262296,RCABS-BE
0.1294535519125683,0.8263934426229508,0.7415437158469945,RCABS-BE
0.13060109289617486,0.8248087431693989,0.7402322404371584,RCABS-BE
0.1310928961748634,0.8242622950819672,0.7396584699453552,RCABS-BE
0.13224043715846995,0.8231147540983607,0.7384016393442623,RCABS-BE
0.13278688524590163,0.822568306010929,0.7378278688524591,RCABS-BE
