q,P_q,Method
0.0,1.0,S-Degree
0.02538461538461534,0.9456153846153846,S-Degree
0.04115384615384621,0.9298461538461539,S-Degree
0.05515384615384611,0.9158461538461539,S-Degree
0.06584615384615389,0.905,S-Degree
0.07653846153846156,0.9041538461538462,S-Degree
0.08638461538461539,0.8943076923076924,S-Degree
0.09569230769230774,0.8846923076923077,S-Degree
0.1034615384615385,0.8769230769230769,S-Degree
0.1094615384615385,0.8709230769230769,S-Degree
0.11569230769230765,0.8643846153846154,S-Degree
0.12369230769230766,0.8565384615384616,S-Degree
0.12984615384615383,0.8499230769230769,S-Degree
0.13623076923076927,0.8430769230769231,S-Degree
0.14184615384615384,0.8378461538461538,S-Degree
0.14769230769230768,0.832,S-Degree
0.15423076923076928,0.8254615384615385,S-Degree
0.16007692307692312,0.8196153846153846,S-Degree
0.16623076923076918,0.8133846153846154,S-Degree
0.17130769230769227,0.8086153846153846,S-Degree
0.17684615384615388,0.8010769230769231,S-Degree
0.1816923076923077,0.7962307692307692,S-Degree
0.18600000000000005,0.7920769230769231,S-Degree
0.19053846153846155,0.7872307692307692,S-Degree
0.19515384615384612,0.7827692307692308,S-Degree
0.19861538461538464,0.7784615384615384,S-Degree
0.20223076923076921,0.7743846153846153,S-Degree
0.20723076923076922,0.7693846153846153,S-Degree
0.21053846153846156,0.7660769230769231,S-Degree
0.21361538461538465,0.7627692307692308,S-Degree
0.21692307692307689,0.7594615384615384,S-Degree
0.22061538461538466,0.7557692307692307,S-Degree
0.22399999999999998,0.7518461538461538,S-Degree
0.2273846153846154,0.7483846153846154,S-Degree
0.23061538461538467,0.7448461538461538,S-Degree
0.23353846153846158,0.7418461538461538,S-Degree
0.23669230769230765,0.7394615384615385,S-Degree
0.24030769230769233,0.7357692307692307,S-Degree
0.24384615384615382,0.7343076923076923,S-Degree
0.24669230769230766,0.731,S-Degree
0.2506153846153846,0.7270769230769231,S-Degree
0.2536153846153846,0.7240769230769231,S-Degree
0.2561538461538462,0.7215384615384616,S-Degree
0.2595384615384615,0.7153076923076923,S-Degree
0.2621538461538462,0.7126923076923077,S-Degree
0.26523076923076927,0.7092307692307692,S-Degree
0.26784615384615384,0.7066923076923077,S-Degree
0.2706153846153846,0.7039230769230769,S-Degree
0.2736923076923077,0.7003076923076923,S-Degree
0.2765384615384615,0.6974615384615385,S-Degree
0.2796923076923077,0.6943076923076923,S-Degree
0.2826923076923077,0.6913846153846154,S-Degree
0.2852307692307692,0.6893076923076923,S-Degree
0.28800000000000003,0.6864615384615385,S-Degree
0.29030769230769227,0.684076923076923,S-Degree
0.2927692307692308,0.6816153846153846,S-Degree
0.29530769230769227,0.6784615384615384,S-Degree
0.2976153846153846,0.6760769230769231,S-Degree
0.29992307692307696,0.6656923076923077,S-Degree
0.30238461538461536,0.6632307692307692,S-Degree
0.305076923076923,0.6602307692307692,S-Degree
0.30792307692307697,0.6570769230769231,S-Degree
0.3102307692307692,0.6546153846153846,S-Degree
0.3132307692307692,0.6535384615384615,S-Degree
0.3153846153846154,0.6472307692307693,S-Degree
0.317923076923077,0.6446153846153846,S-Degree
0.31999999999999995,0.6424615384615384,S-Degree
0.3226923076923077,0.6397692307692308,S-Degree
0.32507692307692304,0.6397692307692308,S-Degree
0.3273846153846154,0.6372307692307693,S-Degree
0.3304615384615385,0.6341538461538462,S-Degree
0.3328461538461538,0.6315384615384615,S-Degree
0.3348461538461538,0.6295384615384615,S-Degree
0.33707692307692305,0.6273076923076923,S-Degree
0.3388461538461538,0.6254615384615385,S-Degree
0.3409230769230769,0.6233846153846154,S-Degree
0.34315384615384614,0.621,S-Degree
0.3454615384615385,0.6186923076923077,S-Degree
0.34769230769230774,0.6168461538461538,S-Degree
0.3497692307692307,0.6167692307692307,S-Degree
0.3517692307692307,0.6147692307692307,S-Degree
0.3535384615384616,0.6129230769230769,S-Degree
0.35523076923076924,0.6129230769230769,S-Degree
0.3573076923076923,0.6107692307692307,S-Degree
0.35915384615384616,0.6089230769230769,S-Degree
0.3610769230769231,0.6089230769230769,S-Degree
0.3628461538461538,0.6071538461538462,S-Degree
0.3648461538461538,0.6050769230769231,S-Degree
0.36669230769230765,0.6032307692307692,S-Degree
0.3685384615384616,0.6013846153846154,S-Degree
0.37023076923076925,0.5996153846153847,S-Degree
0.37176923076923074,0.5956923076923077,S-Degree
0.37361538461538457,0.5956923076923077,S-Degree
0.3753846153846154,0.5939230769230769,S-Degree
0.3770769230769231,0.5916153846153847,S-Degree
0.37869230769230766,0.59,S-Degree
0.38076923076923075,0.5879230769230769,S-Degree
0.38223076923076926,0.5864615384615385,S-Degree
0.3840769230769231,0.5846153846153846,S-Degree
0.3861538461538462,0.5819230769230769,S-Degree
0.3881538461538462,0.5814615384615385,S-Degree
0.3904615384615384,0.5786923076923077,S-Degree
0.3924615384615384,0.572,S-Degree
0.39484615384615385,0.572,S-Degree
0.39692307692307693,0.5698461538461539,S-Degree
0.39930769230769225,0.5674615384615385,S-Degree
0.4006153846153846,0.5661538461538461,S-Degree
0.402,0.5647692307692308,S-Degree
0.40392307692307694,0.5624615384615385,S-Degree
0.40576923076923077,0.5606153846153846,S-Degree
0.40746153846153843,0.558923076923077,S-Degree
0.40938461538461535,0.5567692307692308,S-Degree
0.41184615384615386,0.5543846153846154,S-Degree
0.4137692307692308,0.5515384615384615,S-Degree
0.41538461538461535,0.5497692307692308,S-Degree
0.4176153846153846,0.5475384615384615,S-Degree
0.4191538461538461,0.546,S-Degree
0.4207692307692308,0.5443846153846154,S-Degree
0.42246153846153844,0.5426923076923077,S-Degree
0.4243076923076923,0.5408461538461539,S-Degree
