rank,center_node_id
1,20585
2,29084
3,14068
4,37416
5,29503
6,19570
7,6861
8,31587
9,27024
10,34117
11,34849
12,10636
13,7813
14,42904
15,45075
16,18252
17,32036
18,12743
19,41881
20,2231
21,40807
22,9790
23,29499
24,38823
25,19277
26,2919
27,4790
28,3569
29,46275
30,10160
31,27161
32,12110
33,39374
34,42016
35,2192
36,12243
37,724
38,21720
39,43458
40,44318
41,17643
42,26727
43,7611
44,25220
45,44018
46,12954
47,35367
48,46252
49,864
50,2654
51,4783
52,38200
53,4625
54,17445
55,36217
56,13642
57,19835
58,45676
59,40493
60,42461
61,10519
62,25361
63,40155
64,36910
65,3709
66,39357
67,32438
68,17968
69,39852
70,7132
71,35412
72,6180
73,201
74,36451
75,42277
76,7084
77,2134
78,22019
79,44837
