Fraction,Accessibility,Gini,Rho_Max,Rho_Mean
0.0,1.0,0.0020053164011090883,0.8333333333185281,0.7966454344914173
0.02,0.41702187376861616,0.0019933694026134626,3870708653.6612577,526126.7571812429
0.039999999999999994,0.25142302796256955,0.0014394913065570163,455841550.9417973,63772.69689957165
0.06,0.18969701376770598,0.0011757214320619886,2985623655.1280255,591352.9525225972
0.07999999999999999,0.13996950148398843,0.0010912334207735226,1138151442.9563773,309737.75213651586
0.09999999999999999,0.10625099417726891,0.0011285507099549205,756144592.2221633,364002.6609831644
0.11999999999999998,0.08436571252113177,0.0013243765445589478,629906557.0370185,303816.1260409754
0.13999999999999999,0.06473486875949051,0.0010256062140316428,635404902.7218591,508971.93591806735
0.15999999999999998,0.05035524431614371,0.0008980238862307449,259394999.3343085,286194.9441975983
0.17999999999999997,0.04100235897974028,0.0008126540306090632,196618052.0884916,282308.63079957396
0.19999999999999996,0.03320843493513422,0.0009485328316408391,214342540.84460068,282391.7229951227
0.21999999999999995,0.026941493430399446,0.0009532494303452848,160859538.69258112,224202.4086813792
0.23999999999999996,0.022198207163925444,0.001160256833922407,299333498.94920295,364953.6201912504
0.25999999999999995,0.017850387366303434,0.000985622842212622,186891192.2067418,431813.43243609264
0.27999999999999997,0.014875809192578159,0.0009240188120453265,138574188.58435392,235569.84414595316
0.3,0.012155166653195422,0.0009589678993690373,180687879.7036872,203480.96179172647
