q,P_q,Method
0.0,1.0,S-Degree
0.07662906684068238,0.8650135172928125,S-Degree
0.13069823809079895,0.8123426866784749,S-Degree
0.18141139181504617,0.7608837512818123,S-Degree
0.227556632795749,0.7142723967558497,S-Degree
0.26904073832385567,0.6720425095553276,S-Degree
0.2945837606040832,0.645567260184581,S-Degree
0.31555887014076633,0.6167614430875361,S-Degree
0.3287032721170877,0.6040831546564743,S-Degree
0.3412883378390976,0.5913116435163606,S-Degree
0.3523818402162767,0.5788198005034026,S-Degree
0.36375501072061156,0.5591498088934465,S-Degree
0.3746620676796868,0.5505733196606694,S-Degree
0.3842640067120351,0.5402255989559056,S-Degree
0.3917218234361891,0.5325813368136478,S-Degree
0.39908641745129114,0.5119791181131723,S-Degree
0.40701034772070477,0.5040551878437587,S-Degree
0.41502750069917027,0.49594481215624125,S-Degree
0.4219259811690128,0.48587675957863335,S-Degree
0.43078213852894565,0.47478325720145426,S-Degree
0.4375873962897362,0.4673254404773003,S-Degree
0.44588421739535755,0.4610795189708213,S-Degree
0.45436748391908266,0.4512911345203692,S-Degree
0.46341008669711947,0.43497716043628226,S-Degree
0.46956278549454644,0.43479071501817845,S-Degree
0.4757154842919735,0.42807867996643983,S-Degree
0.4818681830894006,0.42807867996643983,S-Degree
0.4869022093782045,0.4237904353500513,S-Degree
0.49314813088468346,0.4171716230073646,S-Degree
0.4989279388459028,0.4075696839750163,S-Degree
0.5041484105528107,0.4018830987228489,S-Degree
0.5103011093502376,0.4018830987228489,S-Degree
0.514869022093782,0.3972219632702526,S-Degree
0.5196233802554302,0.3923743823995525,S-Degree
0.5245641838351822,0.3862216836021255,S-Degree
0.5294117647058824,0.37447562226158293,S-Degree
0.5338864547403748,0.3700009322270905,S-Degree
0.5386408129020229,0.3591870979770672,S-Degree
0.5440477300270345,0.35238184021627666,S-Degree
0.548522420061527,0.33737298405891675,S-Degree
0.5529971100960194,0.332059289642957,S-Degree
0.5580311363848234,0.32702526335415305,S-Degree
0.5627854945464715,0.3245082502097511,S-Degree
0.5673534072900158,0.3180758832851683,S-Degree
0.5707094248158852,0.31276218886920854,S-Degree
0.5754637829775333,0.3093129486342873,S-Degree
0.5800316957210776,0.304745035890743,S-Degree
0.5842267176284143,0.29803300083900436,S-Degree
0.5884217395357509,0.2937447562226158,S-Degree
0.592057425188776,0.2895497343152792,S-Degree
0.5954134427146454,0.2859140486622541,S-Degree
0.5990491283676704,0.2820919175911252,S-Degree
0.6034305956931109,0.2776172275566328,S-Degree
0.6074391721823436,0.27025263354153073,S-Degree
0.6113545259625245,0.2665237251794537,S-Degree
0.61452409807029,0.26316770765358444,S-Degree
0.618159783723315,0.25953202200055936,S-Degree
0.6217954693763401,0.2553370000932227,S-Degree
0.6250582641931575,0.22466672881513935,S-Degree
0.6284142817190268,0.2195394798172835,S-Degree
0.6312109629905844,0.21114943600261024,S-Degree
0.6344737578074019,0.20751375034958516,S-Degree
0.6368043255337,0.20434417824181972,S-Degree
0.6395077840962058,0.19586091171809453,S-Degree
0.6424909107858674,0.19586091171809453,S-Degree
0.6460333737298406,0.19586091171809453,S-Degree
0.6488300550013983,0.19586091171809453,S-Degree
0.6516267362729561,0.19297100773748485,S-Degree
0.6546098629626177,0.18970821292066747,S-Degree
0.6575929896522793,0.18579285914048663,S-Degree
0.660389670923837,0.18579285914048663,S-Degree
0.6625337932320313,0.18579285914048663,S-Degree
0.6648643609583295,0.18579285914048663,S-Degree
0.6676610422298872,0.18243684161461732,S-Degree
0.6707373916286008,0.18243684161461732,S-Degree
0.6735340729001584,0.18243684161461732,S-Degree
0.6768900904260278,0.179080824088748,S-Degree
0.679034212734222,0.1288337839097604,S-Degree
0.6811783350424163,0.11270625524377738,S-Degree
0.6833224573506106,0.11270625524377738,S-Degree
0.6861191386221683,0.11270625524377738,S-Degree
0.6882632609303627,0.11270625524377738,S-Degree
0.6909667194928685,0.10841801062738883,S-Degree
0.6937634007644262,0.10841801062738883,S-Degree
0.6955346322364128,0.10664677915540226,S-Degree
0.697678754544607,0.10329076162953295,S-Degree
0.7001025449799572,0.10329076162953295,S-Degree
0.7028060035424629,0.10058730306702712,S-Degree
0.7049501258506572,0.09555327677822317,S-Degree
