City,Radius_m,R_S_Degree,R_S_CoreHD,Collapse_q_S_Degree,Collapse_q_S_CoreHD
Shenyang,250.0,0.4186385710059172,0.38722504142011827,0.8613076923076923,0.6584615384615384
Zhengzhou,250.0,0.38636445673289366,0.3416999431180325,0.7651167867277887,0.7612966601178782
Chengdu,250.0,0.343638075188868,0.3220690629759025,0.7268852459016393,0.5924590163934427
Harbin,250.0,0.34996594942132264,0.3177756230810945,0.7726298126223548,0.5924303160249837
Qingdao,250.0,0.35638004949316116,0.30878853999318573,0.8579962573772851,0.5823376997265006
Dongguan,250.0,0.3082406549972176,0.281274761179345,0.782922429344558,0.5625977149729404
Dalian,250.0,0.3232892278480859,0.2755223484675049,0.8111723631018009,0.5409040793825799
Quanzhou,250.0,0.2551359920605712,0.2380822622846298,0.7027503526093088,0.7145627644569816
