q,P_q,Q_bc,Method
0.0,1.0,0.8127388831919455,RCABS-BE
0.0026102358534539015,0.9419222522606507,0.809662533793232,RCABS-BE
0.004008576489232777,0.9405239116248718,0.8082175818029271,RCABS-BE
0.007737484851309779,0.9367017805537429,0.8037428917684348,RCABS-BE
0.00922904819614058,0.9352102172089121,0.8022513284236039,RCABS-BE
0.014449519903048382,0.9299897455020043,0.7970308567166962,RCABS-BE
0.01715297846555421,0.9265405052670831,0.7930222802274633,RCABS-BE
0.019856437028060035,0.9238370467045772,0.7902255989559057,RCABS-BE
0.021348000372890835,0.9223454833597464,0.7881280880022373,RCABS-BE
0.02507690873496784,0.9182436841614617,0.7831872844224854,RCABS-BE
0.026475249370746714,0.9168453435256828,0.7815092756595506,RCABS-BE
0.028153258133681365,0.9144215530903328,0.7789689568378857,RCABS-BE
0.02917870793325254,0.9133961032907616,0.7778968956837886,RCABS-BE
0.030017712314719867,0.9125570989092943,0.7770578913023212,RCABS-BE
0.03132283024144682,0.9112519809825673,0.7756129393120164,RCABS-BE
0.034585625058264194,0.9076162953295422,0.7720471706907803,RCABS-BE
0.03579752027593922,0.9064044001118673,0.7705556073459494,RCABS-BE
0.03654330194835462,0.904167055094621,0.7690640440011187,RCABS-BE
0.03710263820266617,0.9036077188403095,0.7683182623287033,RCABS-BE
0.03943320592896429,0.9012771511140114,0.7664771138249278,RCABS-BE
0.0412976601100028,0.8994126969329729,0.7642397688076816,RCABS-BE
0.042416332618625895,0.8982940244243498,0.7630744849445326,RCABS-BE
0.042975668872937446,0.8977346881700382,0.7622354805630651,RCABS-BE
0.04409434138156055,0.8966160156614151,0.7610235853453902,RCABS-BE
0.04484012305397595,0.8958702339889997,0.759904912836767,RCABS-BE
0.0457723501444952,0.8948447841894286,0.7588328516826699,RCABS-BE
0.047263913489326,0.8933532208445978,0.7572014542742612,RCABS-BE
0.04782324974363755,0.8927938845902862,0.7565488953108976,RCABS-BE
0.0495012585065722,0.8911158758273515,0.7532394891395544,RCABS-BE
0.05006059476088375,0.89055653957304,0.7525869301761909,RCABS-BE
0.0506199310151953,0.8899972033187284,0.7517479257947236,RCABS-BE
0.051645380814766474,0.8889717535191572,0.7506292532861005,RCABS-BE
0.05267083061433765,0.8877598583014823,0.746294397315186,RCABS-BE
0.05332338957770113,0.8871072993381187,0.7409807028992261,RCABS-BE
0.05695907523072621,0.8831919455579379,0.7358068425468445,RCABS-BE
0.05984897921133588,0.8811410459587956,0.7334296634660203,RCABS-BE
0.060874429010907054,0.8797427053230167,0.731378763866878,RCABS-BE
0.0640440011186725,0.8765731332152512,0.7264845716416519,RCABS-BE
0.06879835928032069,0.8718187750536031,0.7217302134800038,RCABS-BE
0.07131537242472266,0.869301761909201,0.7190267549174978,RCABS-BE
0.07345949473291694,0.8670644168919549,0.71646313041857,RCABS-BE
0.07401883098722849,0.8665050806376433,0.7159037941642584,RCABS-BE
