q,P_q,Q_bc,Method
0.0,1.0,0.9121538461538461,RCABS-BE
0.017384615384615384,0.964,0.8951153846153845,RCABS-BE
0.04923076923076923,0.9316923076923077,0.8639615384615384,RCABS-BE
0.066,0.914923076923077,0.847,RCABS-BE
0.09761538461538462,0.874,0.8084038461538461,RCABS-BE
0.10623076923076923,0.8653076923076923,0.7997884615384616,RCABS-BE
0.11361538461538462,0.8551538461538462,0.791826923076923,RCABS-BE
0.118,0.8507692307692307,0.7874423076923076,RCABS-BE
0.12461538461538461,0.8441538461538461,0.7807884615384615,RCABS-BE
0.13123076923076923,0.8376923076923077,0.7744423076923077,RCABS-BE
0.14561538461538462,0.8264615384615385,0.7604038461538463,RCABS-BE
0.15376923076923077,0.8182307692307692,0.7517115384615385,RCABS-BE
0.16153846153846155,0.8114615384615385,0.7450961538461538,RCABS-BE
0.18361538461538462,0.7886153846153846,0.7224423076923077,RCABS-BE
0.18715384615384614,0.7855384615384615,0.7190576923076923,RCABS-BE
0.19276923076923078,0.7799230769230769,0.7132884615384616,RCABS-BE
0.20146153846153847,0.7711538461538462,0.7044038461538462,RCABS-BE
0.21123076923076922,0.7612307692307693,0.6946346153846155,RCABS-BE
0.21346153846153845,0.7589230769230769,0.6923653846153845,RCABS-BE
0.2306153846153846,0.7378461538461538,0.6717884615384615,RCABS-BE
0.23323076923076924,0.7353846153846154,0.6688076923076923,RCABS-BE
0.23661538461538462,0.732,0.6652307692307693,RCABS-BE
0.2386923076923077,0.7299230769230769,0.6630769230769231,RCABS-BE
0.24046153846153845,0.7263846153846154,0.6601923076923077,RCABS-BE
0.24346153846153845,0.7232307692307692,0.6570769230769231,RCABS-BE
0.2443846153846154,0.7223076923076923,0.6547307692307692,RCABS-BE
0.24769230769230768,0.7193846153846154,0.6506538461538462,RCABS-BE
0.25023076923076926,0.7166153846153847,0.6480384615384616,RCABS-BE
0.25284615384615383,0.714,0.6452692307692307,RCABS-BE
0.2550769230769231,0.7117692307692308,0.6428846153846154,RCABS-BE
0.25969230769230767,0.707076923076923,0.6362884615384615,RCABS-BE
0.261,0.7057692307692308,0.6348653846153847,RCABS-BE
0.2622307692307692,0.7045384615384616,0.6335576923076923,RCABS-BE
0.26453846153846156,0.7001538461538461,0.6295576923076923,RCABS-BE
0.26715384615384613,0.6975384615384616,0.6268653846153847,RCABS-BE
0.26853846153846156,0.6961538461538461,0.6254423076923077,RCABS-BE
0.2703076923076923,0.6943076923076923,0.6236730769230769,RCABS-BE
0.2716923076923077,0.692923076923077,0.6209038461538462,RCABS-BE
0.2744615384615385,0.6897692307692308,0.616596153846154,RCABS-BE
0.2772307692307692,0.6875384615384615,0.6101730769230769,RCABS-BE
0.27815384615384614,0.6866153846153846,0.6090961538461539,RCABS-BE
0.2805384615384615,0.684076923076923,0.60625,RCABS-BE
0.28284615384615386,0.6816153846153846,0.6037115384615385,RCABS-BE
0.2846153846153846,0.6796923076923077,0.6013653846153846,RCABS-BE
0.28884615384615386,0.675,0.5971538461538461,RCABS-BE
0.28946153846153844,0.6743846153846154,0.5964615384615385,RCABS-BE
0.2903076923076923,0.6734615384615384,0.5954999999999999,RCABS-BE
0.29323076923076924,0.6678461538461539,0.589076923076923,RCABS-BE
0.29584615384615387,0.6652307692307692,0.5866538461538462,RCABS-BE
0.2979230769230769,0.6631538461538462,0.583923076923077,RCABS-BE
0.29915384615384616,0.661,0.5824615384615385,RCABS-BE
0.30030769230769233,0.6597692307692308,0.5806153846153846,RCABS-BE
0.3020769230769231,0.658,0.5786538461538462,RCABS-BE
0.30330769230769233,0.6567692307692308,0.5751923076923077,RCABS-BE
0.3077692307692308,0.6488461538461539,0.5666538461538462,RCABS-BE
0.3088461538461538,0.6476153846153846,0.5655,RCABS-BE
0.3097692307692308,0.6466923076923077,0.5648461538461538,RCABS-BE
0.3160769230769231,0.6394615384615384,0.5489615384615385,RCABS-BE
0.3173076923076923,0.6381538461538462,0.5360192307692307,RCABS-BE
0.3203846153846154,0.6350769230769231,0.5269038461538462,RCABS-BE
0.3220769230769231,0.6333846153846154,0.5239807692307692,RCABS-BE
0.3231538461538462,0.6323076923076923,0.5218269230769231,RCABS-BE
0.3243076923076923,0.631,0.5201346153846154,RCABS-BE
