Fraction,Accessibility,Gini,Rho_Max,Rho_Mean
0.0,1.0,0.0003743838322878748,0.8333333333324312,0.8153362638022978
0.02,0.9665960376358158,0.00038994399629361826,35220330327.74971,1585640.5377945486
0.039999999999999994,0.923646834742544,0.00039071941157456467,34362480297.182526,2141621.5787142455
0.06,0.8778180398121533,0.00040938697938809534,108037135040.93373,9773342.126482647
0.07999999999999999,0.8345717842485609,0.0005134463385532825,105447038568.28233,10851160.37446071
0.09999999999999999,0.7911086003941332,0.0005426402476663374,86835065389.62627,8525788.411288494
0.11999999999999998,0.7497757793994165,0.0006088729609417879,95585224605.90828,12142435.161443718
0.13999999999999999,0.7101878398972523,0.0006668364818480122,248981154335.67722,25397850.691627774
0.15999999999999998,0.6717560494663296,0.0007397429663834317,245395979050.64563,26149085.76701964
0.17999999999999997,0.6261857874847514,0.0007759094592430218,303265492410.5175,32815418.994778547
0.19999999999999996,0.5702102352842044,0.0010501598233693535,283204452384.1646,33421667.610057786
0.21999999999999995,0.5003409626354423,0.0010712690158467934,258067600842.51657,31183681.910099648
0.23999999999999996,0.4644690954704671,0.0011635891451923944,365310674028.8059,39010005.765000716
0.25999999999999995,0.38255017272361264,0.0015041620277689008,323559229747.3562,50025138.58118997
0.27999999999999997,0.3264421333436834,0.001752893344630459,246623211340.08044,50398715.9390945
0.3,0.291126706019401,0.0017648379734644662,539064657147.4287,135948471.58574942
