City,Radius_m,R_S_Degree,R_S_CoreHD,Collapse_q_S_Degree,Collapse_q_S_CoreHD
Zhengzhou,3000.0,0.4708452516470729,0.4683869363797326,0.9149748963108492,0.8834315651604453
Shenyang,3000.0,0.47455042603550296,0.46799714201183434,0.9365384615384615,0.9261538461538461
Chengdu,3000.0,0.43186333721520503,0.4288215846994536,0.9068852459016393,0.8814754098360655
Qingdao,3000.0,0.4298595548823062,0.42303969666152924,0.8944148553332374,0.8618108536058731
Harbin,3000.0,0.4055457943674591,0.40599245863306377,0.8361144774867157,0.8201733942388366
Dalian,3000.0,0.3786758656756676,0.37299784800889163,0.9300257258360897,0.8597574421168688
Dongguan,3000.0,0.3735216948121706,0.363070341040126,0.8743235117257968,0.83956704750451
Quanzhou,3000.0,0.3276599311989115,0.2986102580463554,0.9143159379407616,0.814703808180536
