Fraction,Accessibility,Gini,Rho_Max,Rho_Mean
0.0,1.0,0.002101370824035597,0.8333333333327698,0.8121941430131147
0.02,0.4515285249204701,0.0006780215946181384,22435092093.652813,3307061.4305458595
0.039999999999999994,0.32300314043030176,0.0009657022367382145,23754845986.899746,3080403.503061164
0.06,0.23083466373835443,0.0011249053201745985,4126592712.918868,961592.6863374365
0.07999999999999999,0.17145691561913062,0.0009067820601095219,5476906589.459441,1456232.2012222053
0.09999999999999999,0.1312111568158378,0.0008930628071739097,4933837418.561522,1349989.5690501386
0.11999999999999998,0.11121092081006423,0.000669674656018656,4285852172.4886165,1071108.9439738696
0.13999999999999999,0.09105684427533466,0.0006502799239364621,9236084625.834019,1501195.885737591
0.15999999999999998,0.07467750832238029,0.0004854758724694059,4373056235.932483,873067.5405153988
0.17999999999999997,0.06507243285321311,0.0006875847275244605,1578785390.6179426,538737.5498653196
0.19999999999999996,0.05318392684026898,0.0007130463097774219,1204781380.5855672,426075.032964274
0.21999999999999995,0.0431775666879805,0.0015260003111952096,908397767.1799841,335569.0768699977
0.23999999999999996,0.03602429078081172,0.001098939022363016,538103249.0879499,279420.1314720372
0.25999999999999995,0.030004100047957328,0.0008990289307040429,576427442.094566,380558.0771448594
0.27999999999999997,0.025130824740164304,0.0007513451013188923,560773094.0798825,285791.76210087945
0.3,0.021058156484338255,0.0007195618700534307,466593723.2258374,191050.75413095995
