q,P_q,Method
0.0,1.0,S-Degree
0.22187004754358164,0.7207047636804326,S-Degree
0.2884310618066561,0.6588048848699544,S-Degree
0.34371212827444764,0.6038034865293186,S-Degree
0.3766197445697772,0.5689381933438986,S-Degree
0.4098070289922625,0.5372424722662441,S-Degree
0.43180758832851684,0.5107672228954974,S-Degree
0.4540878157919269,0.48811410459587956,S-Degree
0.47413069823809084,0.46378297753332715,S-Degree
0.48960566794071037,0.3707467138995059,S-Degree
0.503775519716603,0.35657686212361334,S-Degree
0.5160809173114571,0.34427146452875923,S-Degree
0.5263354153071689,0.3294490537895031,S-Degree
0.5374289176843479,0.31723687890370095,S-Degree
0.5463782977533327,0.2966346602032255,S-Degree
0.5561666822037848,0.2871259438799291,S-Degree
0.565861843945185,0.27593921879369815,S-Degree
0.5763960100680525,0.25729467698331315,S-Degree
0.5865572853547124,0.24582828376992635,S-Degree
0.5963456698051646,0.23473478139274728,S-Degree
0.6038967092383705,0.2258786240328144,S-Degree
0.6117274167987321,0.20518318262328702,S-Degree
0.6192784562319381,0.19772536589913303,S-Degree
0.6262701594108324,0.19772536589913303,S-Degree
0.6335415307168826,0.19119977626549828,S-Degree
0.6391348932599981,0.17423324321804792,S-Degree
0.6453808147664771,0.17423324321804792,S-Degree
0.6519064044001119,0.15829215997016874,S-Degree
0.6579658804884869,0.15829215997016874,S-Degree
0.6643050247040179,0.15176657033653398,S-Degree
0.6709238370467046,0.13927472732357601,S-Degree
0.6761443087536123,0.13927472732357601,S-Degree
0.6818308940057798,0.13405425561666823,S-Degree
0.6872378111307915,0.12463876200242378,S-Degree
0.691619278456232,0.12463876200242378,S-Degree
0.6972126409993474,0.11792672695068519,S-Degree
0.7029924489605668,0.11792672695068519,S-Degree
0.70895870233989,0.11792672695068519,S-Degree
0.71380628321059,0.11196047357136199,S-Degree
0.7193064230446538,0.11196047357136199,S-Degree
0.7246201174606134,0.07336627202386502,S-Degree
0.7303999254218327,0.07336627202386502,S-Degree
0.7359000652558964,0.07336627202386502,S-Degree
0.740001864454181,0.07336627202386502,S-Degree
