Fraction,Accessibility,Gini,Rho_Max,Rho_Mean
0.0,1.0,0.0007892219303451314,0.8333333333332263,0.7978033620652244
0.02,0.5645972151865757,0.0013020655384443345,43442.78864737855,4.807732136735942
0.039999999999999994,0.3170916682866889,0.0009893171494051456,85567015611.6792,5554571.05798214
0.06,0.22776441472559011,0.0008924834134616968,39879313248.89344,2561943.0842101085
0.07999999999999999,0.1552804901335063,0.0009570308939303263,199000.93927841546,17.45266384736781
0.09999999999999999,0.12429746399274601,0.0010669651984160507,9335861907.135551,985314.3686637259
0.11999999999999998,0.08424037181228397,0.0008737415337186864,7651377479.462777,909301.2104417259
0.13999999999999999,0.058876616913623864,0.0006601385336828596,2893796319.011968,445375.25430702127
0.15999999999999998,0.046067770737057145,0.0005635163897853485,28669814864.32422,2132279.285181476
0.17999999999999997,0.03551320806230452,0.0006788685599594122,4590925173.2815075,444758.09115790285
0.19999999999999996,0.02838443436560253,0.0007553826053234277,472341045.0867575,95085.67099120436
0.21999999999999995,0.02277426011381788,0.000707076994060137,6873615528.545058,656902.064800451
0.23999999999999996,0.018249092901028958,0.000905780613343136,5743487948.345413,786607.1304546347
0.25999999999999995,0.01343809638578741,0.0010967192850735203,1830950935.921052,353568.87772210245
0.27999999999999997,0.010130953852590692,0.0006159943585528589,6093076318.288237,1100037.3501808431
0.3,0.008087074689417393,0.0005313373303444197,9441960483.278221,1447647.3590575675
