q,P_q,Method
0.0,1.0,S-Degree
0.0477785613540197,0.870768688293371,S-Degree
0.07898448519040902,0.843441466854725,S-Degree
0.10543018335684062,0.8152327221438646,S-Degree
0.12658674188998587,0.7938998589562765,S-Degree
0.14139633286318753,0.7790902679830748,S-Degree
0.15691114245416082,0.7633991537376587,S-Degree
0.17189703808180534,0.7477080394922426,S-Degree
0.18582510578279265,0.7332510578279267,S-Degree
0.20045839210155147,0.7085684062059239,S-Degree
0.21826516220028214,0.6904090267983075,S-Degree
0.23043018335684062,0.6775387870239774,S-Degree
0.2408321579689704,0.6542665726375176,S-Degree
0.25158674188998587,0.6338152327221439,S-Degree
0.26375176304654446,0.45081100141043723,S-Degree
0.27856135401974613,0.45081100141043723,S-Degree
0.2896685472496474,0.45081100141043723,S-Degree
0.3025387870239774,0.42912552891396333,S-Degree
0.3125881523272215,0.41731311706629054,S-Degree
0.3210507757404796,0.41731311706629054,S-Degree
0.33110014104372354,0.38187588152327223,S-Degree
0.3407968970380818,0.38187588152327223,S-Degree
0.3492595204513399,0.3683004231311707,S-Degree
0.3587799717912553,0.35825105782792666,S-Degree
0.3679478138222849,0.3400916784203103,S-Degree
0.3760578279266573,0.33198166431593795,S-Degree
0.38469675599435826,0.3214033850493653,S-Degree
0.3915726375176305,0.30959097320169254,S-Degree
0.39950634696755993,0.30959097320169254,S-Degree
0.4072637517630465,0.3005994358251058,S-Degree
0.41378702397743305,0.3005994358251058,S-Degree
0.4206629055007052,0.3005994358251058,S-Degree
0.42630465444287724,0.3005994358251058,S-Degree
0.4322990126939351,0.2864950634696756,S-Degree
0.4374118476727785,0.2864950634696756,S-Degree
0.4437588152327221,0.2864950634696756,S-Degree
0.4501057827926658,0.2864950634696756,S-Degree
0.45610014104372354,0.2864950634696756,S-Degree
0.4610366713681241,0.2864950634696756,S-Degree
0.46597320169252465,0.2864950634696756,S-Degree
0.4723201692524682,0.2864950634696756,S-Degree
0.47884344146685476,0.2676304654442877,S-Degree
