城市,健壮性积分(R),网络显著崩溃比例(q)
Shenyang,0.22295268461538462,0.3
Zhengzhou,0.20454870115695262,0.25
Chengdu,0.20345796721311477,0.25
Dongguan,0.1827722910402886,0.22
Quanzhou,0.18082688645980252,0.26
Qingdao,0.1770636461782064,0.17
Harbin,0.1729441595972779,0.04
Dalian,0.14660843072399857,0.15
